Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,70750000000.0,12700000000.0,,,,
2025,67580000000.0,12040000000.0,30.3,9980000000.0,98580000000.0,
2024,64800000000.0,13880000000.0,16.2,6880000000.0,87760000000.0,
2023,67060000000.0,13560000000.0,14.2,6970000000.0,87470000000.0,
2022,59420000000.0,9190000000.0,17.9,7000000000.0,81940000000.0,
2021,50970000000.0,8690000000.0,16.1,9250000000.0,82790000000.0,
2020,41740000000.0,4500000000.0,30.2,9350000000.0,78320000000.0,
2019,53800000000.0,8230000000.0,12.1,8279999999.999999,78450000000.0,
2018,54720000000.0,8220000000.000001,10.6,7850000000.0,78500000000.0,
2017,45460000000.0,4610000000.0,102.0,8260000000.0,76960000000.0,
2016,38530000000.0,640000000.0,-632.0,7160000000.0,74700000000.0,
2015,47010000000.0,3980000000.0,15.2,6460000000.0,78340000000.0,
2014,55180000000.0,5560000000.0,11.6,7340000000.0,84680000000.0,
2013,55650000000.0,5590000000.0,11.4,6080000000.0,84890000000.0,
2012,65870000000.00001,8100000000.0,7.43,5490000000.0,88970000000.0,
2011,60130000000.0,7940000000.0,,3050000000.0,81210000000.0,
2010,42580000000.0,5000000000.0,,3590000000.0,64019999999.99999,
2009,32390000000.0,2000000000.0,,4860000000.0,60030000000.0,
2008,51320000000.0,7100000000.0,,2730000000.0,67780000000.0,
2007,44950000000.0,6370000000.0,,1120000000.0,56130000000.0,
2006,41510000000.0,6150000000.0,,530000000.0,51440000000.0,
2005,36330000000.0,4920000000.0,,1100000000.0,47550000000.0,
2004,30290000000.0,3420000000.0,,440000000.0,43090000000.0,
2003,22760000000.0,1680000000.0,,340000000.0,36700000000.0,
2002,20150000000.0,1310000000.0,,300000000.0,32700000000.000004,
2001,20450000000.0,1490000000.0,,400000000.0,30650000000.0,
2000,20170000000.0,2420000000.0,,330000000.0,,
1999,19700000000.0,2049999999.9999998,,540000000.0,,
1998,20970000000.0,2740000000.0,,360000000.0,,
1997,18920000000.0,2790000000.0,,290000000.0,,
1996,16520000000.0,2280000000.0,,480000000.0,,
