year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,5520000000.0,4.31,1710000000.0,,,,,,,,270000000.0,13.6,
2025,5290000000.0,4.09,1630000000.0,28.74,3150000000.0,2610000000.0,10150000000.0,5470000000.0,76.4,4670000000.0,270000000.0,16.0,15.5
2024,4640000000.0,3.89,1470000000.0,30.07,2780000000.0,2580000000.0,8970000000.0,4670000000.0,77.2,4300000000.0,270000000.0,18.0,17.9
2023,4080000000.0,3.86,1310000000.0,31.34,1130000000.0,760000000.0,5660000000.0,3400000000.0,70.6,2260000000.0,260000000.0,18.1,21.8
2022,3560000000.0,3.13,1060000000.0,29.35,880000000.0,880000000.0,5130000000.0,2740000000.0,51.3,2390000000.0,260000000.0,12.4,16.1
2021,2980000000.0,2.55,780000000.0,25.72,1080000000.0,450000000.0,4380000000.0,2740000000.0,73.1,1640000000.0,270000000.0,17.3,18.8
2020,2680000000.0,2.15,650000000.0,23.58,920000000.0,460000000.0,3950000000.0,2490000000.0,63.5,1450000000.0,270000000.0,14.2,15.3
2019,2330000000.0,3.61,490000000.0,20.5,700000000.0,430000000.0,3350000000.0,2100000000.0,19.2,1250000000.0,270000000.0,8.31,9.23
2018,2130000000.0,1.26,390000000.0,17.6,530000000.0,440000000.0,2460000000.0,1280000000.0,34.5,1180000000.0,270000000.0,5.69,9.45
2017,1940000000.0,0.75,340000000.0,16.21,680000000.0,720000000.0,2410000000.0,980000000.0,55.8,1420000000.0,270000000.0,6.08,11.9
2016,1810000000.0,0.71,260000000.0,13.06,460000000.0,690000000.0,2089999999.9999998,740000000.0,35.5,1350000000.0,270000000.0,3.98,9.75
2015,1700000000.0,0.87,290000000.0,15.72,710000000.0,340000000.0,2340000000.0,1370000000.0,23.9,960000000.0,290000000.0,3.64,4.5
2014,1580000000.0,0.56,210000000.0,11.45,1020000000.0,690000000.0,3200000000.0,1330000000.0,33.9,1870000000.0,280000000.0,3.51,4.16
2013,1460000000.0,0.59,190000000.0,10.89,630000000.0,320000000.0,2420000000.0,1150000000.0,23.8,1270000000.0,280000000.0,2.77,3.49
2012,1320000000.0,1.62,220000000.0,14.19,820000000.0,440000000.0,2280000000.0,910000000.0,8.34,1370000000.0,270000000.0,2.86,4.14
2011,1140000000.0,,130000000.0,8.3,600000000.0,420000000.0,1760000000.0,410000000.0,,1350000000.0,260000000.0,2.46,6.89
2010,930000000.0,,,-6.71,570000000.0,540000000.0,1730000000.0,270000000.0,,1450000000.0,250000000.0,2.36,7.98
2009,850000000.0,,,-18.0,570000000.0,430000000.0,1410000000.0,100000000.0,,1300000000.0,250000000.0,1.89,14.9
2008,1030000000.0,,,-155.74,570000000.0,410000000.0,1670000000.0,180000000.0,,1490000000.0,250000000.0,0.9031,5.02
2007,1610000000.0,,310000000.0,22.54,1070000000.0000001,730000000.0,3870000000.0,2080000000.0,,1790000000.0,270000000.0,2.93,2.28
2006,1480000000.0,,220000000.0,16.3,950000000.0,750000000.0,3440000000.0,1690000000.0,,1740000000.0,270000000.0,3.35,2.92
2005,1320000000.0,,160000000.0,9.67,890000000.0,630000000.0,3400000000.0,1840000000.0,,1550000000.0,280000000.0,3.58,2.58
2004,1190000000.0,,120000000.0,7.22,590000000.0,420000000.0,2980000000.0,1690000000.0,,1280000000.0,270000000.0,3.13,2.21
2003,1120000000.0,,70490000.0,-2.73,410000000.0,420000000.0,2810000000.0,1570000000.0,,1240000000.0,260000000.0,4.28,3.07
2002,1290000000.0,,300000000.0,11.18,390000000.0,54260000.0,2420000000.0,1640000000.0,,780000000.0,260000000.0,2.46,1.93
2001,1430000000.0,,120000000.0,16.93,270000000.0,2870000.0,1730000000.0,1120000000.0,,600000000.0,240000000.0,3.83,
2000,1270000000.0,,63410000.0,,130000000.0,5510000.0,,,,,240000000.0,,
1999,1090000000.0,,33360000.0,,110000000.0,28940000.0,,,,,240000000.0,,
1998,1260000000.0,,450000000.0,,200000000.0,130000000.0,,,,,210000000.0,,
1997,910000000.0,,230000000.0,,200000000.0,2400000.0,,,,,230000000.0,,
1996,740000000.0,,91250000.0,,280000000.0,23600000.0,,,,,,,
