Year,revenue,net_income,pe_ratio,cash,total_assets
2026,5520000000.0,1710000000.0,,,
2025,5290000000.0,1630000000.0,76.4,3150000000.0,10150000000.0
2024,4640000000.0,1470000000.0,77.2,2780000000.0,8970000000.0
2023,4080000000.0,1310000000.0,70.6,1130000000.0,5660000000.0
2022,3560000000.0,1060000000.0,51.3,880000000.0,5130000000.0
2021,2980000000.0,780000000.0,73.1,1080000000.0,4380000000.0
2020,2680000000.0,650000000.0,63.5,920000000.0,3950000000.0
2019,2330000000.0,490000000.0,19.2,700000000.0,3350000000.0
2018,2130000000.0,390000000.0,34.5,530000000.0,2460000000.0
2017,1940000000.0,340000000.0,55.8,680000000.0,2410000000.0
2016,1810000000.0,260000000.0,35.5,460000000.0,2089999999.9999998
2015,1700000000.0,290000000.0,23.9,710000000.0,2340000000.0
2014,1580000000.0,210000000.0,33.9,1020000000.0,3200000000.0
2013,1460000000.0,190000000.0,23.8,630000000.0,2420000000.0
2012,1320000000.0,220000000.0,8.34,820000000.0,2280000000.0
2011,1140000000.0,130000000.0,,600000000.0,1760000000.0
2010,930000000.0,,,570000000.0,1730000000.0
2009,850000000.0,,,570000000.0,1410000000.0
2008,1030000000.0,,,570000000.0,1670000000.0
2007,1610000000.0,310000000.0,,1070000000.0000001,3870000000.0
2006,1480000000.0,220000000.0,,950000000.0,3440000000.0
2005,1320000000.0,160000000.0,,890000000.0,3400000000.0
2004,1190000000.0,120000000.0,,590000000.0,2980000000.0
2003,1120000000.0,70490000.0,,410000000.0,2810000000.0
2002,1290000000.0,300000000.0,,390000000.0,2420000000.0
2001,1430000000.0,120000000.0,,270000000.0,1730000000.0
2000,1270000000.0,63410000.0,,130000000.0,
1999,1090000000.0,33360000.0,,110000000.0,
1998,1260000000.0,450000000.0,,200000000.0,
1997,910000000.0,230000000.0,,200000000.0,
1996,740000000.0,91250000.0,,280000000.0,
