year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,5296759000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-26-000016,USD,True,1108888000.0,NetIncomeLoss,0000813672-26-000016,USD,True,1728781000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-26-000016,USD,True,141871000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-26-000016,USD,True,1492042000.0,OperatingIncomeLoss,0000813672-26-000016,USD,True,116541000.0,InterestExpense,0000813672-26-000016,USD,True,413155000.0,IncomeTaxExpenseBenefit,0000813672-26-000016,USD,True,0.271,EffectiveIncomeTaxRateContinuingOperations,0000813672-26-000016,pure,True,1522043000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-26-000016,USD,True,3001317000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-26-000016,USD,True,154213000.0,ShortTermInvestments,0000813672-26-000016,USD,True,,,,,False,,,,,False,,,,,False,5474181000.0,StockholdersEquity,0000813672-26-000016,USD,True,3155530000.0,,1586910000.0,0.27144765292439177,,,,1492042000.0,False,0.2996001894743559,1.4310823094848173,False,True,CDNS,0000813672,ticker:CDNS,25
2024,4641264000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-25-000024,USD,True,1055484000.0,NetIncomeLoss,0000813672-25-000024,USD,True,1260551000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-25-000024,USD,True,142542000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-25-000024,USD,True,1350763000.0,OperatingIncomeLoss,0000813672-25-000024,USD,True,75999000.0,InterestExpense,0000813672-25-000024,USD,True,340335000.0,IncomeTaxExpenseBenefit,0000813672-25-000024,USD,True,0.24,EffectiveIncomeTaxRateContinuingOperations,0000813672-25-000024,pure,True,1395819000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-25-000024,USD,True,2644030000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-25-000024,USD,True,140625000.0,ShortTermInvestments,0000813672-25-000024,USD,True,,,,,False,,,,,False,,,,,False,4673578000.0,StockholdersEquity,0000813672-25-000024,USD,True,2784655000.0,,1118009000.0,0.24382459330328646,,,,1350763000.0,False,0.24088459523095432,1.0592382262544955,False,True,CDNS,0000813672,ticker:CDNS,25
2023,4089986000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-24-000034,USD,True,1041144000.0,NetIncomeLoss,0000813672-24-000034,USD,True,1349176000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-24-000034,USD,True,102337000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-24-000034,USD,True,1251225000.0,OperatingIncomeLoss,0000813672-24-000034,USD,True,36185000.0,InterestExpense,0000813672-24-000034,USD,True,240782000.0,IncomeTaxExpenseBenefit,0000813672-24-000034,USD,True,0.19,EffectiveIncomeTaxRateContinuingOperations,0000813672-24-000034,pure,True,1281926000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-24-000034,USD,True,1008152000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-24-000034,USD,True,130359000.0,ShortTermInvestments,0000813672-24-000034,USD,True,,,,,False,,,,,False,,,,,False,3404271000.0,StockholdersEquity,0000813672-24-000034,USD,True,1138511000.0,,1246839000.0,0.18782831458290103,,,,1251225000.0,False,0.30485165474894044,1.1975663308821833,False,True,CDNS,0000813672,ticker:CDNS,25
2022,3561718000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-23-000011,USD,True,848952000.0,NetIncomeLoss,0000813672-23-000011,USD,True,1241894000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-23-000011,USD,True,123215000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-23-000011,USD,True,1073686000.0,OperatingIncomeLoss,0000813672-23-000011,USD,True,22934000.0,InterestExpense,0000813672-23-000011,USD,True,196411000.0,IncomeTaxExpenseBenefit,0000813672-23-000011,USD,True,0.19,EffectiveIncomeTaxRateContinuingOperations,0000813672-23-000011,pure,True,1045363000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-23-000011,USD,True,882325000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-23-000011,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,2745113000.0,StockholdersEquity,0000813672-23-000011,USD,True,882325000.0,,1118679000.0,0.18788784374423048,,,,1073686000.0,False,0.31408410211027377,1.3177176094761542,False,True,CDNS,0000813672,ticker:CDNS,25
2021,2988244000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-22-000012,USD,True,695955000.0,NetIncomeLoss,0000813672-22-000012,USD,True,1100958000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-22-000012,USD,True,65298000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-22-000012,USD,True,779089000.0,OperatingIncomeLoss,0000813672-22-000012,USD,True,16980000.0,InterestExpense,0000813672-22-000012,USD,True,72480000.0,IncomeTaxExpenseBenefit,0000813672-22-000012,USD,True,0.09,EffectiveIncomeTaxRateContinuingOperations,0000813672-22-000012,pure,True,768435000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-22-000012,USD,True,1088940000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-22-000012,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,2740675000.0,StockholdersEquity,0000813672-22-000012,USD,True,1088940000.0,,1035660000.0,0.09432157567003065,,,,779089000.0,False,0.34657812414247297,1.4881134556113542,False,True,CDNS,0000813672,ticker:CDNS,25
2020,2682891000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-21-000009,USD,True,590644000.0,NetIncomeLoss,0000813672-21-000009,USD,True,904922000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-21-000009,USD,True,94813000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-21-000009,USD,True,645552000.0,OperatingIncomeLoss,0000813672-21-000009,USD,True,20749000.0,InterestExpense,0000813672-21-000009,USD,True,42104000.0,IncomeTaxExpenseBenefit,0000813672-21-000009,USD,True,0.07,EffectiveIncomeTaxRateContinuingOperations,0000813672-21-000009,pure,True,632748000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-21-000009,USD,True,928432000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-21-000009,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,2493018000.0,StockholdersEquity,0000813672-21-000009,USD,True,928432000.0,,810109000.0,0.06654149835321486,,,,645552000.0,False,0.3019537506369062,1.3715689992618227,False,True,CDNS,0000813672,ticker:CDNS,25
2019,2336319000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-20-000007,USD,True,988979000.0,NetIncomeLoss,0000813672-20-000007,USD,True,729600000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-20-000007,USD,True,74605000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-20-000007,USD,True,491796000.0,OperatingIncomeLoss,0000813672-20-000007,USD,True,18829000.0,InterestExpense,0000813672-20-000007,USD,True,-510011000.0,IncomeTaxExpenseBenefit,0000813672-20-000007,USD,True,-1.06,EffectiveIncomeTaxRateContinuingOperations,0000813672-20-000007,pure,True,478968000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-20-000007,USD,True,705210000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-20-000007,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,2102894000.0,StockholdersEquity,0000813672-20-000007,USD,True,705210000.0,,654995000.0,-1.064812263032186,,,,491796000.0,False,0.2803534106429815,0.6622941437583609,False,True,CDNS,0000813672,ticker:CDNS,25
2018,2138022000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-19-000008,USD,True,345777000.0,NetIncomeLoss,0000813672-19-000008,USD,True,604751000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-19-000008,USD,True,61503000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-19-000008,USD,True,396209000.0,OperatingIncomeLoss,0000813672-19-000008,USD,True,23139000.0,InterestExpense,0000813672-19-000008,USD,True,30613000.0,IncomeTaxExpenseBenefit,0000813672-19-000008,USD,True,0.08,EffectiveIncomeTaxRateContinuingOperations,0000813672-19-000008,pure,True,376390000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-19-000008,USD,True,533298000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-19-000008,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,1288401000.0,StockholdersEquity,0000813672-19-000008,USD,True,533298000.0,,543248000.0,0.08133319163633465,,,,396209000.0,False,0.25408905988806474,1.5710935082437525,False,True,CDNS,0000813672,ticker:CDNS,25
2017,1943032000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-18-000008,USD,True,204101000.0,NetIncomeLoss,0000813672-18-000008,USD,True,470740000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-18-000008,USD,True,57901000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-18-000008,USD,True,323955000.0,OperatingIncomeLoss,0000813672-18-000008,USD,True,25664000.0,InterestExpense,0000813672-18-000008,USD,True,110945000.0,IncomeTaxExpenseBenefit,0000813672-18-000008,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0000813672-18-000008,pure,True,315046000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-18-000008,USD,True,688087000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-18-000008,USD,True,4455000.0,ShortTermInvestments,0000813672-18-000008,USD,True,,,,,False,,,,,False,,,,,False,989202000.0,StockholdersEquity,0000813672-18-000008,USD,True,692542000.0,,412839000.0,0.35215492340801025,,,,323955000.0,False,0.21247153932616653,2.022719143953239,False,True,CDNS,0000813672,ticker:CDNS,25
2016,1816083000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000813672-17-000006,USD,True,203086000.0,NetIncomeLoss,0000813672-17-000006,USD,True,444879000.0,NetCashProvidedByUsedInOperatingActivities,0000813672-17-000006,USD,True,53712000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000813672-17-000006,USD,True,244901000.0,OperatingIncomeLoss,0000813672-17-000006,USD,True,23670000.0,InterestExpense,0000813672-17-000006,USD,True,34067000.0,IncomeTaxExpenseBenefit,0000813672-17-000006,USD,True,0.14,EffectiveIncomeTaxRateContinuingOperations,0000813672-17-000006,pure,True,237153000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000813672-17-000006,USD,True,465232000.0,CashAndCashEquivalentsAtCarryingValue,0000813672-17-000006,USD,True,3057000.0,ShortTermInvestments,0000813672-17-000006,USD,True,,,,,False,,,,,False,,,,,False,741770000.0,StockholdersEquity,0000813672-17-000006,USD,True,468289000.0,,391167000.0,0.1436498800352515,,,,244901000.0,False,0.21539048600752278,1.9261150448578435,False,True,CDNS,0000813672,ticker:CDNS,25
