Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,6200000000.0,940000000.0,,,,
2025,6200000000.0,950000000.0,27.7,400000000.0,8910000000.0,
2024,6100000000.0,750000000.0,43.2,960000000.0,8880000000.0,
2023,5860000000.0,960000000.0,30.1,340000000.0,8560000000.000001,
2022,5370000000.0,520000000.0,45.9,270000000.0,8340000000.0,
2021,5190000000.0,1030000000.0,29.0,240000000.0,7990000000.0,
2020,4890000000.0,970000000.0,25.9,180000000.0,7410000000.0,
2019,4350000000.0,770000000.0,26.3,150000000.0,6650000000.0,
2018,4139999999.9999995,710000000.0,26.2,310000000.0,6060000000.0,
2017,3770000000.0,690000000.0,15.3,270000000.0,6010000000.0,
2016,3490000000.0,700000000.0,22.2,180000000.0,4350000000.0,
2015,3390000000.0,630000000.0,23.9,330000000.0,4250000000.0,
2014,3290000000.0,620000000.0,22.2,420000000.0,4350000000.0,
2013,3190000000.0,590000000.0,19.8,490000000.0,4250000000.0,
2012,2920000000.0,540000000.0,18.0,340000000.0,4090000000.0,
2011,2740000000.0,490000000.0,,250000000.0,3110000000.0,
2010,2580000000.0,410000000.0,,180000000.0,2940000000.0,
2009,2520000000.0,390000000.0,,440000000.0,3110000000.0,
2008,2420000000.0,300000000.0,,190000000.0,2800000000.0,
2007,2220000000.0,260000000.0,,240000000.0,2530000000.0,
2006,1940000000.0,210000000.0,,110000000.0,2330000000.0,
2005,1730000000.0,170000000.0,,120000000.0,1960000000.0,
2004,1460000000.0,120000000.0,,140000000.0,1870000000.0,
2003,1050000000.0,110000000.0,,75630000.0,1110000000.0,
2002,1040000000.0,100000000.0,,76300000.0,980000000.0,
2001,1020000000.0,73850000.0,,52440000.0,940000000.0,
2000,790000000.0,51870000.0,,24560000.0,,
1999,730000000.0,72400000.0,,19800000.0,,
1998,680000000.0,46300000.0,,16200000.0,,
1997,570000000.0,38700000.0,,14900000.0,,
1996,520000000.0,33000000.0,,22900000.0,,
