year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,6203200000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001193125-26-048139,USD,True,736800000.0,NetIncomeLoss,0001193125-26-048139,USD,True,1215400000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-26-048139,USD,True,122400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-26-048139,USD,True,1077600000.0,OperatingIncomeLoss,0001193125-26-048139,USD,True,95200000.0,InterestExpense,0001193125-26-048139,USD,True,220100000.0,IncomeTaxExpenseBenefit,0001193125-26-048139,USD,True,0.23,EffectiveIncomeTaxRateContinuingOperations,0001193125-26-048139,pure,True,956900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-26-048139,USD,True,409000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-26-048139,USD,True,,,,,False,2205100000.0,LongTermDebt,0001193125-26-048139,USD,True,,,,,False,2205100000.0,LongTermDebtNoncurrent,0001193125-26-048139,USD,True,4002200000.0,StockholdersEquity,0001193125-26-048139,USD,True,409000000.0,2205100000.0,1093000000.0,0.2300135855366287,5798300000.0,829737360.2257289,0.14310010869146628,1077600000.0,False,0.1761993809646634,1.483441910966341,True,True,CHD,0000313927,ticker:CHD,23
2024,6107100000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000950170-25-019801,USD,True,585300000.0,NetIncomeLoss,0000950170-25-019801,USD,True,1156200000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-25-019801,USD,True,179800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-25-019801,USD,True,807100000.0,OperatingIncomeLoss,0000950170-25-019801,USD,True,95000000.0,InterestExpense,0000950170-25-019801,USD,True,171000000.0,IncomeTaxExpenseBenefit,0000950170-25-019801,USD,True,0.226,EffectiveIncomeTaxRateContinuingOperations,0000950170-25-019801,pure,True,756300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-25-019801,USD,True,964100000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-25-019801,USD,True,,,,,False,2204600000.0,LongTermDebt,0000950170-25-019801,USD,True,0.0,LongTermDebtCurrent,0000950170-25-019801,USD,True,2204600000.0,LongTermDebtNoncurrent,0000950170-25-019801,USD,True,4360800000.0,StockholdersEquity,0000950170-25-019801,USD,True,964100000.0,2204600000.0,976400000.0,0.2261007536691789,5601300000.0,624614081.7136056,0.11151234208373156,807100000.0,False,0.1598794845343944,1.6682043396548778,True,True,CHD,0000313927,ticker:CHD,23
2023,5867900000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000950170-24-015810,USD,True,755600000.0,NetIncomeLoss,0000950170-24-015810,USD,True,1030600000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-24-015810,USD,True,223500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-24-015810,USD,True,1057400000.0,OperatingIncomeLoss,0000950170-24-015810,USD,True,110900000.0,InterestExpense,0000950170-24-015810,USD,True,211800000.0,IncomeTaxExpenseBenefit,0000950170-24-015810,USD,True,0.219,EffectiveIncomeTaxRateContinuingOperations,0000950170-24-015810,pure,True,967400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-24-015810,USD,True,344500000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-24-015810,USD,True,,,,,False,2402100000.0,LongTermDebt,0000950170-24-015810,USD,True,199900000.0,LongTermDebtCurrent,0000950170-24-015810,USD,True,2202200000.0,LongTermDebtNoncurrent,0000950170-24-015810,USD,True,3855400000.0,StockholdersEquity,0000950170-24-015810,USD,True,344500000.0,2402100000.0,807100000.0,0.21893735786644614,5913000000.0,825895637.7920198,0.13967455399831216,1057400000.0,False,0.1375449479370814,1.0681577554261514,True,True,CHD,0000313927,ticker:CHD,23
2022,5375600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000950170-23-003066,USD,True,413900000.0,NetIncomeLoss,0000950170-23-003066,USD,True,885200000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-23-003066,USD,True,178800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-23-003066,USD,True,597800000.0,OperatingIncomeLoss,0000950170-23-003066,USD,True,89600000.0,InterestExpense,0000950170-23-003066,USD,True,109400000.0,IncomeTaxExpenseBenefit,0000950170-23-003066,USD,True,0.209,EffectiveIncomeTaxRateContinuingOperations,0000950170-23-003066,pure,True,523300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-23-003066,USD,True,270300000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-23-003066,USD,True,,,,,False,2599500000.0,LongTermDebt,0000950170-23-003066,USD,True,0.0,LongTermDebtCurrent,0000950170-23-003066,USD,True,2599500000.0,LongTermDebtNoncurrent,0000950170-23-003066,USD,True,3489900000.0,StockholdersEquity,0000950170-23-003066,USD,True,270300000.0,2599500000.0,706400000.0,0.20905790177718325,5819100000.0,472825186.3175999,0.08125400600051552,597800000.0,False,0.13140858694843366,1.706692437786905,True,True,CHD,0000313927,ticker:CHD,23
2021,5190100000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001564590-22-005528,USD,True,827500000.0,NetIncomeLoss,0001564590-22-005528,USD,True,993800000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-22-005528,USD,True,118800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-22-005528,USD,True,1079100000.0,OperatingIncomeLoss,0001564590-22-005528,USD,True,54500000.0,InterestExpense,0001564590-22-005528,USD,True,204200000.0,IncomeTaxExpenseBenefit,0001564590-22-005528,USD,True,0.198,EffectiveIncomeTaxRateContinuingOperations,0001564590-22-005528,pure,True,1031700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-22-005528,USD,True,240600000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-22-005528,USD,True,,,,,False,2310100000.0,LongTermDebt,0001564590-22-005528,USD,True,699400000.0,LongTermDebtCurrent,0001564590-22-005528,USD,True,1610700000.0,LongTermDebtNoncurrent,0001564590-22-005528,USD,True,3233200000.0,StockholdersEquity,0001564590-22-005528,USD,True,240600000.0,2310100000.0,875000000.0,0.1979257536105457,5302700000.0,865518319.2788602,0.16322219233199317,1079100000.0,False,0.16859020057417007,1.0574018126888218,True,True,CHD,0000313927,ticker:CHD,23
2020,4895800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001564590-21-006669,USD,True,785900000.0,NetIncomeLoss,0001564590-21-006669,USD,True,990300000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-21-006669,USD,True,98900000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-21-006669,USD,True,1029700000.0,OperatingIncomeLoss,0001564590-21-006669,USD,True,61000000.0,InterestExpense,0001564590-21-006669,USD,True,187900000.0,IncomeTaxExpenseBenefit,0001564590-21-006669,USD,True,0.193,EffectiveIncomeTaxRateContinuingOperations,0001564590-21-006669,pure,True,973800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-21-006669,USD,True,183100000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-21-006669,USD,True,,,,,False,,,,,False,,,,,False,1812500000.0,LongTermDebtNoncurrent,0001564590-21-006669,USD,True,3020400000.0,StockholdersEquity,0001564590-21-006669,USD,True,183100000.0,1812500000.0,891400000.0,0.19295543232696652,4649800000.0,831013791.3329226,0.178720330193325,1029700000.0,False,0.1820744311450631,1.1342409975823897,True,True,CHD,0000313927,ticker:CHD,23
2019,4357700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001564590-20-004956,USD,True,615900000.0,NetIncomeLoss,0001564590-20-004956,USD,True,864500000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-20-004956,USD,True,73700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-20-004956,USD,True,840200000.0,OperatingIncomeLoss,0001564590-20-004956,USD,True,73600000.0,InterestExpense,0001564590-20-004956,USD,True,157800000.0,IncomeTaxExpenseBenefit,0001564590-20-004956,USD,True,0.204,EffectiveIncomeTaxRateContinuingOperations,0001564590-20-004956,pure,True,773700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-20-004956,USD,True,155700000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-20-004956,USD,True,,,,,False,1810200000.0,LongTermDebt,0001564590-20-004956,USD,True,0.0,LongTermDebtCurrent,0001564590-20-004956,USD,True,1810200000.0,LongTermDebtNoncurrent,0001564590-20-004956,USD,True,2667800000.0,StockholdersEquity,0001564590-20-004956,USD,True,155700000.0,1810200000.0,790800000.0,0.2039550213260954,4322300000.0,668836991.0818146,0.15474099231469696,840200000.0,False,0.18147187736650067,1.2839746712128592,True,True,CHD,0000313927,ticker:CHD,23
2018,4145900000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001564590-19-003587,USD,True,568600000.0,NetIncomeLoss,0001564590-19-003587,USD,True,763600000.0,NetCashProvidedByUsedInOperatingActivities,0001564590-19-003587,USD,True,60400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-19-003587,USD,True,791700000.0,OperatingIncomeLoss,0001564590-19-003587,USD,True,79400000.0,InterestExpense,0001564590-19-003587,USD,True,150900000.0,IncomeTaxExpenseBenefit,0001564590-19-003587,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001564590-19-003587,pure,True,719500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-19-003587,USD,True,316700000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-19-003587,USD,True,,,,,False,2105300000.0,LongTermDebt,0001564590-19-003587,USD,True,596500000.0,LongTermDebtCurrent,0001564590-19-003587,USD,True,1508800000.0,LongTermDebtNoncurrent,0001564590-19-003587,USD,True,2453800000.0,StockholdersEquity,0001564590-19-003587,USD,True,316700000.0,2105300000.0,703200000.0,0.209728978457262,4242400000.0,625657567.7553856,0.14747726941245182,791700000.0,False,0.16961335295110833,1.2367217727752373,True,True,CHD,0000313927,ticker:CHD,23
2017,,,,,False,743400000.0,NetIncomeLoss,0001564590-18-002984,USD,True,,,,,False,45000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-18-002984,USD,True,732700000.0,OperatingIncomeLoss,0001564590-18-002984,USD,True,52600000.0,InterestExpense,0001564590-18-002984,USD,True,-50700000.0,IncomeTaxExpenseBenefit,0001564590-18-002984,USD,True,-0.073,EffectiveIncomeTaxRateContinuingOperations,0001564590-18-002984,pure,True,692700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-18-002984,USD,True,278900000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-18-002984,USD,True,,,,,False,,,,,False,,,,,False,2103400000.0,LongTermDebtNoncurrent,0001564590-18-002984,USD,True,2218000000.0,StockholdersEquity,0001564590-18-002984,USD,True,278900000.0,2103400000.0,,-0.07319185794716328,4042500000.0,786327674.3178866,0.19451519463645928,732700000.0,False,,,True,False,CHD,0000313927,ticker:CHD,23
2016,,,,,False,459000000.0,NetIncomeLoss,0001564590-17-002326,USD,True,,,,,False,49800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-17-002326,USD,True,724200000.0,OperatingIncomeLoss,0001564590-17-002326,USD,True,27700000.0,InterestExpense,0001564590-17-002326,USD,True,246900000.0,IncomeTaxExpenseBenefit,0001564590-17-002326,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0001564590-17-002326,pure,True,705900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-17-002326,USD,True,187800000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-17-002326,USD,True,,,,,False,,,,,False,,,,,False,693400000.0,LongTermDebtNoncurrent,0001564590-17-002326,USD,True,1977900000.0,StockholdersEquity,0001564590-17-002326,USD,True,187800000.0,693400000.0,,0.34976625584360393,2483500000.0,470899277.51806206,0.1896111445613296,724200000.0,False,,,True,False,CHD,0000313927,ticker:CHD,23
2015,,,,,False,410400000.0,NetIncomeLoss,0001564590-16-012917,USD,True,,,,,False,61800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-16-012917,USD,True,674200000.0,OperatingIncomeLoss,0001564590-16-012917,USD,True,30500000.0,InterestExpense,0001564590-16-012917,USD,True,225000000.0,IncomeTaxExpenseBenefit,0001564590-16-012917,USD,True,0.354,EffectiveIncomeTaxRateContinuingOperations,0001564590-16-012917,pure,True,635400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-16-012917,USD,True,330000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-16-012917,USD,True,,,,,False,692800000.0,LongTermDebt,0001564590-16-012917,USD,True,0.0,LongTermDebtCurrent,0001564590-16-012917,USD,True,692800000.0,LongTermDebtNoncurrent,0001564590-16-012917,USD,True,2023200000.0,StockholdersEquity,0001564590-16-012917,USD,True,330000000.0,692800000.0,,0.35410764872521244,2386000000.0,435460623.2294618,0.18250654787487922,674200000.0,False,,,True,False,CHD,0000313927,ticker:CHD,23
2014,,,,,False,413900000.0,NetIncomeLoss,0001564590-15-000786,USD,True,,,,,False,70500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001564590-15-000786,USD,True,641200000.0,OperatingIncomeLoss,0001564590-15-000786,USD,True,27400000.0,InterestExpense,0001564590-15-000786,USD,True,211000000.0,IncomeTaxExpenseBenefit,0001564590-15-000786,USD,True,0.338,EffectiveIncomeTaxRateContinuingOperations,0001564590-15-000786,pure,True,624900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001564590-15-000786,USD,True,423000000.0,CashAndCashEquivalentsAtCarryingValue,0001564590-15-000786,USD,True,,,,,False,948500000.0,LongTermDebt,0001564590-15-000786,USD,True,249900000.0,LongTermDebtCurrent,0001564590-15-000786,USD,True,698600000.0,LongTermDebtNoncurrent,0001564590-15-000786,USD,True,2101900000.0,StockholdersEquity,0001564590-15-000786,USD,True,423000000.0,948500000.0,,0.337654024643943,2627400000.0,424696239.39830375,0.16164125728792866,641200000.0,False,,,True,False,CHD,0000313927,ticker:CHD,23
2013,,,,,False,394400000.0,NetIncomeLoss,0001193125-14-062315,USD,True,499600000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-14-062315,USD,True,67100000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-14-062315,USD,True,622200000.0,OperatingIncomeLoss,0001193125-14-062315,USD,True,27700000.0,InterestExpense,0001193125-14-062315,USD,True,203400000.0,IncomeTaxExpenseBenefit,0001193125-14-062315,USD,True,0.34,EffectiveIncomeTaxRateContinuingOperations,0001193125-14-062315,pure,True,597800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-14-062315,USD,True,496900000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-14-062315,USD,True,,,,,False,,,,,False,,,,,False,649500000.0,LongTermDebtNoncurrent,0001193125-14-062315,USD,True,2299900000.0,StockholdersEquity,0001193125-14-062315,USD,True,496900000.0,649500000.0,432500000.0,0.3402475744396119,2452500000.0,410497959.1836735,0.16737939212382202,622200000.0,False,,1.096602434077079,True,False,CHD,0000313927,ticker:CHD,23
2012,,,,,False,349800000.0,NetIncomeLoss,0001193125-13-071188,USD,True,523600000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-13-071188,USD,True,74500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-13-071188,USD,True,545100000.0,OperatingIncomeLoss,0001193125-13-071188,USD,True,14000000.0,InterestExpense,0001193125-13-071188,USD,True,192700000.0,IncomeTaxExpenseBenefit,0001193125-13-071188,USD,True,0.355,EffectiveIncomeTaxRateContinuingOperations,0001193125-13-071188,pure,True,542500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-13-071188,USD,True,343000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-13-071188,USD,True,,,,,False,,,,,False,,,,,False,649400000.0,LongTermDebtNoncurrent,0001193125-13-071188,USD,True,2060900000.0,StockholdersEquity,0001193125-13-071188,USD,True,343000000.0,649400000.0,449100000.0,0.3552073732718894,2367300000.0,351476460.82949305,0.14847144883601276,545100000.0,False,,1.283876500857633,True,False,CHD,0000313927,ticker:CHD,23
