Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,20790000000.0,3260000000.0,,,,
2025,20380000000.0,3320000000.0,30.0,1280000000.0,16329999999.999998,
2024,20100000000.0,4230000000.0000005,25.3,1090000000.0,16040000000.0,
2023,19450000000.0,3670000000.0,27.5,960000000.0,16390000000.0,
2022,17960000000.0,2820000000.0,34.5,770000000.0,15730000000.0,
2021,17420000000.0,3270000000.0,30.5,830000000.0,15040000000.0,
2020,16469999999.999998,3830000000.0,24.4,880000000.0,15920000000.0,
2019,15690000000.0,3490000000.0,21.9,880000000.0,15030000000.0,
2018,15540000000.0,3650000000.0,,720000000.0,12160000000.0,
2017,15450000000.0,3720000000.0,27.4,1530000000.0,12670000000.0,
2016,15190000000.0,3880000000.0,,1310000000.0,12120000000.0,
2015,16030000000.000002,2890000000.0,,970000000.0,11930000000.0,
2014,17270000000.0,3660000000.0,,1080000000.0,13450000000.0,
2013,17420000000.0,3680000000.0,,960000000.0,13980000000.0,
2012,17079999999.999998,3950000000.0,,880000000.0,13390000000.0,
2011,16730000000.0,3840000000.0,,870000000.0,12720000000.0,
2010,15560000000.0,3490000000.0,,490000000.0,11170000000.0,
2009,15320000000.0,3620000000.0,,600000000.0,11130000000.0,
2008,15320000000.0,3090000000.0,,550000000.0,9970000000.0,
2007,13780000000.0,2700000000.0,,420000000.0,10110000000.0,
2006,12230000000.0,2310000000.0,,480000000.0,9130000000.0,
2005,11390000000.0,2210000000.0,,340000000.0,8500000000.0,
2004,10580000000.0,2190000000.0,,310000000.0,8670000000.0,
2003,9900000000.0,2220000000.0,,260000000.0,7470000000.0,
2002,9290000000.0,2009999999.9999998,,160000000.0,7080000000.0,
2001,9170000000.0,1860000000.0,,170000000.0,6980000000.0,
2000,9350000000.0,1720000000.0,,210000000.0,,
1999,9110000000.0,1630000000.0,,230000000.0,,
1998,8970000000.0,1480000000.0,,180000000.0,,
1997,9050000000.0,1350000000.0,,180000000.0,,
1996,8740000000.0,1240000000.0,,240000000.0,,
