year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,20382000000.0,Revenues,0000021665-26-000006,USD,True,2132000000.0,NetIncomeLoss,0000021665-26-000006,USD,True,4198000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-26-000006,USD,True,564000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-26-000006,USD,True,3306000000.0,OperatingIncomeLoss,0000021665-26-000006,USD,True,,,,,False,798000000.0,IncomeTaxExpenseBenefit,0000021665-26-000006,USD,True,0.261,EffectiveIncomeTaxRateContinuingOperations,0000021665-26-000006,pure,True,3059000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-26-000006,USD,True,1288000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-26-000006,USD,True,,,,,False,7839000000.0,LongTermDebt,0000021665-26-000006,USD,True,1115000000.0,LongTermDebtCurrent,0000021665-26-000006,USD,True,6871000000.0,LongTermDebtNoncurrent,0000021665-26-000006,USD,True,54000000.0,StockholdersEquity,0000021665-26-000006,USD,True,1288000000.0,7839000000.0,3634000000.0,0.2608695652173913,6605000000.0,2443565217.391304,0.3699568837836948,3306000000.0,False,0.17829457364341086,1.7045028142589118,True,True,CL,0000021665,ticker:CL,24
2024,20101000000.0,Revenues,0000021665-25-000008,USD,True,2889000000.0,NetIncomeLoss,0000021665-25-000008,USD,True,4107000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-25-000008,USD,True,561000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-25-000008,USD,True,4268000000.0,OperatingIncomeLoss,0000021665-25-000008,USD,True,,,,,False,907000000.0,IncomeTaxExpenseBenefit,0000021665-25-000008,USD,True,0.229,EffectiveIncomeTaxRateContinuingOperations,0000021665-25-000008,pure,True,3956000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-25-000008,USD,True,1096000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-25-000008,USD,True,,,,,False,7005000000.0,LongTermDebt,0000021665-25-000008,USD,True,652000000.0,LongTermDebtCurrent,0000021665-25-000008,USD,True,7289000000.0,LongTermDebtNoncurrent,0000021665-25-000008,USD,True,212000000.0,StockholdersEquity,0000021665-25-000008,USD,True,1096000000.0,7005000000.0,3546000000.0,0.22927199191102124,6121000000.0,3289467138.5237617,0.5374068189060222,4268000000.0,False,0.1764091338739366,1.2274143302180685,True,True,CL,0000021665,ticker:CL,24
2023,19457000000.0,Revenues,0000021665-24-000003,USD,True,2300000000.0,NetIncomeLoss,0000021665-24-000003,USD,True,3745000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-24-000003,USD,True,705000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-24-000003,USD,True,3984000000.0,OperatingIncomeLoss,0000021665-24-000003,USD,True,299000000.0,InterestExpenseDebt,0000021665-24-000003,USD,True,937000000.0,IncomeTaxExpenseBenefit,0000021665-24-000003,USD,True,0.276,EffectiveIncomeTaxRateContinuingOperations,0000021665-24-000003,pure,True,3392000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-24-000003,USD,True,966000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-24-000003,USD,True,,,,,False,,,,,False,20000000.0,LongTermDebtCurrent,0000021665-24-000003,USD,True,8219000000.0,LongTermDebtNoncurrent,0000021665-24-000003,USD,True,609000000.0,StockholdersEquity,0000021665-24-000003,USD,True,966000000.0,8239000000.0,3040000000.0,0.2762382075471698,7882000000.0,2883466981.1320753,0.36582935563715746,3984000000.0,False,0.1562419694711415,1.3217391304347825,True,True,CL,0000021665,ticker:CL,24
2022,17967000000.0,Revenues,0000021665-23-000007,USD,True,1785000000.0,NetIncomeLoss,0000021665-23-000007,USD,True,2556000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-23-000007,USD,True,696000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-23-000007,USD,True,2893000000.0,OperatingIncomeLoss,0000021665-23-000007,USD,True,172000000.0,InterestExpenseDebt,0000021665-23-000007,USD,True,693000000.0,IncomeTaxExpenseBenefit,0000021665-23-000007,USD,True,0.261,EffectiveIncomeTaxRateContinuingOperations,0000021665-23-000007,pure,True,2660000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-23-000007,USD,True,775000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-23-000007,USD,True,,,,,False,,,,,False,14000000.0,LongTermDebtCurrent,0000021665-23-000007,USD,True,8741000000.0,LongTermDebtNoncurrent,0000021665-23-000007,USD,True,401000000.0,StockholdersEquity,0000021665-23-000007,USD,True,775000000.0,8755000000.0,1860000000.0,0.26052631578947366,8381000000.0,2139297368.4210527,0.25525562205238667,2893000000.0,False,0.10352312573050593,1.0420168067226891,True,True,CL,0000021665,ticker:CL,24
2021,17421000000.0,Revenues,0000021665-22-000003,USD,True,2166000000.0,NetIncomeLoss,0000021665-22-000003,USD,True,3325000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-22-000003,USD,True,567000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-22-000003,USD,True,3332000000.0,OperatingIncomeLoss,0000021665-22-000003,USD,True,195000000.0,InterestExpenseDebt,0000021665-22-000003,USD,True,749000000.0,IncomeTaxExpenseBenefit,0000021665-22-000003,USD,True,0.243,EffectiveIncomeTaxRateContinuingOperations,0000021665-22-000003,pure,True,3087000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-22-000003,USD,True,832000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-22-000003,USD,True,,,,,False,,,,,False,12000000.0,LongTermDebtCurrent,0000021665-22-000003,USD,True,7194000000.0,LongTermDebtNoncurrent,0000021665-22-000003,USD,True,609000000.0,StockholdersEquity,0000021665-22-000003,USD,True,832000000.0,7206000000.0,2758000000.0,0.24263038548752835,6983000000.0,2523555555.5555553,0.3613855872197559,3332000000.0,False,0.158314677687848,1.27331486611265,True,True,CL,0000021665,ticker:CL,24
2020,16471000000.0,Revenues,0000021665-21-000007,USD,True,2695000000.0,NetIncomeLoss,0000021665-21-000007,USD,True,3719000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-21-000007,USD,True,409000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-21-000007,USD,True,3885000000.0,OperatingIncomeLoss,0000021665-21-000007,USD,True,184000000.0,InterestExpenseDebt,0000021665-21-000007,USD,True,787000000.0,IncomeTaxExpenseBenefit,0000021665-21-000007,USD,True,0.216,EffectiveIncomeTaxRateContinuingOperations,0000021665-21-000007,pure,True,3647000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-21-000007,USD,True,888000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-21-000007,USD,True,,,,,False,,,,,False,9000000.0,LongTermDebtCurrent,0000021665-21-000007,USD,True,7334000000.0,LongTermDebtNoncurrent,0000021665-21-000007,USD,True,743000000.0,StockholdersEquity,0000021665-21-000007,USD,True,888000000.0,7343000000.0,3310000000.0,0.21579380312585686,7198000000.0,3046641074.856046,0.4232621665540492,3885000000.0,False,0.2009592617327424,1.228200371057514,True,True,CL,0000021665,ticker:CL,24
2019,15693000000.0,Revenues,0000021665-20-000004,USD,True,2367000000.0,NetIncomeLoss,0000021665-20-000004,USD,True,3133000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-20-000004,USD,True,335000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-20-000004,USD,True,3554000000.0,OperatingIncomeLoss,0000021665-20-000004,USD,True,193000000.0,InterestExpenseDebt,0000021665-20-000004,USD,True,774000000.0,IncomeTaxExpenseBenefit,0000021665-20-000004,USD,True,0.234,EffectiveIncomeTaxRateContinuingOperations,0000021665-20-000004,pure,True,3301000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-20-000004,USD,True,883000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-20-000004,USD,True,,,,,False,,,,,False,254000000.0,LongTermDebtCurrent,0000021665-20-000004,USD,True,7333000000.0,LongTermDebtNoncurrent,0000021665-20-000004,USD,True,117000000.0,StockholdersEquity,0000021665-20-000004,USD,True,883000000.0,7587000000.0,2798000000.0,0.23447440169645561,6821000000.0,2720677976.3707967,0.3988679044672037,3554000000.0,False,0.178296055566176,1.1820870299957753,True,True,CL,0000021665,ticker:CL,24
2018,15544000000.0,Revenues,0000021665-19-000003,USD,True,2400000000.0,NetIncomeLoss,0000021665-19-000003,USD,True,3056000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-19-000003,USD,True,436000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-19-000003,USD,True,3694000000.0,OperatingIncomeLoss,0000021665-19-000003,USD,True,195000000.0,InterestExpenseDebt,0000021665-19-000003,USD,True,906000000.0,IncomeTaxExpenseBenefit,0000021665-19-000003,USD,True,0.262,EffectiveIncomeTaxRateContinuingOperations,0000021665-19-000003,pure,True,3464000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-19-000003,USD,True,726000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-19-000003,USD,True,,,,,False,6354000000.0,LongTermDebt,0000021665-19-000003,USD,True,0.0,LongTermDebtCurrent,0000021665-19-000003,USD,True,6354000000.0,LongTermDebtNoncurrent,0000021665-19-000003,USD,True,-102000000.0,StockholdersEquity,0000021665-19-000003,USD,True,726000000.0,6354000000.0,2620000000.0,0.2615473441108545,5526000000.0,2727844110.8545036,0.493638094617174,3694000000.0,False,0.16855378281008748,1.0916666666666666,True,True,CL,0000021665,ticker:CL,24
2017,15454000000.0,Revenues,0000021665-18-000003,USD,True,2024000000.0,NetIncomeLoss,0000021665-18-000003,USD,True,3054000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-18-000003,USD,True,553000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-18-000003,USD,True,3589000000.0,OperatingIncomeLoss,0000021665-18-000003,USD,True,156000000.0,InterestExpenseDebt,0000021665-18-000003,USD,True,1313000000.0,IncomeTaxExpenseBenefit,0000021665-18-000003,USD,True,0.377,EffectiveIncomeTaxRateContinuingOperations,0000021665-18-000003,pure,True,3487000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-18-000003,USD,True,1535000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-18-000003,USD,True,,,,,False,6566000000.0,LongTermDebt,0000021665-18-000003,USD,True,0.0,LongTermDebtCurrent,0000021665-18-000003,USD,True,6566000000.0,LongTermDebtNoncurrent,0000021665-18-000003,USD,True,-60000000.0,StockholdersEquity,0000021665-18-000003,USD,True,1535000000.0,6566000000.0,2501000000.0,0.3765414396329223,4971000000.0,2237592773.1574416,0.45012930459815764,3589000000.0,False,0.16183512359259739,1.2356719367588933,True,True,CL,0000021665,ticker:CL,24
2016,15195000000.0,Revenues,0000021665-17-000002,USD,True,2441000000.0,NetIncomeLoss,0000021665-17-000002,USD,True,3141000000.0,NetCashProvidedByUsedInOperatingActivities,0000021665-17-000002,USD,True,593000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000021665-17-000002,USD,True,3837000000.0,OperatingIncomeLoss,0000021665-17-000002,USD,True,155000000.0,InterestExpenseDebt,0000021665-17-000002,USD,True,1152000000.0,IncomeTaxExpenseBenefit,0000021665-17-000002,USD,True,0.308,EffectiveIncomeTaxRateContinuingOperations,0000021665-17-000002,pure,True,3738000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000021665-17-000002,USD,True,1315000000.0,CashAndCashEquivalentsAtCarryingValue,0000021665-17-000002,USD,True,,,,,False,6520000000.0,LongTermDebt,0000021665-17-000002,USD,True,0.0,LongTermDebtCurrent,0000021665-17-000002,USD,True,6520000000.0,LongTermDebtNoncurrent,0000021665-17-000002,USD,True,-243000000.0,StockholdersEquity,0000021665-17-000002,USD,True,1315000000.0,6520000000.0,2548000000.0,0.30818619582664525,4962000000.0,2654489566.6131625,0.5349636369635555,3837000000.0,False,0.16768673905890094,1.0438344940598117,True,True,CL,0000021665,ticker:CL,24
