year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,6750000000.0,11.8,5770000000.0,,,,,,,,350000000.0,4.41,15.8,
2025,6520000000.0,11.18,5500000000.0,81.75,4540000000.0,3420000000.0,198420000000.0,28720000000.0,24.4,169690000000.0,350000000.0,1.83,14.9,3.39
2024,6130000000.0,9.69,4700000000.0,74.08,3000000000.0,3420000000.0,137440000000.0,26480000000.0,23.7,110960000000.0,350000000.0,4.52,13.7,3.18
2023,5570000000.0,8.87,4310000000.0,74.45,3020000000.0,3420000000.0,129699999999.99998,26730000000.0,22.5,102960000000.0,350000000.0,4.84,13.6,2.84
2022,5010000000.0,7.41,3650000000.0,69.54,2810000000.0,3430000000.0,174170000000.0,26870000000.0,20.5,147290000000.0,350000000.0,5.6,12.1,2.25
2021,4680000000.0,7.32,3540000000.0,71.94,2940000000.0,3440000000.0,196780000000.0,27390000000.0,26.9,169380000000.0,350000000.0,3.48,17.5,3.0
2020,4880000000.0,5.88,2880000000.0,55.74,1730000000.0,3440000000.0,124650000000.0,26350000000.0,25.9,98300000000.0,350000000.0,3.88,13.4,2.48
2019,4860000000.0,5.92,2860000000.0,55.25,1630000000.0,3740000000.0,75210000000.0,26150000000.0,27.4,49050000000.0,350000000.0,3.39,14.7,2.74
2018,4300000000.0,5.74,2930000000.0,64.46,1440000000.0,4400000000.0,77470000000.0,25960000000.0,25.8,51510000000.0,350000000.0,3.07,15.6,2.59
2017,3640000000.0,11.99,2640000000.0,69.31,1990000000.0,2230000000.0,75790000000.0,22410000000.0,9.34,53370000000.0,330000000.0,5.48,13.6,2.22
2016,3590000000.0,4.54,2410000000.0,63.63,1950000000.0,2230000000.0,69360000000.0,20340000000.0,18.6,49020000000.0,330000000.0,6.68,10.9,1.92
2015,3320000000.0,3.71,2069999999.9999998,58.82,1760000000.0,2220000000.0,67349999999.99999,20550000000.0,17.0,46800000000.0,330000000.0,7.75,9.18,1.49
2014,3110000000.0,3.37,1890000000.0,56.91,1440000000.0,2100000000.0,72240000000.0,20920000000.0,17.4,51310000000.0,330000000.0,6.61,9.55,1.42
2013,2930000000.0,2.94,1750000000.0,54.52,2530000000.0,2850000000.0,54270000000.0,21160000000.0,16.9,33110000000.0,330000000.0,8.87,8.92,1.24
2012,2910000000.0,2.71,1820000000.0,58.1,1660000000.0,2850000000.0,38860000000.0,21500000000.0,11.2,17350000000.0,330000000.0,12.21,5.77,0.7818
2011,3280000000.0,,2049999999.9999998,59.03,1080000000.0,2100000000.0,40750000000.0,21620000000.0,,19130000000.0,,4.12,4.93,0.7482
2010,3000000000.0,,1860000000.0,57.33,4940000000.0,2520000000.0,35040000000.0,20120000000.0,,14910000000.0,,2.62,7.16,1.07
2009,2610000000.0,,1570000000.0,55.02,6280000000.0,2310000000.0,35650000000.0,19300000000.0,,16350000000.000002,,2.55,8.55,1.16
2008,2560000000.0,,1600000000.0,48.73,600000000.0,3210000000.0,48150000000.0,18680000000.0,,29470000000.0,,8.74,5.44,0.7459
2007,1750000000.0,,1080000000.0,62.4,1040000000.0,160000000.0,20300000000.0,12300000000.0,,8000000000.0,,0.98,20.8,2.97
2006,1080000000.0,,620000000.0,61.62,3870000000.0,520000000.0,4300000000.0,1510000000.0,,2780000000.0,,0.97,16.3,11.7
2005,930000000.0,,520000000.0,57.14,3650000000.0,,3960000000.0,1110000000.0,,2850000000.0,,0.99,13.5,11.3
2004,750000000.0,,380000000.0,50.95,740000000.0,,2850000000.0,810000000.0,,2040000000.0,,0.9,10.4,9.6
2003,530000000.0,,200000000.0,38.45,810000000.0,1510000.0,4870000000.0,560000000.0,,4300000000.0,,1.74,4.44,4.23
2002,460000000.0,,160000000.0,32.88,3150000000.0,2320000.0,3350000000.0,440000000.0,,2900000000.0,,0.0,3.03,3.18
2001,,,,28.83,1890000000.0,6650000.0,2060000000.0,240000000.0,,1810000000.0,,,,
2000,,,,,30650000.0,6060000.0,,,,,,,,
