Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,6750000000.0,5770000000.0,,,,
2025,6520000000.0,5500000000.0,24.4,4540000000.0,198420000000.0,
2024,6130000000.0,4700000000.0,23.7,3000000000.0,137440000000.0,
2023,5570000000.0,4310000000.0,22.5,3020000000.0,129699999999.99998,
2022,5010000000.0,3650000000.0,20.5,2810000000.0,174170000000.0,
2021,4680000000.0,3540000000.0,26.9,2940000000.0,196780000000.0,
2020,4880000000.0,2880000000.0,25.9,1730000000.0,124650000000.0,
2019,4860000000.0,2860000000.0,27.4,1630000000.0,75210000000.0,
2018,4300000000.0,2930000000.0,25.8,1440000000.0,77470000000.0,
2017,3640000000.0,2640000000.0,9.34,1990000000.0,75790000000.0,
2016,3590000000.0,2410000000.0,18.6,1950000000.0,69360000000.0,
2015,3320000000.0,2069999999.9999998,17.0,1760000000.0,67349999999.99999,
2014,3110000000.0,1890000000.0,17.4,1440000000.0,72240000000.0,
2013,2930000000.0,1750000000.0,16.9,2530000000.0,54270000000.0,
2012,2910000000.0,1820000000.0,11.2,1660000000.0,38860000000.0,
2011,3280000000.0,2049999999.9999998,,1080000000.0,40750000000.0,
2010,3000000000.0,1860000000.0,,4940000000.0,35040000000.0,
2009,2610000000.0,1570000000.0,,6280000000.0,35650000000.0,
2008,2560000000.0,1600000000.0,,600000000.0,48150000000.0,
2007,1750000000.0,1080000000.0,,1040000000.0,20300000000.0,
2006,1080000000.0,620000000.0,,3870000000.0,4300000000.0,
2005,930000000.0,520000000.0,,3650000000.0,3960000000.0,
2004,750000000.0,380000000.0,,740000000.0,2850000000.0,
2003,530000000.0,200000000.0,,810000000.0,4870000000.0,
2002,460000000.0,160000000.0,,3150000000.0,3350000000.0,
2001,,,,1890000000.0,2060000000.0,
2000,,,,30650000.0,,
