year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,6520600000.0,Revenues,0001156375-26-000009,USD,True,4072200000.0,NetIncomeLoss,0001156375-26-000009,USD,True,4277100000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-26-000009,USD,True,83500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-26-000009,USD,True,4229500000.0,OperatingIncomeLoss,0001156375-26-000009,USD,True,173400000.0,InterestAndDebtExpense,0001156375-26-000009,USD,True,1258300000.0,IncomeTaxExpenseBenefit,0001156375-26-000009,USD,True,0.236,EffectiveIncomeTaxRateContinuingOperations,0001156375-26-000009,pure,True,5330500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-26-000009,USD,True,4416900000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-26-000009,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,28728200000.0,StockholdersEquity,0001156375-26-000009,USD,True,4416900000.0,,4193600000.0,0.23605665509802082,,,,4229500000.0,False,0.6431310002147042,1.0298118952900153,False,True,CME,0001156375,ticker:CME,25
2024,6130100000.0,Revenues,0001156375-25-000021,USD,True,3525800000.0,NetIncomeLoss,0001156375-25-000021,USD,True,3690500000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-25-000021,USD,True,94000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-25-000021,USD,True,3931500000.0,OperatingIncomeLoss,0001156375-25-000021,USD,True,160900000.0,InterestAndDebtExpense,0001156375-25-000021,USD,True,1015600000.0,IncomeTaxExpenseBenefit,0001156375-25-000021,USD,True,0.224,EffectiveIncomeTaxRateContinuingOperations,0001156375-25-000021,pure,True,4541400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-25-000021,USD,True,2892400000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-25-000021,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,26486900000.0,StockholdersEquity,0001156375-25-000021,USD,True,2892400000.0,,3596500000.0,0.22363147927951732,,,,3931500000.0,False,0.5866951599484511,1.0200521867377617,False,True,CME,0001156375,ticker:CME,25
2023,5578900000.0,Revenues,0001156375-24-000010,USD,True,3226200000.0,NetIncomeLoss,0001156375-24-000010,USD,True,3453800000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-24-000010,USD,True,76400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-24-000010,USD,True,3435700000.0,OperatingIncomeLoss,0001156375-24-000010,USD,True,159400000.0,InterestAndDebtExpense,0001156375-24-000010,USD,True,927400000.0,IncomeTaxExpenseBenefit,0001156375-24-000010,USD,True,0.223,EffectiveIncomeTaxRateContinuingOperations,0001156375-24-000010,pure,True,4153600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-24-000010,USD,True,2912000000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-24-000010,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,26737900000.0,StockholdersEquity,0001156375-24-000010,USD,True,2912000000.0,,3377400000.0,0.2232761941448382,,,,3435700000.0,False,0.6053881589560666,1.0468662823135577,False,True,CME,0001156375,ticker:CME,25
2022,5019400000.0,Revenues,0001156375-23-000020,USD,True,2691000000.0,NetIncomeLoss,0001156375-23-000020,USD,True,3056000000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-23-000020,USD,True,89700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-23-000020,USD,True,3015900000.0,OperatingIncomeLoss,0001156375-23-000020,USD,True,162700000.0,InterestAndDebtExpense,0001156375-23-000020,USD,True,799300000.0,IncomeTaxExpenseBenefit,0001156375-23-000020,USD,True,0.229,EffectiveIncomeTaxRateContinuingOperations,0001156375-23-000020,pure,True,3490300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-23-000020,USD,True,2720100000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-23-000020,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,26878700000.0,StockholdersEquity,0001156375-23-000020,USD,True,2720100000.0,,2966300000.0,0.22900610262728133,,,,3015900000.0,False,0.5909670478543252,1.1023039762170197,False,True,CME,0001156375,ticker:CME,25
2021,4689700000.0,Revenues,0001156375-22-000076,USD,True,2636400000.0,NetIncomeLoss,0001156375-22-000076,USD,True,2402400000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-22-000076,USD,True,127200000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-22-000076,USD,True,2645200000.0,OperatingIncomeLoss,0001156375-22-000076,USD,True,166900000.0,InterestAndDebtExpense,0001156375-22-000076,USD,True,736700000.0,IncomeTaxExpenseBenefit,0001156375-22-000076,USD,True,0.218,EffectiveIncomeTaxRateContinuingOperations,0001156375-22-000076,pure,True,3373600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-22-000076,USD,True,2834900000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-22-000076,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,27399300000.0,StockholdersEquity,0001156375-22-000076,USD,True,2834900000.0,,2275200000.0,0.2183720654493716,,,,2645200000.0,False,0.48514830372944967,0.8629949931725079,False,True,CME,0001156375,ticker:CME,25
2020,4883600000.0,Revenues,0001156375-21-000020,USD,True,2105200000.0,NetIncomeLoss,0001156375-21-000020,USD,True,2715600000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-21-000020,USD,True,197500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-21-000020,USD,True,2637400000.0,OperatingIncomeLoss,0001156375-21-000020,USD,True,166200000.0,InterestAndDebtExpense,0001156375-21-000020,USD,True,615700000.0,IncomeTaxExpenseBenefit,0001156375-21-000020,USD,True,0.226,EffectiveIncomeTaxRateContinuingOperations,0001156375-21-000020,pure,True,2722100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-21-000020,USD,True,1633200000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-21-000020,USD,True,,,,,False,,,,,False,7700000.0,FinanceLeaseLiabilityCurrent,0001156375-21-000020,USD,True,83800000.0,FinanceLeaseLiabilityNoncurrent,0001156375-21-000020,USD,True,26319900000.0,StockholdersEquity,0001156375-21-000020,USD,True,1633200000.0,91500000.0,2518100000.0,0.22618566547885824,24778200000.0,2040857925.8660595,0.08236505984559248,2637400000.0,False,0.5156237202064051,1.19613338400152,True,True,CME,0001156375,ticker:CME,25
2019,4868000000.0,Revenues,0001156375-20-000013,USD,True,2116500000.0,NetIncomeLoss,0001156375-20-000013,USD,True,2672800000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-20-000013,USD,True,245600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-20-000013,USD,True,2587800000.0,OperatingIncomeLoss,0001156375-20-000013,USD,True,178000000.0,InterestAndDebtExpense,0001156375-20-000013,USD,True,573800000.0,IncomeTaxExpenseBenefit,0001156375-20-000013,USD,True,0.213,EffectiveIncomeTaxRateContinuingOperations,0001156375-20-000013,pure,True,2689600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-20-000013,USD,True,1551400000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-20-000013,USD,True,,,,,False,,,,,False,7400000.0,FinanceLeaseLiabilityCurrent,0001156375-20-000013,USD,True,91500000.0,FinanceLeaseLiabilityNoncurrent,0001156375-20-000013,USD,True,26128900000.0,StockholdersEquity,0001156375-20-000013,USD,True,1551400000.0,98900000.0,2427200000.0,0.2133402736466389,24676400000.0,2035718039.8572278,0.08249655702846558,2587800000.0,False,0.49860312243221033,1.1467989605480746,True,True,CME,0001156375,ticker:CME,25
2018,4309400000.0,Revenues,0001156375-19-000010,USD,True,1962200000.0,NetIncomeLoss,0001156375-19-000010,USD,True,2440800000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-19-000010,USD,True,116700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-19-000010,USD,True,2607600000.0,OperatingIncomeLoss,0001156375-19-000010,USD,True,157700000.0,InterestAndDebtExpense,0001156375-19-000010,USD,True,814100000.0,IncomeTaxExpenseBenefit,0001156375-19-000010,USD,True,0.293,EffectiveIncomeTaxRateContinuingOperations,0001156375-19-000010,pure,True,2777800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-19-000010,USD,True,1374500000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-19-000010,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,25918500000.0,StockholdersEquity,0001156375-19-000010,USD,True,1374500000.0,,2324100000.0,0.2930736554107567,,,,2607600000.0,False,0.539309416624124,1.184435837325451,False,True,CME,0001156375,ticker:CME,25
2017,3644700000.0,Revenues,0001156375-18-000026,USD,True,4063400000.0,NetIncomeLoss,0001156375-18-000026,USD,True,1840400000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-18-000026,USD,True,81900000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-18-000026,USD,True,2312000000.0,OperatingIncomeLoss,0001156375-18-000026,USD,True,117000000.0,InterestAndDebtExpense,0001156375-18-000026,USD,True,-1537100000.0,IncomeTaxExpenseBenefit,0001156375-18-000026,USD,True,-0.608,EffectiveIncomeTaxRateContinuingOperations,0001156375-18-000026,pure,True,2526300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-18-000026,USD,True,1903600000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-18-000026,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,22411800000.0,StockholdersEquity,0001156375-18-000026,USD,True,1903600000.0,,1758500000.0,-0.608439219411788,,,,2312000000.0,False,0.482481411364447,0.43276566422208,False,True,CME,0001156375,ticker:CME,25
2016,3595200000.0,Revenues,0001156375-17-000016,USD,True,1534100000.0,NetIncomeLoss,0001156375-17-000016,USD,True,1716000000.0,NetCashProvidedByUsedInOperatingActivities,0001156375-17-000016,USD,True,91800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001156375-17-000016,USD,True,2202700000.0,OperatingIncomeLoss,0001156375-17-000016,USD,True,123500000.0,InterestAndDebtExpense,0001156375-17-000016,USD,True,753500000.0,IncomeTaxExpenseBenefit,0001156375-17-000016,USD,True,0.329,EffectiveIncomeTaxRateContinuingOperations,0001156375-17-000016,pure,True,2287600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001156375-17-000016,USD,True,1868600000.0,CashAndCashEquivalentsAtCarryingValue,0001156375-17-000016,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,20340700000.0,StockholdersEquity,0001156375-17-000016,USD,True,1868600000.0,,1624200000.0,0.3293845077810806,,,,2202700000.0,False,0.4517690253671562,1.0587315038133107,False,True,CME,0001156375,ticker:CME,25
