Year,revenue,net_income,pe_ratio,cash,total_assets
2026,12130000000.0,1930000000.0,,,
2025,11920000000.0,2009999999.9999998,32.2,1040000000.0,8990000000.0
2024,11310000000.0,1980000000.0,54.2,1420000000.0,9200000000.0
2023,9870000000.0,1630000000.0,51.3,1290000000.0,8039999999.999999
2022,8630000000.0,1210000000.0,,890000000.0,6920000000.0
2021,7540000000.0,870000000.0,,1070000000.0000001,6650000000.0
2020,5980000000.0,320000000.0,109.0,950000000.0,5980000000.0
2019,5580000000.0,470000000.0,66.3,880000000.0,5100000000.0
2018,4860000000.0,330000000.0,68.1,670000000.0,2260000000.0
2017,4470000000.0,290000000.0,,500000000.0,2040000000.0
2016,3900000000.0,75600000.0,460.0,410000000.0,2020000000.0
2015,4500000000.0,790000000.0,31.4,660000000.0,2720000000.0
2014,4099999999.9999995,730000000.0,47.7,750000000.0,2520000000.0
2013,3210000000.0,550000000.0,50.4,570000000.0,2000000000.0
2012,2730000000.0,480000000.0,,470000000.0,1660000000.0
2011,2260000000.0,350000000.0,49.0,450000000.0,1420000000.0
2010,1830000000.0,280000000.0,,340000000.0,1120000000.0
2009,1510000000.0,200000000.0,,260000000.0,960000000.0
2008,1330000000.0,110000000.0,,180000000.0,820000000.0
2007,1080000000.0,110000000.0,,170000000.0,720000000.0
2006,820000000.0,61950000.0,,150000000.0,600000000.0
2005,,,,60000.0,390000000.0
2004,,,,,320000000.0
2003,,,,,240000000.0
2002,,,,,190000000.0
2001,,,,,140000000.0
