ticker,name,slug,metric,metric_slug,status,rows
RHHBY,Roche,roche,revenue,revenue,ok,15
RHHBY,Roche,roche,eps,eps,ok,15
RHHBY,Roche,roche,net_income,earnings,ok,15
RHHBY,Roche,roche,operating_margin,operating-margin,ok,15
RHHBY,Roche,roche,cash,cash-on-hand,ok,15
RHHBY,Roche,roche,total_debt,total-debt,ok,15
RHHBY,Roche,roche,total_assets,total-assets,ok,15
RHHBY,Roche,roche,net_assets,net-assets,ok,15
RHHBY,Roche,roche,pe_ratio,pe-ratio,ok,15
RHHBY,Roche,roche,total_liabilities,total-liabilities,ok,15
RHHBY,Roche,roche,shares_outstanding,shares-outstanding,ok,15
RHHBY,Roche,roche,dividend_yield,dividend-yield,ok,15
RHHBY,Roche,roche,price_to_sales,ps-ratio,ok,15
RHHBY,Roche,roche,price_to_book,pb-ratio,ok,15
RNO,Renault SA,renault,revenue,revenue,ok,15
RNO,Renault SA,renault,eps,eps,ok,15
RNO,Renault SA,renault,net_income,earnings,ok,15
RNO,Renault SA,renault,operating_margin,operating-margin,ok,15
RNO,Renault SA,renault,cash,cash-on-hand,ok,15
RNO,Renault SA,renault,total_debt,total-debt,ok,15
RNO,Renault SA,renault,total_assets,total-assets,ok,15
RNO,Renault SA,renault,net_assets,net-assets,ok,15
RNO,Renault SA,renault,pe_ratio,pe-ratio,ok,15
RNO,Renault SA,renault,total_liabilities,total-liabilities,ok,15
RNO,Renault SA,renault,shares_outstanding,shares-outstanding,ok,15
RNO,Renault SA,renault,dividend_yield,dividend-yield,ok,15
RNO,Renault SA,renault,price_to_sales,ps-ratio,ok,15
RNO,Renault SA,renault,price_to_book,pb-ratio,ok,15
MCD,McDonald's,mcdonald,revenue,revenue,ok,15
MCD,McDonald's,mcdonald,eps,eps,ok,15
MCD,McDonald's,mcdonald,net_income,earnings,ok,15
MCD,McDonald's,mcdonald,operating_margin,operating-margin,ok,15
MCD,McDonald's,mcdonald,cash,cash-on-hand,ok,15
MCD,McDonald's,mcdonald,total_debt,total-debt,ok,15
MCD,McDonald's,mcdonald,total_assets,total-assets,ok,15
MCD,McDonald's,mcdonald,net_assets,net-assets,ok,15
MCD,McDonald's,mcdonald,pe_ratio,pe-ratio,ok,15
MCD,McDonald's,mcdonald,total_liabilities,total-liabilities,ok,15
MCD,McDonald's,mcdonald,shares_outstanding,shares-outstanding,ok,15
MCD,McDonald's,mcdonald,dividend_yield,dividend-yield,ok,15
MCD,McDonald's,mcdonald,price_to_sales,ps-ratio,ok,15
MCD,McDonald's,mcdonald,price_to_book,pb-ratio,ok,15
KO,Coca-Cola,coca-cola,revenue,revenue,ok,15
KO,Coca-Cola,coca-cola,eps,eps,ok,15
KO,Coca-Cola,coca-cola,net_income,earnings,ok,15
KO,Coca-Cola,coca-cola,operating_margin,operating-margin,ok,15
KO,Coca-Cola,coca-cola,cash,cash-on-hand,ok,15
KO,Coca-Cola,coca-cola,total_debt,total-debt,ok,15
KO,Coca-Cola,coca-cola,total_assets,total-assets,ok,15
KO,Coca-Cola,coca-cola,net_assets,net-assets,ok,15
KO,Coca-Cola,coca-cola,pe_ratio,pe-ratio,ok,15
KO,Coca-Cola,coca-cola,total_liabilities,total-liabilities,ok,15
KO,Coca-Cola,coca-cola,shares_outstanding,shares-outstanding,ok,15
KO,Coca-Cola,coca-cola,dividend_yield,dividend-yield,ok,15
KO,Coca-Cola,coca-cola,price_to_sales,ps-ratio,ok,15
KO,Coca-Cola,coca-cola,price_to_book,pb-ratio,ok,15
DPZ,Domino's Pizza,dominos-pizza,revenue,revenue,ok,15
DPZ,Domino's Pizza,dominos-pizza,eps,eps,ok,15
DPZ,Domino's Pizza,dominos-pizza,net_income,earnings,ok,15
DPZ,Domino's Pizza,dominos-pizza,operating_margin,operating-margin,ok,15
DPZ,Domino's Pizza,dominos-pizza,cash,cash-on-hand,ok,15
DPZ,Domino's Pizza,dominos-pizza,total_debt,total-debt,ok,15
DPZ,Domino's Pizza,dominos-pizza,total_assets,total-assets,ok,15
DPZ,Domino's Pizza,dominos-pizza,net_assets,net-assets,ok,15
DPZ,Domino's Pizza,dominos-pizza,pe_ratio,pe-ratio,ok,15
DPZ,Domino's Pizza,dominos-pizza,total_liabilities,total-liabilities,ok,15
DPZ,Domino's Pizza,dominos-pizza,shares_outstanding,shares-outstanding,ok,15
DPZ,Domino's Pizza,dominos-pizza,dividend_yield,dividend-yield,ok,15
DPZ,Domino's Pizza,dominos-pizza,price_to_sales,ps-ratio,ok,15
DPZ,Domino's Pizza,dominos-pizza,price_to_book,pb-ratio,ok,15
MO,Altria Group,altria-group,revenue,revenue,ok,15
MO,Altria Group,altria-group,eps,eps,ok,15
MO,Altria Group,altria-group,net_income,earnings,ok,15
MO,Altria Group,altria-group,operating_margin,operating-margin,ok,15
MO,Altria Group,altria-group,cash,cash-on-hand,ok,15
MO,Altria Group,altria-group,total_debt,total-debt,ok,15
MO,Altria Group,altria-group,total_assets,total-assets,ok,15
MO,Altria Group,altria-group,net_assets,net-assets,ok,15
MO,Altria Group,altria-group,pe_ratio,pe-ratio,ok,15
MO,Altria Group,altria-group,total_liabilities,total-liabilities,ok,15
MO,Altria Group,altria-group,shares_outstanding,shares-outstanding,ok,15
MO,Altria Group,altria-group,dividend_yield,dividend-yield,ok,15
MO,Altria Group,altria-group,price_to_sales,ps-ratio,ok,15
MO,Altria Group,altria-group,price_to_book,pb-ratio,ok,15
OXY,Occidental Petroleum,occidental-petroleum,revenue,revenue,ok,15
OXY,Occidental Petroleum,occidental-petroleum,eps,eps,ok,15
OXY,Occidental Petroleum,occidental-petroleum,net_income,earnings,ok,15
OXY,Occidental Petroleum,occidental-petroleum,operating_margin,operating-margin,ok,15
OXY,Occidental Petroleum,occidental-petroleum,cash,cash-on-hand,ok,15
OXY,Occidental Petroleum,occidental-petroleum,total_debt,total-debt,ok,15
OXY,Occidental Petroleum,occidental-petroleum,total_assets,total-assets,ok,15
OXY,Occidental Petroleum,occidental-petroleum,net_assets,net-assets,ok,15
OXY,Occidental Petroleum,occidental-petroleum,pe_ratio,pe-ratio,ok,15
OXY,Occidental Petroleum,occidental-petroleum,total_liabilities,total-liabilities,ok,15
OXY,Occidental Petroleum,occidental-petroleum,shares_outstanding,shares-outstanding,ok,15
OXY,Occidental Petroleum,occidental-petroleum,dividend_yield,dividend-yield,ok,15
OXY,Occidental Petroleum,occidental-petroleum,price_to_sales,ps-ratio,ok,15
OXY,Occidental Petroleum,occidental-petroleum,price_to_book,pb-ratio,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,revenue,revenue,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,eps,eps,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,net_income,earnings,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,operating_margin,operating-margin,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,cash,cash-on-hand,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,total_debt,total-debt,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,total_assets,total-assets,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,net_assets,net-assets,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,pe_ratio,pe-ratio,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,total_liabilities,total-liabilities,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,shares_outstanding,shares-outstanding,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,dividend_yield,dividend-yield,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,price_to_sales,ps-ratio,ok,15
JNJ,Johnson & Johnson,johnson-and-johnson,price_to_book,pb-ratio,ok,15
V,Visa,visa,revenue,revenue,ok,15
V,Visa,visa,eps,eps,ok,15
V,Visa,visa,net_income,earnings,ok,15
V,Visa,visa,operating_margin,operating-margin,ok,15
V,Visa,visa,cash,cash-on-hand,ok,15
V,Visa,visa,total_debt,total-debt,ok,15
V,Visa,visa,total_assets,total-assets,ok,15
V,Visa,visa,net_assets,net-assets,ok,15
V,Visa,visa,pe_ratio,pe-ratio,ok,15
V,Visa,visa,total_liabilities,total-liabilities,ok,15
V,Visa,visa,shares_outstanding,shares-outstanding,ok,15
V,Visa,visa,dividend_yield,dividend-yield,ok,15
V,Visa,visa,price_to_sales,ps-ratio,ok,15
V,Visa,visa,price_to_book,pb-ratio,ok,15
MA,Mastercard,mastercard,revenue,revenue,ok,15
MA,Mastercard,mastercard,eps,eps,ok,15
MA,Mastercard,mastercard,net_income,earnings,ok,15
MA,Mastercard,mastercard,operating_margin,operating-margin,ok,15
MA,Mastercard,mastercard,cash,cash-on-hand,ok,15
MA,Mastercard,mastercard,total_debt,total-debt,ok,15
MA,Mastercard,mastercard,total_assets,total-assets,ok,15
MA,Mastercard,mastercard,net_assets,net-assets,ok,15
MA,Mastercard,mastercard,pe_ratio,pe-ratio,ok,15
MA,Mastercard,mastercard,total_liabilities,total-liabilities,ok,15
MA,Mastercard,mastercard,shares_outstanding,shares-outstanding,ok,15
MA,Mastercard,mastercard,dividend_yield,dividend-yield,ok,15
MA,Mastercard,mastercard,price_to_sales,ps-ratio,ok,15
MA,Mastercard,mastercard,price_to_book,pb-ratio,ok,15
MSFT,Microsoft,microsoft,revenue,revenue,ok,15
MSFT,Microsoft,microsoft,eps,eps,ok,15
MSFT,Microsoft,microsoft,net_income,earnings,ok,15
MSFT,Microsoft,microsoft,operating_margin,operating-margin,ok,15
MSFT,Microsoft,microsoft,cash,cash-on-hand,ok,15
MSFT,Microsoft,microsoft,total_debt,total-debt,ok,15
MSFT,Microsoft,microsoft,total_assets,total-assets,ok,15
MSFT,Microsoft,microsoft,net_assets,net-assets,ok,15
MSFT,Microsoft,microsoft,pe_ratio,pe-ratio,ok,15
MSFT,Microsoft,microsoft,total_liabilities,total-liabilities,ok,15
MSFT,Microsoft,microsoft,shares_outstanding,shares-outstanding,ok,15
MSFT,Microsoft,microsoft,dividend_yield,dividend-yield,ok,15
MSFT,Microsoft,microsoft,price_to_sales,ps-ratio,ok,15
MSFT,Microsoft,microsoft,price_to_book,pb-ratio,ok,15
GOOGL,Alphabet,alphabet-google,revenue,revenue,ok,15
GOOGL,Alphabet,alphabet-google,eps,eps,ok,15
GOOGL,Alphabet,alphabet-google,net_income,earnings,ok,15
GOOGL,Alphabet,alphabet-google,operating_margin,operating-margin,ok,15
GOOGL,Alphabet,alphabet-google,cash,cash-on-hand,ok,15
GOOGL,Alphabet,alphabet-google,total_debt,total-debt,ok,15
GOOGL,Alphabet,alphabet-google,total_assets,total-assets,ok,15
GOOGL,Alphabet,alphabet-google,net_assets,net-assets,ok,15
GOOGL,Alphabet,alphabet-google,pe_ratio,pe-ratio,ok,15
GOOGL,Alphabet,alphabet-google,total_liabilities,total-liabilities,ok,15
GOOGL,Alphabet,alphabet-google,shares_outstanding,shares-outstanding,ok,15
GOOGL,Alphabet,alphabet-google,dividend_yield,dividend-yield,ok,15
GOOGL,Alphabet,alphabet-google,price_to_sales,ps-ratio,ok,15
GOOGL,Alphabet,alphabet-google,price_to_book,pb-ratio,ok,15
ASML,ASML,asml,revenue,revenue,ok,15
ASML,ASML,asml,eps,eps,ok,15
ASML,ASML,asml,net_income,earnings,ok,15
ASML,ASML,asml,operating_margin,operating-margin,ok,15
ASML,ASML,asml,cash,cash-on-hand,ok,15
ASML,ASML,asml,total_debt,total-debt,ok,15
ASML,ASML,asml,total_assets,total-assets,ok,15
ASML,ASML,asml,net_assets,net-assets,ok,15
ASML,ASML,asml,pe_ratio,pe-ratio,ok,15
ASML,ASML,asml,total_liabilities,total-liabilities,ok,15
ASML,ASML,asml,shares_outstanding,shares-outstanding,ok,15
ASML,ASML,asml,dividend_yield,dividend-yield,ok,15
ASML,ASML,asml,price_to_sales,ps-ratio,ok,15
ASML,ASML,asml,price_to_book,pb-ratio,ok,15
COST,Costco,costco,revenue,revenue,ok,15
COST,Costco,costco,eps,eps,ok,15
COST,Costco,costco,net_income,earnings,ok,15
COST,Costco,costco,operating_margin,operating-margin,ok,15
COST,Costco,costco,cash,cash-on-hand,ok,15
COST,Costco,costco,total_debt,total-debt,ok,15
COST,Costco,costco,total_assets,total-assets,ok,15
COST,Costco,costco,net_assets,net-assets,ok,15
COST,Costco,costco,pe_ratio,pe-ratio,ok,15
COST,Costco,costco,total_liabilities,total-liabilities,ok,15
COST,Costco,costco,shares_outstanding,shares-outstanding,ok,15
COST,Costco,costco,dividend_yield,dividend-yield,ok,15
COST,Costco,costco,price_to_sales,ps-ratio,ok,15
COST,Costco,costco,price_to_book,pb-ratio,ok,15
META,Meta Platforms,meta-platforms,revenue,revenue,ok,15
META,Meta Platforms,meta-platforms,eps,eps,ok,15
META,Meta Platforms,meta-platforms,net_income,earnings,ok,15
META,Meta Platforms,meta-platforms,operating_margin,operating-margin,ok,15
META,Meta Platforms,meta-platforms,cash,cash-on-hand,ok,15
META,Meta Platforms,meta-platforms,total_debt,total-debt,ok,15
META,Meta Platforms,meta-platforms,total_assets,total-assets,ok,15
META,Meta Platforms,meta-platforms,net_assets,net-assets,ok,15
META,Meta Platforms,meta-platforms,pe_ratio,pe-ratio,ok,15
META,Meta Platforms,meta-platforms,total_liabilities,total-liabilities,ok,15
META,Meta Platforms,meta-platforms,shares_outstanding,shares-outstanding,ok,15
META,Meta Platforms,meta-platforms,dividend_yield,dividend-yield,ok,15
META,Meta Platforms,meta-platforms,price_to_sales,ps-ratio,ok,15
META,Meta Platforms,meta-platforms,price_to_book,pb-ratio,ok,15
AMZN,Amazon.com,amazon,revenue,revenue,ok,15
AMZN,Amazon.com,amazon,eps,eps,ok,15
AMZN,Amazon.com,amazon,net_income,earnings,ok,15
AMZN,Amazon.com,amazon,operating_margin,operating-margin,ok,15
AMZN,Amazon.com,amazon,cash,cash-on-hand,ok,15
AMZN,Amazon.com,amazon,total_debt,total-debt,ok,15
AMZN,Amazon.com,amazon,total_assets,total-assets,ok,15
AMZN,Amazon.com,amazon,net_assets,net-assets,ok,15
AMZN,Amazon.com,amazon,pe_ratio,pe-ratio,ok,15
AMZN,Amazon.com,amazon,total_liabilities,total-liabilities,ok,15
AMZN,Amazon.com,amazon,shares_outstanding,shares-outstanding,ok,15
AMZN,Amazon.com,amazon,dividend_yield,,missing,15
AMZN,Amazon.com,amazon,price_to_sales,ps-ratio,ok,15
AMZN,Amazon.com,amazon,price_to_book,pb-ratio,ok,15
