year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,293580000000.0,19.91,11890000000.0,,,,,,,,440000000.0,0.58,1.45,
2025,280390000000.0,18.71,11240000000.0,3.93,15280000000.0,8170000000.0,77090000000.0,29160000000.0,46.1,47930000000.0,440000000.0,0.59,1.44,12.5
2024,258800000000.0,17.07,10100000000.0,3.83,11140000000.0,8160000000.0,69830000000.0,23620000000.0,53.5,46200000000.0,440000000.0,0.49,1.66,17.1
2023,245650000000.0,13.12,8980000000.0,3.5,15230000000.0,8880000000.0,68990000000.0,25050000000.0,49.8,43930000000.0,440000000.0,2.9,1.07,11.2
2022,231020000000.0,,8060000000.000001,3.45,11040000000.0,9030000000.0,64160000000.0,20640000000.0,,43510000000.0,440000000.0,0.8,0.9474,9.43
2021,203080000000.0,,7120000000.0,3.41,12170000000.0,10130000000.0,59260000000.0,18070000000.0,,41190000000.0,440000000.0,0.57,1.18,13.2
2020,172920000000.0,9.77,5890000000.0,3.22,13300000000.0,10160000000.0,55550000000.0,18700000000.0,36.5,36850000000.0,440000000.0,3.57,1.0,10.9
2019,154670000000.0,,5040000000.0,3.12,9440000000.0,6820000000.0,45400000000.0,15580000000.0,,29810000000.0,440000000.0,0.94,0.8563,8.0
2018,144830000000.0,7.44,4590000000.0,3.14,7250000000.0,6570000000.0,40830000000.0,13100000000.0,24.8,27720000000.0,430000000.0,1.2,0.7035,6.66
2017,132729999999.99998,6.32,4269999999.9999995,3.13,5770000000.0,6650000000.0,36340000000.0,11070000000.0,26.4,25260000000.0,430000000.0,5.36,0.6102,7.2
2016,119590000000.0,5.5,3830000000.0,3.05,4720000000.0,5160000000.0,33159999999.999996,12330000000.0,24.8,20830000000.0,430000000.0,1.28,0.5514,5.75
2015,116550000000.0,5.38,3710000000.0,3.1,6410000000.0,6130000000.0,33009999999.999996,10840000000.0,25.3,22170000000.0,430000000.0,4.82,0.6091,6.41
2014,114480000000.0,4.85,3420000000.0,2.84,7310000000.0,5090000000.0,33020000000.000004,12510000000.0,23.6,20500000000.0,430000000.0,1.2,0.5468,4.97
2013,106450000000.0,4.69,3170000000.0,2.9,6120000000.0,4990000000.0,30280000000.0,11010000000.0,20.3,19270000000.0,430000000.0,1.27,0.5181,4.59
2012,101220000000.0,,2940000000.0,2.79,4850000000.0,1380000000.0,27140000000.0,12510000000.0,,14620000000.0,430000000.0,10.35,0.4464,3.35
