Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,293580000000.0,11890000000.0,,,,
2025,280390000000.0,11240000000.0,46.1,15280000000.0,77090000000.0,
2024,258800000000.0,10100000000.0,53.5,11140000000.0,69830000000.0,
2023,245650000000.0,8980000000.0,49.8,15230000000.0,68990000000.0,
2022,231020000000.0,8060000000.000001,,11040000000.0,64160000000.0,
2021,203080000000.0,7120000000.0,,12170000000.0,59260000000.0,
2020,172920000000.0,5890000000.0,36.5,13300000000.0,55550000000.0,
2019,154670000000.0,5040000000.0,,9440000000.0,45400000000.0,
2018,144830000000.0,4590000000.0,24.8,7250000000.0,40830000000.0,
2017,132729999999.99998,4269999999.9999995,26.4,5770000000.0,36340000000.0,
2016,119590000000.0,3830000000.0,24.8,4720000000.0,33159999999.999996,
2015,116550000000.0,3710000000.0,25.3,6410000000.0,33009999999.999996,
2014,114480000000.0,3420000000.0,23.6,7310000000.0,33020000000.000004,
2013,106450000000.0,3170000000.0,20.3,6120000000.0,30280000000.0,
2012,101220000000.0,2940000000.0,,4850000000.0,27140000000.0,
2011,91300000000.0,2540000000.0,18.0,5610000000.0,26760000000.0,
2010,79880000000.0,2240000000.0,16.9,4740000000.0,23810000000.0,
2009,72320000000.0,1830000000.0,,3720000000.0,21970000000.0,
2008,73060000000.0,2040000000.0,,3270000000.0,20680000000.0,
2007,66050000000.0,1640000000.0,,3350000000.0,19600000000.0,
2006,61390000000.0,1660000000.0,,2830000000.0,17490000000.0,
2005,54290000000.0,1490000000.0,,3450000000.0,16660000000.0,
2004,49160000000.0,1430000000.0,,3120000000.0,15090000000.0,
2003,43860000000.0,1170000000.0,,1540000000.0,13190000000.0,
2002,39490000000.0,1150000000.0,,800000000.0,11620000000.0,
2001,35620000000.0,990000000.0,,600000000.0,10080000000.0,
2000,32850000000.0,1030000000.0,,570000000.0,,
1999,28400000000.0,890000000.0,,690000000.0,,
1998,24830000000.0,790000000.0,,360000000.0,,
1997,22420000000.0,610000000.0,,170000000.0,,
1996,20060000000.0,520000000.0,,100000000.0,,
