year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,4630000000.0,1.62,1690000000.0,,,,,,,,930000000.0,6.91,
2025,4610000000.0,1.65,1680000000.0,40.79,4780000000.0,100000000.0,10090000000.0,9200000000.0,23.7,880000000.0,960000000.0,8.94,3.8
2024,4500000000.0,1.46,1620000000.0,40.47,3420000000.0,110000000.0,8420000000.0,7540000000.0,39.3,870000000.0,960000000.0,11.4,7.11
2023,4050000000.0,1.39,1580000000.0,40.17,2360000000.0,120000000.0,6730000000.0,5980000000.0,35.4,750000000.0,950000000.0,10.2,7.31
2022,3670000000.0,1.13,1350000000.0,38.3,1380000000.0,110000000.0,5300000000.0,4620000000.0,26.9,680000000.0,,7.64,5.98
2021,3160000000.0,1.05,1310000000.0,41.67,1040000000.0,510000000.0,4560000000.0,3520000000.0,36.0,1030000000.0,,12.7,9.48
2020,2280000000.0,0.73,910000000.0,36.31,470000000.0,510000000.0,3450000000.0,2480000000.0,43.7,960000000.0,,11.6,11.1
2019,2220000000.0,0.76,810000000.0,34.52,180000000.0,400000000.0,2540000000.0,1770000000.0,30.0,760000000.0,,9.0,11.0
2018,1870000000.0,0.49,630000000.0,31.15,270000000.0,390000000.0,2300000000.0,1580000000.0,24.4,720000000.0,,6.19,6.69
2017,1630000000.0,0.33,510000000.0,30.39,210000000.0,630000000.0,1980000000.0,1090000000.0,32.5,880000000.0,,5.52,8.4
2016,1370000000.0,0.43,440000000.0,31.21,150000000.0,640000000.0,1640000000.0,770000000.0,16.2,870000000.0,,4.53,7.86
2015,1160000000.0,0.22,360000000.0,28.97,450000000.0,640000000.0,1790000000.0,960000000.0,21.5,830000000.0,,3.8,4.5
2014,1160000000.0,0.19,300000000.0,23.21,150000000.0,300000000.0,1500000000.0,1000000000.0,24.2,500000000.0,,3.6,4.44
2013,1100000000.0,0.18,280000000.0,26.46,63630000.0,380000000.0,1330000000.0,760000000.0,26.2,570000000.0,,3.72,5.59
2012,970000000.0,0.19,290000000.0,30.09,140000000.0,440000000.0,1150000000.0,560000000.0,19.9,590000000.0,,3.82,6.05
2011,900000000.0,0.15,270000000.0,30.25,74000000.0,370000000.0,1080000000.0,550000000.0,19.8,520000000.0,,3.2,5.62
2010,830000000.0,,250000000.0,30.99,260000000.0,970000.0,1220000000.0,1080000000.0,,140000000.0,,3.57,2.9
2009,740000000.0,,230000000.0,30.65,160000000.0,,1050000000.0,920000000.0,,130000000.0,,3.67,3.2
2008,780000000.0,,230000000.0,31.81,38950000.0,17500000.0,950000000.0,790000000.0,,150000000.0,,3.67,2.81
2007,650000000.0,,210000000.0,38.78,210000000.0,9250000.0,1010000000.0,880000000.0,,130000000.0,,5.58,4.06
2006,540000000.0,,190000000.0,33.02,270000000.0,,890000000.0,800000000.0,,84730000.0,,4.82,3.22
2005,480000000.0,,150000000.0,36.76,250000000.0,,790000000.0,700000000.0,,84140000.0,,4.57,2.84
2004,420000000.0,,140000000.0,33.23,170000000.0,10000.0,670000000.0,600000000.0,,70760000.0,,4.05,3.79
2003,360000000.0,,95720000.0,27.1,110000000.0,100000.0,580000000.0,520000000.0,,61460000.0,,3.12,2.78
2002,330000000.0,,95760000.0,29.6,130000000.0,400000.0,530000000.0,480000000.0,,49630000.0,,3.0,2.18
2001,280000000.0,,78970000.0,27.98,15240000.0,710000.0,310000000.0,260000000.0,,45910000.0,,6.08,
2000,210000000.0,,54860000.0,,12160000.0,8550000.0,,,,,,,
1999,160000000.0,,39600000.0,,37000000.0,7900000.0,,,,,,,
1998,120000000.0,,27300000.0,,15700000.0,8400000.0,,,,,,,
1997,110000000.0,,20300000.0,,27700000.0,9700000.0,,,,,,,
1996,120000000.0,,17300000.0,,13000000.0,11300000.0,,,,,,,
