Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,4630000000.0,1690000000.0,,,,
2025,4610000000.0,1680000000.0,23.7,4780000000.0,10090000000.0,
2024,4500000000.0,1620000000.0,39.3,3420000000.0,8420000000.0,
2023,4050000000.0,1580000000.0,35.4,2360000000.0,6730000000.0,
2022,3670000000.0,1350000000.0,26.9,1380000000.0,5300000000.0,
2021,3160000000.0,1310000000.0,36.0,1040000000.0,4560000000.0,
2020,2280000000.0,910000000.0,43.7,470000000.0,3450000000.0,
2019,2220000000.0,810000000.0,30.0,180000000.0,2540000000.0,
2018,1870000000.0,630000000.0,24.4,270000000.0,2300000000.0,
2017,1630000000.0,510000000.0,32.5,210000000.0,1980000000.0,
2016,1370000000.0,440000000.0,16.2,150000000.0,1640000000.0,
2015,1160000000.0,360000000.0,21.5,450000000.0,1790000000.0,
2014,1160000000.0,300000000.0,24.2,150000000.0,1500000000.0,
2013,1100000000.0,280000000.0,26.2,63630000.0,1330000000.0,
2012,970000000.0,290000000.0,19.9,140000000.0,1150000000.0,
2011,900000000.0,270000000.0,19.8,74000000.0,1080000000.0,
2010,830000000.0,250000000.0,,260000000.0,1220000000.0,
2009,740000000.0,230000000.0,,160000000.0,1050000000.0,
2008,780000000.0,230000000.0,,38950000.0,950000000.0,
2007,650000000.0,210000000.0,,210000000.0,1010000000.0,
2006,540000000.0,190000000.0,,270000000.0,890000000.0,
2005,480000000.0,150000000.0,,250000000.0,790000000.0,
2004,420000000.0,140000000.0,,170000000.0,670000000.0,
2003,360000000.0,95720000.0,,110000000.0,580000000.0,
2002,330000000.0,95760000.0,,130000000.0,530000000.0,
2001,280000000.0,78970000.0,,15240000.0,310000000.0,
2000,210000000.0,54860000.0,,12160000.0,,
1999,160000000.0,39600000.0,,37000000.0,,
1998,120000000.0,27300000.0,,15700000.0,,
1997,110000000.0,20300000.0,,27700000.0,,
1996,120000000.0,17300000.0,,13000000.0,,
