year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,4646958000.0,Revenues,0001628280-25-042946,USD,True,1552449000.0,NetIncomeLoss,0001628280-25-042946,USD,True,1799750000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-25-042946,USD,True,568990000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-25-042946,USD,True,1696714000.0,OperatingIncomeLoss,0001628280-25-042946,USD,True,,,,,False,347218000.0,IncomeTaxExpenseBenefit,0001628280-25-042946,USD,True,0.183,EffectiveIncomeTaxRateContinuingOperations,0001628280-25-042946,pure,True,1895581000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-25-042946,USD,True,,,,,False,,,,,False,,,,,False,59000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001628280-25-042946,USD,True,2646000.0,FinanceLeaseLiabilityNoncurrent,0001628280-25-042946,USD,True,9187033000.0,StockholdersEquity,0001628280-25-042946,USD,True,,2705000.0,1230760000.0,0.1831723360806001,,,,1696714000.0,False,0.2648528349083422,0.7927861076273681,False,True,CPRT,0000900075,ticker:CPRT,24
2024,4236823000.0,Revenues,0000900075-24-000024,USD,True,1363020000.0,NetIncomeLoss,0000900075-24-000024,USD,True,1472564000.0,NetCashProvidedByUsedInOperatingActivities,0000900075-24-000024,USD,True,510990000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000900075-24-000024,USD,True,1572023000.0,OperatingIncomeLoss,0000900075-24-000024,USD,True,,,,,False,352254000.0,IncomeTaxExpenseBenefit,0000900075-24-000024,USD,True,0.205,EffectiveIncomeTaxRateContinuingOperations,0000900075-24-000024,pure,True,1714601000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000900075-24-000024,USD,True,,,,,False,,,,,False,,,,,False,0.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000900075-24-000024,USD,True,0.0,FinanceLeaseLiabilityNoncurrent,0000900075-24-000024,USD,True,7524011000.0,StockholdersEquity,0000900075-24-000024,USD,True,,0.0,961574000.0,0.20544371547666193,,,,1572023000.0,False,0.22695637745546604,0.7054731405261845,False,True,CPRT,0000900075,ticker:CPRT,24
2023,3869518000.0,Revenues,0000900075-23-000034,USD,True,1237741000.0,NetIncomeLoss,0000900075-23-000034,USD,True,1364210000.0,NetCashProvidedByUsedInOperatingActivities,0000900075-23-000034,USD,True,516636000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000900075-23-000034,USD,True,1486569000.0,OperatingIncomeLoss,0000900075-23-000034,USD,True,,,,,False,316587000.0,IncomeTaxExpenseBenefit,0000900075-23-000034,USD,True,0.204,EffectiveIncomeTaxRateContinuingOperations,0000900075-23-000034,pure,True,1554328000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000900075-23-000034,USD,True,,,,,False,,,,,False,11006000.0,LongTermDebt,0000900075-23-000034,USD,True,13000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000900075-23-000034,USD,True,0.0,FinanceLeaseLiabilityNoncurrent,0000900075-23-000034,USD,True,5987440000.0,StockholdersEquity,0000900075-23-000034,USD,True,,11006000.0,847574000.0,0.20368094765068892,,,,1486569000.0,False,0.21903865029184513,0.6847749246409386,False,True,CPRT,0000900075,ticker:CPRT,24
2022,3500921000.0,Revenues,0000900075-22-000050,USD,True,1090130000.0,NetIncomeLoss,0000900075-22-000050,USD,True,1176683000.0,NetCashProvidedByUsedInOperatingActivities,0000900075-22-000050,USD,True,337448000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000900075-22-000050,USD,True,1374997000.0,OperatingIncomeLoss,0000900075-22-000050,USD,True,,,,,False,250824000.0,IncomeTaxExpenseBenefit,0000900075-22-000050,USD,True,0.187,EffectiveIncomeTaxRateContinuingOperations,0000900075-22-000050,pure,True,1340954000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000900075-22-000050,USD,True,,,,,False,,,,,False,,,,,False,23000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000900075-22-000050,USD,True,13000.0,FinanceLeaseLiabilityNoncurrent,0000900075-22-000050,USD,True,4625599000.0,StockholdersEquity,0000900075-22-000050,USD,True,,36000.0,839235000.0,0.1870489218869551,,,,1374997000.0,False,0.23971834840032094,0.7698485501729152,False,True,CPRT,0000900075,ticker:CPRT,24
2021,2692511000.0,Revenues,0000900075-21-000022,USD,True,936495000.0,NetIncomeLoss,0000900075-21-000022,USD,True,990891000.0,NetCashProvidedByUsedInOperatingActivities,0000900075-21-000022,USD,True,462996000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000900075-21-000022,USD,True,1136426000.0,OperatingIncomeLoss,0000900075-21-000022,USD,True,,,,,False,185351000.0,IncomeTaxExpenseBenefit,0000900075-21-000022,USD,True,0.165,EffectiveIncomeTaxRateContinuingOperations,0000900075-21-000022,pure,True,1121846000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000900075-21-000022,USD,True,,,,,False,,,,,False,400000000.0,LongTermDebt,0000900075-21-000022,USD,True,,,,,False,,,,,False,3529201000.0,StockholdersEquity,0000900075-21-000022,USD,True,,400000000.0,527895000.0,0.16521964690340743,,,,1136426000.0,False,0.1960604803471555,0.563692278122147,False,True,CPRT,0000900075,ticker:CPRT,24
2020,525659000.0,Revenues,0000900075-20-000021,USD,True,699907000.0,NetIncomeLoss,0000900075-20-000021,USD,True,917885000.0,NetCashProvidedByUsedInOperatingActivities,0000900075-20-000021,USD,True,591972000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000900075-20-000021,USD,True,816099000.0,OperatingIncomeLoss,0000900075-20-000021,USD,True,20230000.0,InterestExpense,0000900075-20-000021,USD,True,100932000.0,IncomeTaxExpenseBenefit,0000900075-20-000021,USD,True,0.126,EffectiveIncomeTaxRateContinuingOperations,0000900075-20-000021,pure,True,800839000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000900075-20-000021,USD,True,,,,,False,,,,,False,400000000.0,LongTermDebt,0000900075-20-000021,USD,True,751000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000900075-20-000021,USD,True,566000.0,FinanceLeaseLiabilityNoncurrent,0000900075-20-000021,USD,True,2489516000.0,StockholdersEquity,0000900075-20-000021,USD,True,,400000000.0,325913000.0,0.1260328230767982,,,,816099000.0,False,0.6200084084929584,0.4656518651763734,False,True,CPRT,0000900075,ticker:CPRT,24
2019,542575000.0,Revenues,0000900075-19-000022,USD,True,591693000.0,NetIncomeLoss,0000900075-19-000022,USD,True,646646000.0,NetCashProvidedByUsedInOperatingActivities,0000900075-19-000022,USD,True,373883000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000900075-19-000022,USD,True,716475000.0,OperatingIncomeLoss,0000900075-19-000022,USD,True,19810000.0,InterestExpense,0000900075-19-000022,USD,True,113258000.0,IncomeTaxExpenseBenefit,0000900075-19-000022,USD,True,0.161,EffectiveIncomeTaxRateContinuingOperations,0000900075-19-000022,pure,True,704951000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000900075-19-000022,USD,True,186319000.0,CashAndCashEquivalentsAtCarryingValue,0000900075-19-000022,USD,True,,,,,False,400000000.0,LongTermDebt,0000900075-19-000022,USD,True,1138000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000900075-19-000022,USD,True,,,,,False,1778381000.0,StockholdersEquity,0000900075-19-000022,USD,True,186319000.0,400000000.0,272763000.0,0.1606608118862162,1992062000.0,601365544.8038232,0.3018809378442153,716475000.0,False,0.5027194397087961,0.4609873701395825,True,True,CPRT,0000900075,ticker:CPRT,24
2018,1805695000.0,Revenues,0000900075-18-000048,USD,True,417867000.0,NetIncomeLoss,0000900075-18-000048,USD,True,,,,,False,287910000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000900075-18-000048,USD,True,584345000.0,OperatingIncomeLoss,0000900075-18-000048,USD,True,20368000.0,InterestExpense,0000900075-18-000048,USD,True,144504000.0,IncomeTaxExpenseBenefit,0000900075-18-000048,USD,True,0.257,EffectiveIncomeTaxRateContinuingOperations,0000900075-18-000048,pure,True,562511000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000900075-18-000048,USD,True,274520000.0,CashAndCashEquivalentsAtCarryingValue,0000900075-18-000048,USD,True,,,,,False,400000000.0,LongTermDebt,0000900075-18-000048,USD,True,1151000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000900075-18-000048,USD,True,,,,,False,1581099000.0,StockholdersEquity,0000900075-18-000048,USD,True,274520000.0,400000000.0,,0.2568909763542402,1706579000.0,434232042.42228144,0.2544459075274461,584345000.0,False,,,True,False,CPRT,0000900075,ticker:CPRT,24
2017,1447981000.0,Revenues,0000900075-17-000044,USD,True,394227000.0,NetIncomeLoss,0000900075-17-000044,USD,True,,,,,False,172178000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000900075-17-000044,USD,True,461299000.0,OperatingIncomeLoss,0000900075-17-000044,USD,True,23779000.0,InterestExpense,0000900075-17-000044,USD,True,45839000.0,IncomeTaxExpenseBenefit,0000900075-17-000044,USD,True,0.104,EffectiveIncomeTaxRateContinuingOperations,0000900075-17-000044,pure,True,440100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000900075-17-000044,USD,True,210100000.0,CashAndCashEquivalentsAtCarryingValue,0000900075-17-000044,USD,True,,,,,False,631000000.0,LongTermDebt,0000900075-17-000044,USD,True,82155000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000900075-17-000044,USD,True,,,,,False,1098600000.0,StockholdersEquity,0000900075-17-000044,USD,True,210100000.0,631000000.0,,0.10415587366507612,1519500000.0,413251999.63417417,0.2719657779757645,461299000.0,False,,,True,False,CPRT,0000900075,ticker:CPRT,24
2016,1268449000.0,Revenues,0000900075-16-000081,USD,True,270360000.0,NetIncomeLoss,0000900075-16-000081,USD,True,,,,,False,173917000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000900075-16-000081,USD,True,406470000.0,OperatingIncomeLoss,0000900075-16-000081,USD,True,23606000.0,InterestExpense,0000900075-16-000081,USD,True,125505000.0,IncomeTaxExpenseBenefit,0000900075-16-000081,USD,True,0.317,EffectiveIncomeTaxRateContinuingOperations,0000900075-16-000081,pure,True,395865000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000900075-16-000081,USD,True,155849000.0,CashAndCashEquivalentsAtCarryingValue,0000900075-16-000081,USD,True,,,,,False,638000000.0,LongTermDebt,0000900075-16-000081,USD,True,76151000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000900075-16-000081,USD,True,,,,,False,774456000.0,StockholdersEquity,0000900075-16-000081,USD,True,155849000.0,638000000.0,,0.3170398999658975,1256607000.0,277602791.86086166,0.2209145674509705,406470000.0,False,,,True,False,CPRT,0000900075,ticker:CPRT,24
