year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,42820000000.0,8.68,10260000000.0,22.93,9560000000.0,17170000000.000002,112300000000.0,59140000000.0,,53160000000.0,860000000.0,0.99,3.51,
2025,41520000000.0,7.56,9520000000.0,19.63,14030000000.0,11390000000.0,102920000000.0,61170000000.0,,41750000000.0,940000000.0,0.63,6.15,4.02
2024,37890000000.0,6.15,7430000000.0,14.2,14190000000.0,12580000000.0,99820000000.0,59640000000.0,7.03,40170000000.0,950000000.0,0.48,7.58,5.53
2023,34850000000.0,2.66,4950000000.0,2.11,12500000000.0,14080000000.0,98840000000.0,58350000000.0,14.7,40490000000.0,970000000.0,0.0,5.63,4.38
2022,31350000000.0,0.28,660000000.0,5.78,10530000000.0,13980000000.0,95200000000.0,58130000000.0,141.0,37070000000.0,990000000.0,0.0,5.37,2.23
2021,26490000000.0,1.85,1530000000.0,12.05,11960000000.0,6280000000.0,66300000000.0,41490000000.0,22.7,24800000000.0,980000000.0,0.0,11.7,4.39
2020,21250000000.0,3.92,2560000000.0,4.13,7940000000.0,5860000000.0,55120000000.0,33880000000.000004,8.4,21240000000.0,910000000.0,0.0,10.4,5.07
2019,17090000000.0,0.98,700000000.0,7.4,4340000000.0,3170000000.0,30730000000.0,15600000000.0,40.3,15130000000.0,870000000.0,0.0,8.75,4.33
2018,13280000000.0,1.1,980000000.0,3.98,4520000000.0,1720000000.0,21980000000.0,10370000000.0,31.0,11600000000.0,760000000.0,0.0,8.38,7.13
2017,10520000000.0,0.01,280000000.0,2.12,2200000000.0,2790000000.0,17580000000.0,7500000000.0,,10080000000.0,710000000.0,0.0,7.42,8.35
2016,8390000000.000001,0.31,25380000.0,0.96,2720000000.0,2040000000.0,12760000000.0,5000000000.0,112.0,7760000000.0,690000000.0,0.0,6.62,7.01
2015,6660000000.0,-0.13,64269999.99999999,-3.97,990000000.0,2190000000.0,10660000000.0,3970000000.0,-223.0,6680000000.0,660000000.0,0.0,8.14,11.0
2014,5370000000.0,-0.51,,-8.79,830000000.0,2500000000.0,9150000000.0,3060000000.0,,6080000000.0,620000000.0,0.0,7.96,9.87
2013,4070000000.0000005,-0.24,,-4.19,860000000.0,640000000.0,5520000000.0,2370000000.0,,3150000000.0,600000000.0,0.0,8.56,11.3
2012,3050000000.0,,,-1.47,770000000.0,560000000.0,4160000000.0,1660000000.0,,2490000000.0,,0.0,7.28,11.5
2011,2260000000.0,,,6.29,490000000.0,490000000.0,3090000000.0,1270000000.0,,1810000000.0,,0.0,8.66,9.21
2010,1650000000.0,,100000000.0,10.91,1240000000.0,460000000.0,2460000000.0,1050000000.0,,1400000000.0,,0.0,9.7,14.3
2009,1300000000.0,,140000000.0,7.95,690000000.0,7610000.0,1470000000.0,680000000.0,,790000000.0,,0.0,5.67,10.6
2008,1070000000.0000001,,85590000.0,6.17,450000000.0,,1080000000.0,460000000.0,,620000000.0,,0.0,3.76,6.18
2007,740000000.0,,46210000.0,2.51,250000000.0,180000.0,660000000.0,280000000.0,,370000000.0,,0.0,9.85,18.1
2006,490000000.0,,12490000.0,9.1,200000000.0,790000.0,430000000.0,190000000.0,,230000000.0,,0.0,9.98,15.9
2005,300000000.0,,28190000.0,5.19,110000000.0,2880000.0,280000000.0,140000000.0,,130000000.0,,0.0,9.26,17.6
2004,170000000.0,,9150000.0,4.41,35810000.0,70000.0,87510000.0,,,130000000.0,,0.0,14.1,12.4
2003,90930000.0,,,-19.63,16000000.0,600000.0,39670000.0,,,95130000.0,,,,
2002,,,,-129.56,,,29710000.0,9780000.0,,19920000.0,,,,
2001,,,,-586.27,,,37040000.0,,,66370000.00000001,,,,
