year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,41525000000.0,Revenues,0001108524-26-000060,USD,True,7457000000.0,NetIncomeLoss,0001108524-26-000060,USD,True,14996000000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-26-000060,USD,True,594000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-26-000060,USD,True,8331000000.0,OperatingIncomeLoss,0001108524-26-000060,USD,True,324000000.0,InterestExpense,0001108524-26-000060,USD,True,2063000000.0,IncomeTaxExpenseBenefit,0001108524-26-000060,USD,True,0.215,EffectiveIncomeTaxRateContinuingOperations,0001108524-26-000060,pure,True,9520000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-26-000060,USD,True,7327000000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-26-000060,USD,True,,,,,False,14439000000.0,LongTermDebt,0001108524-26-000060,USD,True,275000000.0,FinanceLeaseLiabilityCurrent,0001108524-26-000060,USD,True,260000000.0,FinanceLeaseLiabilityNoncurrent,0001108524-26-000060,USD,True,59142000000.0,StockholdersEquity,0001108524-26-000060,USD,True,7327000000.0,14439000000.0,14402000000.0,0.21670168067226891,66254000000.0,6525658298.319327,0.09849455577503739,8331000000.0,False,0.34682721252257676,1.9313396808367977,True,True,CRM,0001108524,ticker:CRM,22
2024,34857000000.0,Revenues,0001108524-24-000005,USD,True,4136000000.0,NetIncomeLoss,0001108524-24-000005,USD,True,10234000000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-24-000005,USD,True,736000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-24-000005,USD,True,5011000000.0,OperatingIncomeLoss,0001108524-24-000005,USD,True,,,,,False,814000000.0,IncomeTaxExpenseBenefit,0001108524-24-000005,USD,True,,,,,False,4950000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-24-000005,USD,True,8472000000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-24-000005,USD,True,,,,,False,9426000000.0,LongTermDebt,0001108524-24-000005,USD,True,372000000.0,FinanceLeaseLiabilityCurrent,0001108524-24-000005,USD,True,602000000.0,FinanceLeaseLiabilityNoncurrent,0001108524-24-000005,USD,True,59646000000.0,StockholdersEquity,0001108524-24-000005,USD,True,8472000000.0,9426000000.0,9498000000.0,0.16444444444444445,60600000000.0,4186968888.88889,0.0690918958562523,5011000000.0,False,0.2724847232980463,2.29642166344294,True,True,CRM,0001108524,ticker:CRM,22
2023,31352000000.0,Revenues,0001108524-23-000011,USD,True,208000000.0,NetIncomeLoss,0001108524-23-000011,USD,True,7111000000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-23-000011,USD,True,798000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-23-000011,USD,True,1030000000.0,OperatingIncomeLoss,0001108524-23-000011,USD,True,287000000.0,InterestExpense,0001108524-23-000011,USD,True,452000000.0,IncomeTaxExpenseBenefit,0001108524-23-000011,USD,True,,,,,False,660000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-23-000011,USD,True,7016000000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-23-000011,USD,True,,,,,False,10601000000.0,LongTermDebt,0001108524-23-000011,USD,True,257000000.0,FinanceLeaseLiabilityCurrent,0001108524-23-000011,USD,True,534000000.0,FinanceLeaseLiabilityNoncurrent,0001108524-23-000011,USD,True,58359000000.0,StockholdersEquity,0001108524-23-000011,USD,True,7016000000.0,10601000000.0,6313000000.0,0.6848484848484848,61944000000.0,324606060.6060606,0.005240314810248945,1030000000.0,False,0.20135876499106914,30.35096153846154,True,True,CRM,0001108524,ticker:CRM,22
2022,26492000000.0,Revenues,0001108524-22-000013,USD,True,1444000000.0,NetIncomeLoss,0001108524-22-000013,USD,True,6000000000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-22-000013,USD,True,717000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-22-000013,USD,True,548000000.0,OperatingIncomeLoss,0001108524-22-000013,USD,True,216000000.0,InterestExpense,0001108524-22-000013,USD,True,88000000.0,IncomeTaxExpenseBenefit,0001108524-22-000013,USD,True,,,,,False,1532000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-22-000013,USD,True,5464000000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-22-000013,USD,True,,,,,False,10596000000.0,LongTermDebt,0001108524-22-000013,USD,True,114000000.0,FinanceLeaseLiabilityCurrent,0001108524-22-000013,USD,True,271000000.0,FinanceLeaseLiabilityNoncurrent,0001108524-22-000013,USD,True,58131000000.0,StockholdersEquity,0001108524-22-000013,USD,True,5464000000.0,10596000000.0,5283000000.0,0.057441253263707574,63263000000.0,516522193.21148825,0.008164680669767293,548000000.0,False,0.1994186924354522,3.6585872576177287,True,True,CRM,0001108524,ticker:CRM,22
2021,21252000000.0,Revenues,0001108524-22-000008,USD,True,4072000000.0,NetIncomeLoss,0001108524-22-000008,USD,True,4801000000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-22-000008,USD,True,710000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-22-000008,USD,True,455000000.0,OperatingIncomeLoss,0001108524-22-000008,USD,True,110000000.0,InterestExpense,0001108524-22-000008,USD,True,-1511000000.0,IncomeTaxExpenseBenefit,0001108524-22-000008,USD,True,,,,,False,2561000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-22-000008,USD,True,6195000000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-22-000008,USD,True,,,,,False,2690000000.0,LongTermDebt,0001108524-22-000008,USD,True,35000000.0,FinanceLeaseLiabilityCurrent,0001108524-22-000008,USD,True,93000000.0,FinanceLeaseLiabilityNoncurrent,0001108524-22-000008,USD,True,41493000000.0,StockholdersEquity,0001108524-22-000008,USD,True,6195000000.0,2690000000.0,4091000000.0,-0.5900039047247169,37988000000.0,723451776.6497462,0.019044218612449884,455000000.0,False,0.1924995294560512,1.0046660117878192,True,True,CRM,0001108524,ticker:CRM,22
2020,17098000000.0,Revenues,0001108524-20-000014,USD,True,126000000.0,NetIncomeLoss,0001108524-20-000014,USD,True,4331000000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-20-000014,USD,True,643000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-20-000014,USD,True,297000000.0,OperatingIncomeLoss,0001108524-20-000014,USD,True,110000000.0,InterestExpense,0001108524-20-000014,USD,True,580000000.0,IncomeTaxExpenseBenefit,0001108524-20-000014,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001108524-20-000014,pure,True,706000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-20-000014,USD,True,4145000000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-20-000014,USD,True,,,,,False,2694000000.0,LongTermDebt,0001108524-20-000014,USD,True,53000000.0,FinanceLeaseLiabilityCurrent,0001108524-20-000014,USD,True,332000000.0,FinanceLeaseLiabilityNoncurrent,0001108524-20-000014,USD,True,33885000000.0,StockholdersEquity,0001108524-20-000014,USD,True,4145000000.0,2694000000.0,3688000000.0,0.8215297450424929,32434000000.0,53005665.72237962,0.0016342623704254677,297000000.0,False,0.21569774242601475,29.26984126984127,True,True,CRM,0001108524,ticker:CRM,22
2019,10540000000.0,Revenues,0001108524-19-000009,USD,True,1110000000.0,NetIncomeLoss,0001108524-19-000009,USD,True,3398000000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-19-000009,USD,True,595000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-19-000009,USD,True,535000000.0,OperatingIncomeLoss,0001108524-19-000009,USD,True,154000000.0,InterestExpense,0001108524-19-000009,USD,True,-127000000.0,IncomeTaxExpenseBenefit,0001108524-19-000009,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001108524-19-000009,pure,True,983000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-19-000009,USD,True,2669000000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-19-000009,USD,True,,,,,False,3198000000.0,LongTermDebt,0001108524-19-000009,USD,True,3000000.0,FinanceLeaseLiabilityCurrent,0001108524-19-000009,USD,True,3173000000.0,FinanceLeaseLiabilityNoncurrent,0001108524-19-000009,USD,True,15605000000.0,StockholdersEquity,0001108524-19-000009,USD,True,2669000000.0,3198000000.0,2803000000.0,-0.12919633774160733,16134000000.0,604120040.69176,0.03744390979867113,535000000.0,False,0.2659392789373814,2.5252252252252254,True,True,CRM,0001108524,ticker:CRM,22
2018,,,,,False,127478000.0,NetIncomeLoss,0001108524-18-000011,USD,True,2737965000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-18-000011,USD,True,534027000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-18-000011,USD,True,235768000.0,OperatingIncomeLoss,0001108524-18-000011,USD,True,86943000.0,InterestExpense,0001108524-18-000011,USD,True,74630000.0,IncomeTaxExpenseBenefit,0001108524-18-000011,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0001108524-18-000011,pure,True,202108000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-18-000011,USD,True,2543484000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-18-000011,USD,True,,,,,False,1726821000.0,LongTermDebt,0001108524-18-000011,USD,True,1024717000.0,FinanceLeaseLiabilityCurrent,0001108524-18-000011,USD,True,694781000.0,FinanceLeaseLiabilityNoncurrent,0001108524-18-000011,USD,True,9388496000.0,StockholdersEquity,0001108524-18-000011,USD,True,2543484000.0,1726821000.0,2203938000.0,0.3692580204643062,8571833000.0,148708775.03117144,0.017348538525093927,235768000.0,False,,17.288771395848695,True,False,CRM,0001108524,ticker:CRM,22
2017,8391984000.0,Revenues,0001108524-17-000006,USD,True,179632000.0,NetIncomeLoss,0001108524-17-000006,USD,True,2162198000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-17-000006,USD,True,463958000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-17-000006,USD,True,64228000.0,OperatingIncomeLoss,0001108524-17-000006,USD,True,88988000.0,InterestExpense,0001108524-17-000006,USD,True,-154249000.0,IncomeTaxExpenseBenefit,0001108524-17-000006,USD,True,,,,,False,25383000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-17-000006,USD,True,1606549000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-17-000006,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,7500127000.0,StockholdersEquity,0001108524-17-000006,USD,True,1606549000.0,,1698240000.0,-6.076862467005476,,,,64228000.0,False,0.20236454216309277,9.453994833882604,False,True,CRM,0001108524,ticker:CRM,22
2016,6667216000.0,Revenues,0001108524-16-000053,USD,True,-47426000.0,NetIncomeLoss,0001108524-16-000053,USD,True,1612585000.0,NetCashProvidedByUsedInOperatingActivities,0001108524-16-000053,USD,True,284476000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001108524-16-000053,USD,True,114923000.0,OperatingIncomeLoss,0001108524-16-000053,USD,True,72485000.0,InterestExpense,0001108524-16-000053,USD,True,111705000.0,IncomeTaxExpenseBenefit,0001108524-16-000053,USD,True,,,,,False,64279000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001108524-16-000053,USD,True,1158363000.0,CashAndCashEquivalentsAtCarryingValue,0001108524-16-000053,USD,True,183018000.0,AvailableForSaleSecuritiesCurrent,0001108524-16-000053,USD,True,,,,,False,,,,,False,,,,,False,5002869000.0,StockholdersEquity,0001108524-16-000053,USD,True,1341381000.0,,1328109000.0,1.7378148384386813,,,,114923000.0,False,0.19919993592527976,-28.003816471977398,False,True,CRM,0001108524,ticker:CRM,22
