year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,60740000000.0,3.08,15540000000.0,,,,,,,,3950000000.0,1.45,5.97,
2025,59050000000.0,2.67,14470000000.0,19.59,16110000000.0,28090000000.0,122290000000.0,46840000000.0,28.9,75440000000.0,3950000000.0,1.6,4.99,6.41
2024,54170000000.0,2.34,11380000000.0,22.74,17850000000.0,30970000000.0,124410000000.0,45450000000.0,24.8,78950000000.0,3990000000.0,2.07,4.18,5.24
2023,57230000000.0,3.34,16480000000.0,26.87,26140000000.0,8390000000.000001,101850000000.0,44350000000.0,14.4,57490000000.0,4050000000.0,2.44,3.6,4.54
2022,53160000000.0,2.77,14490000000.0,28.08,19260000000.0,9510000000.0,94000000000.0,39770000000.0,15.8,54220000000.0,4099999999.9999995,2.6,3.57,4.86
2021,51540000000.0,2.7,14970000000.0,26.62,24510000000.0,11520000000.0,97490000000.0,41270000000.0,21.0,56220000000.0,4210000000.0,1.96,4.65,6.26
2020,48020000000.0,2.47,13160000000.0,28.34,29410000000.0,14580000000.0,94850000000.0,37920000000.0,15.7,56930000000.0,4230000000.0000005,2.78,3.15,4.96
2019,51550000000.0,2.54,15290000000.0,28.07,33409999999.999996,24660000000.0,97790000000.0,33570000000.0,15.8,64220000000.0,4240000000.0,2.61,3.88,5.91
2018,50820000000.0,0.37,15000000000.0,26.43,46540000000.0,25560000000.0,108780000000.0,43200000000.0,95.6,65580000000.0,4560000000.0,2.8,4.11,4.44
2017,48090000000.0,1.94,13480000000.0,25.6,70490000000.0,33710000000.0,129810000000.0,66129999999.99999,15.6,63680000000.0,4950000000.0,2.87,3.54,2.89
2016,48570000000.0,2.11,13160000000.0,26.24,65750000000.0,28640000000.0,121650000000.0,63580000000.0,11.0,58060000000.0,5020000000.0,3.37,3.15,2.39
2015,49580000000.0,1.89,13020000000.0,22.78,60410000000.0,25350000000.0,113370000000.0,59700000000.0,10.6,53660000000.0,5080000000.0,3.14,2.96,2.3
2014,48080000000.0,1.49,11210000000.0,20.61,52070000000.0,20840000000.0,105070000000.0,56660000000.0,13.4,48400000000.0,5110000000.0,2.86,2.64,2.51
2013,47870000000.0,1.85,10670000000.0,23.1,50610000000.0,16210000000.0,101190000000.0,59120000000.0,8.43,42060000000.0,5370000000.0,3.27,2.47,2.04
2012,47250000000.0,1.56,11160000000.0,22.06,48710000000.0,16320000000.0,91750000000.0,51300000000.0,8.56,40450000000.0,5300000000.0,3.29,1.95,1.98
2011,44840000000.0,1.15,9260000000.0,18.11,44580000000.0,16820000000.0,87090000000.0,47250000000.0,10.4,39830000000.0,5390000000.0,1.5,2.28,2.06
2010,42360000000.0,1.38,9650000000.0,23.51,39860000000.0,15280000000.0,81130000000.0,44280000000.0,9.59,36840000000.0,5590000000.0,0.0,3.06,2.51
2009,35530000000.0,0.99,8300000000.000001,21.3,35000000000.0,10290000000.0,68120000000.00001,38670000000.0,15.8,29450000000.0,5760000000.0,0.0,3.77,3.44
2008,39570000000.0,,9720000000.0,25.94,26230000000.0,6890000000.0,58730000000.0,34400000000.0,,24330000000.0,5880000000.0,0.0,2.6,2.72
2007,37680000000.0,,10580000000.0,27.09,22260000000.0,6400000000.0,53340000000.0,31490000000.0,,21850000000.0,6080000000.0,0.0,5.54,4.83
2006,31920000000.0,,8800000000.0,26.8,17810000000.0,6330000000.0,43310000000.0,23910000000.0,,19390000000.0,6060000000.0,0.0,4.86,6.5
2005,25940000000.0,,7640000000.0,32.4,16050000000.0,,33880000000.000004,23180000000.0,,10690000000.0,6240000000.0,0.0,4.23,4.9
2004,23570000000.0,,6950000000.0,31.72,8660000000.0,,35590000000.0,25910000000.0,,9670000000.0,6630000000.0,0.0,5.53,5.15
2003,19810000000.0,,5380000000.0,26.55,8480000000.0,,37100000000.0,28030000000.0,,9060000000.0,6930000000.0,0.0,7.56,6.1
2002,19200000000.0,,4250000000.0,14.33,12650000000.0,,37790000000.0,28670000000.0,,9120000000.0,7240000000.0,0.0,4.19,3.33
2001,18290000000.0,,,-3.92,6900000000.0,,35230000000.0,27140000000.0,,8090000000.0,7300000000.0,0.0,6.13,
2000,23940000000.0,,3410000000.0,,5520000000.0,,,,,,7090000000.0,0.0,,
1999,15030000000.0,,3460000000.0,,2100000000.0,,,,,,,0.0,,
1998,10010000000.0,,2150000000.0,,1730000000.0,,,,,,,0.0,,
1997,7290000000.0,,1960000000.0,,1270000000.0,,,,,,,0.0,,
1996,5680000000.0,,1660000000.0,,1030000000.0,,,,,,,0.0,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
1993,,,,,,,,,,,,0.0,,
1992,,,,,,,,,,,,0.0,,
1991,,,,,,,,,,,,0.0,,
1990,,,,,,,,,,,,0.0,,
