Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,60740000000.0,15540000000.0,,,,
2025,59050000000.0,14470000000.0,28.9,16110000000.0,122290000000.0,
2024,54170000000.0,11380000000.0,24.8,17850000000.0,124410000000.0,
2023,57230000000.0,16480000000.0,14.4,26140000000.0,101850000000.0,
2022,53160000000.0,14490000000.0,15.8,19260000000.0,94000000000.0,
2021,51540000000.0,14970000000.0,21.0,24510000000.0,97490000000.0,
2020,48020000000.0,13160000000.0,15.7,29410000000.0,94850000000.0,
2019,51550000000.0,15290000000.0,15.8,33409999999.999996,97790000000.0,
2018,50820000000.0,15000000000.0,95.6,46540000000.0,108780000000.0,
2017,48090000000.0,13480000000.0,15.6,70490000000.0,129810000000.0,
2016,48570000000.0,13160000000.0,11.0,65750000000.0,121650000000.0,
2015,49580000000.0,13020000000.0,10.6,60410000000.0,113370000000.0,
2014,48080000000.0,11210000000.0,13.4,52070000000.0,105070000000.0,
2013,47870000000.0,10670000000.0,8.43,50610000000.0,101190000000.0,
2012,47250000000.0,11160000000.0,8.56,48710000000.0,91750000000.0,
2011,44840000000.0,9260000000.0,10.4,44580000000.0,87090000000.0,
2010,42360000000.0,9650000000.0,9.59,39860000000.0,81130000000.0,
2009,35530000000.0,8300000000.000001,15.8,35000000000.0,68120000000.00001,
2008,39570000000.0,9720000000.0,,26230000000.0,58730000000.0,
2007,37680000000.0,10580000000.0,,22260000000.0,53340000000.0,
2006,31920000000.0,8800000000.0,,17810000000.0,43310000000.0,
2005,25940000000.0,7640000000.0,,16050000000.0,33880000000.000004,
2004,23570000000.0,6950000000.0,,8660000000.0,35590000000.0,
2003,19810000000.0,5380000000.0,,8480000000.0,37100000000.0,
2002,19200000000.0,4250000000.0,,12650000000.0,37790000000.0,
2001,18290000000.0,,,6900000000.0,35230000000.0,
2000,23940000000.0,3410000000.0,,5520000000.0,,
1999,15030000000.0,3460000000.0,,2100000000.0,,
1998,10010000000.0,2150000000.0,,1730000000.0,,
1997,7290000000.0,1960000000.0,,1270000000.0,,
1996,5680000000.0,1660000000.0,,1030000000.0,,
