year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,,,,,,,,,,,,3.66,,
2025,15430000000.0,6.2,3720000000.0,,2150000000.0,11490000000.0,39400000000.0,21400000000.0,23.9,17990000000.0,,2.62,4.8,
2024,14690000000.0,5.47,3370000000.0,,1650000000.0,12180000000.0,38020000000.0,19400000000.0,32.8,18620000000.0,480000000.0,1.42,6.48,4.14
2023,13170000000.0,4.55,2660000000.0,,1540000000.0,12220000000.0,36230000000.0,17820000000.0,37.0,18400000000.0,,1.29,6.71,5.29
2022,10490000000.0,4.81,2770000000.0,,10430000000.0,9650000000.0,28340000000.0,14570000000.0,33.5,13760000000.0,,1.14,8.47,6.47
2021,7690000000.0,5.22,2220000000.0,28.87,1350000000.0,4350000000.0,13610000000.0,6280000000.0,32.8,7320000000.0,,1.06,12.6,15.3
2020,6280000000.0,4.63,1770000000.0,28.27,820000000.0,4130000000.0,10670000000.0,4500000000.0,36.6,6160000000.0,,1.1,14.3,22.0
2019,5970000000.0,4.24,1640000000.0,27.51,460000000.0,3330000000.0,8640000000.0,3620000000.0,29.6,5020000000.0,,1.03,11.4,24.2
2018,5610000000.0,3.82,1680000000.0,30.06,600000000.0,3240000000.0,7970000000.0,3020000000.0,28.8,4950000000.0,,1.33,11.5,19.6
2017,5070000000.0,2.94,1290000000.0,25.54,650000000.0,3050000000.0,7020000000.0,2440000000.0,27.3,4570000000.0,,1.36,9.46,20.4
2016,4400000000.0,2.69,1150000000.0,26.33,410000000.0,2340000000.0,5630000000.0,1910000000.0,22.4,3720000000.0,,1.88,8.67,17.3
2015,4190000000.0000005,2.92,1310000000.0,31.4,430000000.0,1750000000.0,4920000000.0,2049999999.9999998,16.0,2870000000.0,,1.76,7.36,17.3
2014,5030000000.0,2.7,1510000000.0,30.07,570000000.0,1780000000.0,5910000000.0,2980000000.0,13.3,2930000000.0,,1.64,5.92,11.3
2013,4510000000.0,2.44,1330000000.0,29.64,690000000.0,1530000000.0,5450000000.0,2740000000.0,13.1,2710000000.0,,1.79,6.3,10.8
2012,4640000000.0,1.94,1270000000.0,27.45,1210000000.0,1330000000.0,6090000000.0,3590000000.0,10.5,2500000000.0,,1.83,4.41,7.77
2011,4790000000.0,1.86,1370000000.0,28.61,560000000.0,470000000.0,5800000000.0,4170000000.0,8.74,1630000000.0,,3.04,3.88,4.04
2010,3200000000.0,1.58,990000000.0,30.96,720000000.0,330000000.0,4110000000.0000005,3030000000.0,10.2,1070000000.0000001,,2.75,4.73,6.68
2009,3010000000.0,1.55,890000000.0,29.63,1650000000.0,460000000.0,4800000000.0,3560000000.0,9.96,1240000000.0,,2.75,5.16,4.56
2008,3250000000.0,1.22,870000000.0,26.77,640000000.0,870000000.0,4290000000.0,2560000000.0,13.8,1720000000.0,,1.78,5.77,5.58
2007,2270000000.0,0.84,550000000.0,24.4,340000000.0,720000000.0,3010000000.0,1620000000.0,16.5,1380000000.0,,1.26,5.99,10.7
2006,1560000000.0,0.16,93560000.0,5.98,410000000.0,580000000.0,2290000000.0,1090000000.0,51.2,1200000000.0,,1.39,4.62,8.59
2005,1590000000.0,0.71,370000000.0,23.34,420000000.0,590000000.0,2250000000.0,1200000000.0,7.25,1040000000.0,,1.82,3.03,4.66
2004,790000000.0,0.29,120000000.0,15.39,55470000.0,400000000.0,1870000000.0,1000000000.0,11.4,860000000.0,,1.78,3.79,4.47
2003,580000000.0,0.09927,45770000.0,7.81,37550000.0,260000000.0,990000000.0,570000000.0,17.9,420000000.0,,2.65,2.18,4.34
2002,420000000.0,0.15,49440000.0,11.71,33560000.0,200000000.0,730000000.0,400000000.0,30.7,320000000.0,,2.24,6.82,4.81
2001,430000000.0,0.08896,27710000.0,6.42,20190000.0,160000000.0,460000000.0,220000000.0,76.9,230000000.0,,0.73,8.37,
2000,,0.0812,28910000.0,,130000000.0,1510000.0,,,,,,0.85,,
1999,,0.08033,31020000.0,,1270000.0,3940000.0,,,,,,1.4,,
1998,,0.07071,25000000.0,,1010000.0,5550000.0,,,,,,,,
1997,240000000.0,0.06782,28450000.0,,920000.0,21450000.0,,,,,,2.43,,
1996,220000000.0,0.05854,25410000.0,,980000.0,23000000.0,,,,,,3.36,,
1995,,,,,,,,,,,,4.72,,
1994,,,,,,,,,,,,3.37,,
