Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,11020000000.0,2430000000.0,,,,
2025,10790000000.0,2380000000.0,40.1,260000000.0,9820000000.0,
2024,9940000000.0,2120000000.0,43.0,340000000.0,9160000000.0,
2023,9190000000.0,1810000000.0,42.4,120000000.0,8539999999.999999,
2022,8369999999.999999,1590000000.0,35.2,90470000.0,8140000000.000001,
2021,7430000000.0,1360000000.0,39.0,490000000.0,8230000000.0,
2020,6930000000.0,1120000000.0,36.9,140000000.0,7660000000.0,
2019,7130000000.0,1120000000.0,29.0,96640000.0,7430000000.0,
2018,6670000000.0,970000000.0,18.1,130000000.0,6950000000.0,
2017,5920000000.0,720000000.0,28.0,190000000.0,6840000000.0,
2016,5020000000.0,740000000.0,21.7,200000000.0,4090000000.0,
2015,4660000000.0,670000000.0,14.4,430000000.0,4190000000.0000005,
2014,4490000000.0,680000000.0,19.0,510000000.0,4460000000.0,
2013,4420000000.0,510000000.0,19.8,350000000.0,4340000000.0,
2012,4170000000.0,480000000.0,,330000000.0,4160000000.0,
2011,3980000000.0,440000000.0,,520000000.0,4350000000.0,
2010,3630000000.0,340000000.0,,560000000.0,3960000000.0,
2009,3560000000.0,290000000.0,,250000000.0,3720000000.0,
2008,3970000000.0,510000000.0,,190000000.0,3800000000.0,
2007,3820000000.0,530000000.0,,150000000.0,3570000000.0,
2006,3580000000.0,530000000.0,,240000000.0,3420000000.0,
2005,3220000000.0,490000000.0,,300000000.0,3050000000.0,
2004,2930000000.0,450000000.0,,250000000.0,2810000000.0,
2003,2710000000.0,400000000.0,,57650000.0,2580000000.0,
2002,2490000000.0,630000000.0,,85080000.0,2510000000.0,
2001,2220000000.0,360000000.0,,110000000.0,1750000000.0,
2000,2029999999.9999998,330000000.0,,100000000.0,,
1999,2020000000.0,250000000.0,,88100000.0,,
1998,1610000000.0,220000000.0,,100000000.0,,
1997,1000000000.0,160000000.0,,16399999.999999998,,
1996,770000000.0,130000000.0,,9100000.0,,
