year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,10340181000.0,Revenues,0000723254-25-000017,USD,True,1812281000.0,NetIncomeLoss,0000723254-25-000017,USD,True,2165905000.0,NetCashProvidedByUsedInOperatingActivities,0000723254-25-000017,USD,True,408884000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-25-000017,USD,True,2359726000.0,OperatingIncomeLoss,0000723254-25-000017,USD,True,,,,,False,451921000.0,IncomeTaxExpenseBenefit,0000723254-25-000017,USD,True,,,,,False,2264202000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-25-000017,USD,True,263973000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-25-000017,USD,True,,,,,False,2424999000.0,LongTermDebt,0000723254-25-000017,USD,True,0.0,LongTermDebtCurrent,0000723254-25-000017,USD,True,2424999000.0,LongTermDebtNoncurrent,0000723254-25-000017,USD,True,4684481000.0,StockholdersEquity,0000723254-25-000017,USD,True,263973000.0,2424999000.0,1757021000.0,0.1995939408233011,6845507000.0,1888738988.396795,0.27590929180216966,2359726000.0,False,0.16992168705750896,0.9695080398679896,True,True,CTAS,0000723254,ticker:CTAS,26
2024,9596615000.0,Revenues,0000723254-24-000036,USD,True,1571592000.0,NetIncomeLoss,0000723254-24-000036,USD,True,2079781000.0,NetCashProvidedByUsedInOperatingActivities,0000723254-24-000036,USD,True,409469000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-24-000036,USD,True,2068633000.0,OperatingIncomeLoss,0000723254-24-000036,USD,True,,,,,False,402043000.0,IncomeTaxExpenseBenefit,0000723254-24-000036,USD,True,,,,,False,1973635000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-24-000036,USD,True,342015000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-24-000036,USD,True,,,,,False,2025934000.0,LongTermDebt,0000723254-24-000036,USD,True,449595000.0,LongTermDebtCurrent,0000723254-24-000036,USD,True,2025934000.0,LongTermDebtNoncurrent,0000723254-24-000036,USD,True,4316372000.0,StockholdersEquity,0000723254-24-000036,USD,True,342015000.0,2025934000.0,1670312000.0,0.2037068657578529,6000291000.0,1647238255.1667354,0.27452639466431467,2068633000.0,False,0.1740522048659866,1.0628152853921373,True,True,CTAS,0000723254,ticker:CTAS,26
2023,8815769000.0,Revenues,0000723254-23-000025,USD,True,1348010000.0,NetIncomeLoss,0000723254-23-000025,USD,True,1597814000.0,NetCashProvidedByUsedInOperatingActivities,0000723254-23-000025,USD,True,331109000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-23-000025,USD,True,1802664000.0,OperatingIncomeLoss,0000723254-23-000025,USD,True,111232000.0,InterestExpense,0000723254-23-000025,USD,True,345138000.0,IncomeTaxExpenseBenefit,0000723254-23-000025,USD,True,,,,,False,1693148000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-23-000025,USD,True,124149000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-23-000025,USD,True,,,,,False,2486405000.0,LongTermDebt,0000723254-23-000025,USD,True,0.0,LongTermDebtCurrent,0000723254-23-000025,USD,True,2486405000.0,LongTermDebtNoncurrent,0000723254-23-000025,USD,True,3863986000.0,StockholdersEquity,0000723254-23-000025,USD,True,124149000.0,2486405000.0,1266705000.0,0.20384396402440896,6226242000.0,1435201824.4359028,0.23050851933411887,1802664000.0,False,0.14368627399379452,0.939685165540315,True,True,CTAS,0000723254,ticker:CTAS,26
2022,7854459000.0,Revenues,0000723254-22-000019,USD,True,1235757000.0,NetIncomeLoss,0000723254-22-000019,USD,True,1537625000.0,NetCashProvidedByUsedInOperatingActivities,0000723254-22-000019,USD,True,240672000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-22-000019,USD,True,1587370000.0,OperatingIncomeLoss,0000723254-22-000019,USD,True,88844000.0,InterestExpense,0000723254-22-000019,USD,True,263011000.0,IncomeTaxExpenseBenefit,0000723254-22-000019,USD,True,,,,,False,1498768000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-22-000019,USD,True,90471000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-22-000019,USD,True,,,,,False,2483932000.0,LongTermDebt,0000723254-22-000019,USD,True,311574000.0,LongTermDebtCurrent,0000723254-22-000019,USD,True,2483932000.0,LongTermDebtNoncurrent,0000723254-22-000019,USD,True,3308196000.0,StockholdersEquity,0000723254-22-000019,USD,True,90471000.0,2483932000.0,1296953000.0,0.17548479818090593,5701657000.0,1308810695.9115753,0.22954918121373757,1587370000.0,False,0.16512314851984078,1.049521062797945,True,True,CTAS,0000723254,ticker:CTAS,26
2021,7116340000.0,Revenues,0000723254-21-000021,USD,True,1110968000.0,NetIncomeLoss,0000723254-21-000021,USD,True,1360740000.0,NetCashProvidedByUsedInOperatingActivities,0000723254-21-000021,USD,True,143470000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-21-000021,USD,True,1385492000.0,OperatingIncomeLoss,0000723254-21-000021,USD,True,98210000.0,InterestExpense,0000723254-21-000021,USD,True,176781000.0,IncomeTaxExpenseBenefit,0000723254-21-000021,USD,True,,,,,False,1287749000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-21-000021,USD,True,493640000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-21-000021,USD,True,,,,,False,1642833000.0,LongTermDebt,0000723254-21-000021,USD,True,899070000.0,LongTermDebtCurrent,0000723254-21-000021,USD,True,1642833000.0,LongTermDebtNoncurrent,0000723254-21-000021,USD,True,3687847000.0,StockholdersEquity,0000723254-21-000021,USD,True,493640000.0,1642833000.0,1217270000.0,0.13727908156014876,4837040000.0,1195292930.7310662,0.2471124759627926,1385492000.0,False,0.17105281647588508,1.095684124115186,True,True,CTAS,0000723254,ticker:CTAS,26
2020,1619584000.0,Revenues,0000723254-20-000025,USD,True,876037000.0,NetIncomeLoss,0000723254-20-000025,USD,True,1291483000.0,NetCashProvidedByUsedInOperatingActivities,0000723254-20-000025,USD,True,230289000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-20-000025,USD,True,1162696000.0,OperatingIncomeLoss,0000723254-20-000025,USD,True,105393000.0,InterestExpense,0000723254-20-000025,USD,True,181931000.0,IncomeTaxExpenseBenefit,0000723254-20-000025,USD,True,,,,,False,1058291000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-20-000025,USD,True,145402000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-20-000025,USD,True,,,,,False,2539705000.0,LongTermDebt,0000723254-20-000025,USD,True,0.0,LongTermDebtCurrent,0000723254-20-000025,USD,True,2539705000.0,LongTermDebtNoncurrent,0000723254-20-000025,USD,True,3235202000.0,StockholdersEquity,0000723254-20-000025,USD,True,145402000.0,2539705000.0,1061194000.0,0.17191018349395393,5629505000.0,962816717.2923136,0.17103044002844187,1162696000.0,False,0.6552262803287758,1.2113575111553507,True,True,CTAS,0000723254,ticker:CTAS,26
2019,6892303000.0,Revenues,0000723254-19-000021,USD,True,884981000.0,NetIncomeLoss,0000723254-19-000021,USD,True,1067862000.0,NetCashProvidedByUsedInOperatingActivities,0000723254-19-000021,USD,True,276719000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-19-000021,USD,True,1133534000.0,OperatingIncomeLoss,0000723254-19-000021,USD,True,101736000.0,InterestExpense,0000723254-19-000021,USD,True,219764000.0,IncomeTaxExpenseBenefit,0000723254-19-000021,USD,True,,,,,False,1102399000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-19-000021,USD,True,96645000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-19-000021,USD,True,,,,,False,2537507000.0,LongTermDebt,0000723254-19-000021,USD,True,312264000.0,LongTermDebtCurrent,0000723254-19-000021,USD,True,2537507000.0,LongTermDebtNoncurrent,0000723254-19-000021,USD,True,3002721000.0,StockholdersEquity,0000723254-19-000021,USD,True,96645000.0,2537507000.0,791143000.0,0.19935068881593687,5443583000.0,907563216.303716,0.1667216640774497,1133534000.0,False,0.11478645091488288,0.8939660851475908,True,True,CTAS,0000723254,ticker:CTAS,26
2018,6476632000.0,Revenues,0000723254-18-000015,USD,True,842586000.0,NetIncomeLoss,0000723254-18-000015,USD,True,,,,,False,271699000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-18-000015,USD,True,949834000.0,OperatingIncomeLoss,0000723254-18-000015,USD,True,110175000.0,InterestExpense,0000723254-18-000015,USD,True,57069000.0,IncomeTaxExpenseBenefit,0000723254-18-000015,USD,True,,,,,False,841001000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-18-000015,USD,True,138724000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-18-000015,USD,True,,,,,False,2535309000.0,LongTermDebt,0000723254-18-000015,USD,True,0.0,LongTermDebtCurrent,0000723254-18-000015,USD,True,2535309000.0,LongTermDebtNoncurrent,0000723254-18-000015,USD,True,3016526000.0,StockholdersEquity,0000723254-18-000015,USD,True,138724000.0,2535309000.0,,0.0678584210958132,5413111000.0,885379764.4568794,0.16356209293636864,949834000.0,False,,,True,False,CTAS,0000723254,ticker:CTAS,26
2017,5323381000.0,Revenues,0000723254-17-000020,USD,True,480708000.0,NetIncomeLoss,0000723254-17-000020,USD,True,,,,,False,273317000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-17-000020,USD,True,773691000.0,OperatingIncomeLoss,0000723254-17-000020,USD,True,86524000.0,InterestExpense,0000723254-17-000020,USD,True,230118000.0,IncomeTaxExpenseBenefit,0000723254-17-000020,USD,True,,,,,False,687404000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-17-000020,USD,True,169266000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-17-000020,USD,True,,,,,False,2770624000.0,LongTermDebt,0000723254-17-000020,USD,True,362900000.0,LongTermDebtCurrent,0000723254-17-000020,USD,True,2770624000.0,LongTermDebtNoncurrent,0000723254-17-000020,USD,True,2302793000.0,StockholdersEquity,0000723254-17-000020,USD,True,169266000.0,2770624000.0,,0.3347638361138428,4904151000.0,514687232.8732449,0.10494930373743486,773691000.0,False,,,True,False,CTAS,0000723254,ticker:CTAS,26
2016,4905458000.0,Revenues,0000723254-16-000050,USD,True,693520000.0,NetIncomeLoss,0000723254-16-000050,USD,True,465845000.0,NetCashProvidedByUsedInOperatingActivities,0000723254-16-000050,USD,True,275385000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723254-16-000050,USD,True,781748000.0,OperatingIncomeLoss,0000723254-16-000050,USD,True,64522000.0,InterestExpense,0000723254-16-000050,USD,True,261181000.0,IncomeTaxExpenseBenefit,0000723254-16-000050,USD,True,,,,,False,718122000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723254-16-000050,USD,True,139357000.0,CashAndCashEquivalentsAtCarryingValue,0000723254-16-000050,USD,True,,,,,False,,,,,False,250000000.0,LongTermDebtCurrent,0000723254-16-000050,USD,True,1050000000.0,LongTermDebtNoncurrent,0000723254-16-000050,USD,True,1842659000.0,StockholdersEquity,0000723254-16-000050,USD,True,139357000.0,1300000000.0,190460000.0,0.363700039826102,3003302000.0,497426221.26602435,0.16562644091936954,781748000.0,False,0.03882614018915257,0.2746279847733303,True,True,CTAS,0000723254,ticker:CTAS,26
