year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,46310000000.0,17.7,9140000000.0,,,,,,,,270000000.0,1.04,3.37,
2025,45740000000.0,18.55,9250000000.0,14.01,9680000000.0,64250000000.0,105990000000.0,26000000000.0,25.1,79980000000.0,270000000.0,1.39,2.79,4.85
2024,46930000000.0,25.71,11260000000.0,18.22,8470000000.000001,65459999999.99999,107320000000.0,22920000000.0,16.3,84390000000.0,270000000.0,1.44,2.18,5.03
2023,59690000000.0,34.81,15510000000.0,21.61,8400000000.0,63690000000.0,104080000000.0,21880000000.0,11.2,82200000000.0,280000000.0,1.37,1.71,5.12
2022,54340000000.0,23.47,11780000000.0,17.8,5500000000.0,52200000000.0,90030000000.0,20350000000.0,17.5,69670000000.0,300000000.0,1.1,2.33,6.28
2021,43480000000.0,19.13,8170000000.0,17.67,8740000000.0,48690000000.0,84110000000.0,18430000000.0,17.0,65680000000.00001,300000000.0,1.2,2.47,5.73
2020,36180000000.0,8.78,6020000000.0,11.18,7700000000.0,46290000000.0,75090000000.0,12940000000.0,28.7,62140000000.0,310000000.0,1.21,2.04,6.51
2019,38050000000.0,10.27,5420000000.0,10.65,4430000000.0,45330000000.0,73010000000.0,11430000000.0,15.5,61580000000.0,310000000.0,1.91,1.43,4.77
2018,37510000000.0,7.33,5490000000.0,11.17,4390000000.0,42250000000.0,70100000000.0,11300000000.0,18.4,58800000000.0,320000000.0,2.03,1.18,4.22
2017,29960000000.0,6.71,4320000000.0,11.02,9780000000.0,40040000000.0,65780000000.0,9570000000.0,20.7,56210000000.0,320000000.0,1.73,1.49,5.28
2016,25880000000.0,4.83,2990000000.0,8.59,4780000000.0,35610000000.0,57910000000.0,6540000000.0,18.6,51370000000.0,310000000.0,2.67,1.07,5.02
2015,27320000000.0,5.81,3230000000.0,9.87,4590000000.0,36850000000.0,57940000000.0,6750000000.0,11.1,51190000000.0,320000000.0,3.72,0.9091,3.57
2014,33960000000.0,8.69,5070000000.0,13.61,5000000000.0,36950000000.0,61330000000.0,9060000000.0,8.37,52270000000.0,350000000.0,3.17,0.8386,3.34
2013,37290000000.0,9.17,6230000000.0,14.77,5120000000.0,34470000000.0,59520000000.0,10260000000.0,7.98,49250000000.0,370000000.0,2.79,0.8243,3.3
2012,36180000000.0,7.72,5650000000.0,13.34,6120000000.0,32420000000.0,56260000000.0,6860000000.0,8.76,49400000000.0,380000000.0,2.72,0.9338,4.89
2011,32000000000.0,6.71,5020000000.0,13.45,4430000000.0,26580000000.0,48200000000.0,6810000000.0,8.82,41390000000.0,410000000.0,2.67,0.9819,4.59
2010,26660000000.0,4.39,4200000000.0,11.91,4010000000.0,24340000000.0,43260000000.0,6300000000.0,14.2,36960000000.0,420000000.0,1.98,1.28,5.55
2009,22270000000.0,2.06,2410000000.0,5.93,4840000000.0,24550000000.0,41130000000.0,4820000000.0,19.3,36300000000.0,420000000.0,2.81,0.8525,4.74
