Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,46310000000.0,9140000000.0,,,,
2025,45740000000.0,9250000000.0,25.1,9680000000.0,105990000000.0,
2024,46930000000.0,11260000000.0,16.3,8470000000.000001,107320000000.0,
2023,59690000000.0,15510000000.0,11.2,8400000000.0,104080000000.0,
2022,54340000000.0,11780000000.0,17.5,5500000000.0,90030000000.0,
2021,43480000000.0,8170000000.0,17.0,8740000000.0,84110000000.0,
2020,36180000000.0,6020000000.0,28.7,7700000000.0,75090000000.0,
2019,38050000000.0,5420000000.0,15.5,4430000000.0,73010000000.0,
2018,37510000000.0,5490000000.0,18.4,4390000000.0,70100000000.0,
2017,29960000000.0,4320000000.0,20.7,9780000000.0,65780000000.0,
2016,25880000000.0,2990000000.0,18.6,4780000000.0,57910000000.0,
2015,27320000000.0,3230000000.0,11.1,4590000000.0,57940000000.0,
2014,33960000000.0,5070000000.0,8.37,5000000000.0,61330000000.0,
2013,37290000000.0,6230000000.0,7.98,5120000000.0,59520000000.0,
2012,36180000000.0,5650000000.0,8.76,6120000000.0,56260000000.0,
2011,32000000000.0,5020000000.0,8.82,4430000000.0,48200000000.0,
2010,26660000000.0,4200000000.0,14.2,4010000000.0,43260000000.0,
2009,22270000000.0,2410000000.0,19.3,4840000000.0,41130000000.0,
2008,27420000000.0,3980000000.0,,3180000000.0,38730000000.0,
2007,24710000000.0,4019999999.9999995,,3900000000.0,38570000000.0,
2006,22370000000.0,3370000000.0,,3500000000.0,34720000000.0,
2005,21220000000.0,2530000000.0,,4420000000.0,33630000000.000004,
2004,20430000000.0,2790000000.0,,3420000000.0,28750000000.0,
2003,16219999999.999998,1750000000.0,,4610000000.0,26250000000.0,
2002,14210000000.0,1380000000.0,,3000000000.0,23760000000.0,
2001,13200000000.0,550000000.0,,1200000000.0,22660000000.0,
2000,13360000000.0,1400000000.0,,410000000.0,,
1999,11390000000.0,680000000.0,,610000000.0,,
1998,13230000000.0,1650000000.0,,300000000.0,,
1997,13060000000.0,1810000000.0,,330000000.0,,
1996,11200000000.0,1600000000.0,,290000000.0,,
