year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,45684000000.0,Revenues,0001104659-25-122321,USD,True,5027000000.0,NetIncomeLoss,0001104659-25-122321,USD,True,7459000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-25-122321,USD,True,1360000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001104659-25-122321,USD,True,,,,,False,3170000000.0,InterestExpense,0001104659-25-122321,USD,True,1259000000.0,IncomeTaxExpenseBenefit,0001104659-25-122321,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001104659-25-122321,pure,True,6257000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001104659-25-122321,USD,True,8276000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-25-122321,USD,True,,,,,False,,,,,False,13796000000.0,DebtCurrent,0001104659-25-122321,USD,True,73000000.0,FinanceLeaseLiabilityNoncurrent,0001104659-25-122321,USD,True,25950000000.0,StockholdersEquity,0001104659-25-122321,USD,True,8276000000.0,13869000000.0,6099000000.0,0.2012146396036439,31543000000.0,7530149592.456449,0.2387264874126256,9427000000.0,True,0.13350407144733387,1.2132484583250447,True,True,DE,0000315189,ticker:DE,24
2024,51716000000.0,Revenues,0001558370-24-016169,USD,True,7100000000.0,NetIncomeLoss,0001558370-24-016169,USD,True,9231000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-24-016169,USD,True,1640000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-24-016169,USD,True,9039000000.0,OperatingIncomeLoss,0001558370-24-016169,USD,True,3348000000.0,InterestExpense,0001558370-24-016169,USD,True,2094000000.0,IncomeTaxExpenseBenefit,0001558370-24-016169,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001558370-24-016169,pure,True,9206000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001558370-24-016169,USD,True,7324000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-24-016169,USD,True,,,,,False,,,,,False,13533000000.0,DebtCurrent,0001558370-24-016169,USD,True,72000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-24-016169,USD,True,22836000000.0,StockholdersEquity,0001558370-24-016169,USD,True,7324000000.0,13605000000.0,7591000000.0,0.2274603519443841,29117000000.0,6982985878.774713,0.23982504649430617,9039000000.0,False,0.14678242710186404,1.0691549295774647,True,True,DE,0000315189,ticker:DE,24
2023,61251000000.0,Revenues,0001558370-23-019812,USD,True,10166000000.0,NetIncomeLoss,0001558370-23-019812,USD,True,8589000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-23-019812,USD,True,1498000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-23-019812,USD,True,12958000000.0,OperatingIncomeLoss,0001558370-23-019812,USD,True,2453000000.0,InterestExpense,0001558370-23-019812,USD,True,2871000000.0,IncomeTaxExpenseBenefit,0001558370-23-019812,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001558370-23-019812,pure,True,13019000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001558370-23-019812,USD,True,7458000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-23-019812,USD,True,,,,,False,,,,,False,17939000000.0,DebtCurrent,0001558370-23-019812,USD,True,49000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-23-019812,USD,True,21785000000.0,StockholdersEquity,0001558370-23-019812,USD,True,7458000000.0,17988000000.0,7091000000.0,0.22052384975804593,32315000000.0,10100451954.835241,0.3125623380731933,12958000000.0,False,0.115769538456515,0.6975211489277986,True,True,DE,0000315189,ticker:DE,24
2022,52577000000.0,Revenues,0001558370-22-018703,USD,True,7131000000.0,NetIncomeLoss,0001558370-22-018703,USD,True,4699000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-22-018703,USD,True,1134000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-22-018703,USD,True,9508000000.0,OperatingIncomeLoss,0001558370-22-018703,USD,True,1062000000.0,InterestExpense,0001558370-22-018703,USD,True,2007000000.0,IncomeTaxExpenseBenefit,0001558370-22-018703,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001558370-22-018703,pure,True,9127000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001558370-22-018703,USD,True,4774000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-22-018703,USD,True,,,,,False,,,,,False,12592000000.0,DebtCurrent,0001558370-22-018703,USD,True,30000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-22-018703,USD,True,20262000000.0,StockholdersEquity,0001558370-22-018703,USD,True,4774000000.0,12622000000.0,3565000000.0,0.21989700887476718,28110000000.0,7417219239.618713,0.2638640782503989,9508000000.0,False,0.06780531411073283,0.49992988360678725,True,True,DE,0000315189,ticker:DE,24
2021,44024000000.0,Revenues,0001558370-21-016864,USD,True,5963000000.0,NetIncomeLoss,0001558370-21-016864,USD,True,7726000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-21-016864,USD,True,848000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-21-016864,USD,True,8012000000.0,OperatingIncomeLoss,0001558370-21-016864,USD,True,993000000.0,InterestExpense,0001558370-21-016864,USD,True,1658000000.0,IncomeTaxExpenseBenefit,0001558370-21-016864,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001558370-21-016864,pure,True,7602000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001558370-21-016864,USD,True,8017000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-21-016864,USD,True,,,,,False,,,,,False,10919000000.0,DebtCurrent,0001558370-21-016864,USD,True,38000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-21-016864,USD,True,18431000000.0,StockholdersEquity,0001558370-21-016864,USD,True,8017000000.0,10957000000.0,6878000000.0,0.21810049986845567,21371000000.0,6264578795.053933,0.293134565301293,8012000000.0,False,0.1562329638379066,1.1534462518866342,True,True,DE,0000315189,ticker:DE,24
2020,35540000000.0,Revenues,0001558370-20-014436,USD,True,2751000000.0,NetIncomeLoss,0001558370-20-014436,USD,True,7483000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-20-014436,USD,True,820000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-20-014436,USD,True,4305000000.0,OperatingIncomeLoss,0001558370-20-014436,USD,True,1247000000.0,InterestExpense,0001558370-20-014436,USD,True,1082000000.0,IncomeTaxExpenseBenefit,0001558370-20-014436,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001558370-20-014436,pure,True,3883000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001558370-20-014436,USD,True,7066000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-20-014436,USD,True,,,,,False,,,,,False,21000000.0,DebtCurrent,0001558370-20-014436,USD,True,39000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-20-014436,USD,True,12937000000.0,StockholdersEquity,0001558370-20-014436,USD,True,7066000000.0,60000000.0,6663000000.0,0.27865052794231265,5931000000.0,3105409477.2083445,0.5235895257474869,4305000000.0,False,0.18747889701744513,2.422028353326063,True,True,DE,0000315189,ticker:DE,24
2019,39258000000.0,Revenues,0001558370-19-011614,USD,True,3253000000.0,NetIncomeLoss,0001558370-19-011614,USD,True,3412000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-19-011614,USD,True,1120000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-19-011614,USD,True,4415000000.0,OperatingIncomeLoss,0001558370-19-011614,USD,True,1466000000.0,InterestExpense,0001558370-19-011614,USD,True,852000000.0,IncomeTaxExpenseBenefit,0001558370-19-011614,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001558370-19-011614,pure,True,4088000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001558370-19-011614,USD,True,3857000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-19-011614,USD,True,,,,,False,,,,,False,,,,,False,30229000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-19-011614,USD,True,11413000000.0,StockholdersEquity,0001558370-19-011614,USD,True,3857000000.0,30229000000.0,2292000000.0,0.20841487279843443,37785000000.0,3494848336.594912,0.09249300877583465,4415000000.0,False,0.058383004737887816,0.7045803873347679,True,True,DE,0000315189,ticker:DE,24
2018,37357700000.0,Revenues,0001047469-18-007694,USD,True,2368400000.0,NetIncomeLoss,0001047469-18-007694,USD,True,1820300000.0,NetCashProvidedByUsedInOperatingActivities,0001047469-18-007694,USD,True,896400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001047469-18-007694,USD,True,4476000000.0,OperatingIncomeLoss,0001047469-18-007694,USD,True,1203600000.0,InterestExpense,0001047469-18-007694,USD,True,1726900000.0,IncomeTaxExpenseBenefit,0001047469-18-007694,USD,True,0.233,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001047469-18-007694,pure,True,4070700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001047469-18-007694,USD,True,3904000000.0,CashAndCashEquivalentsAtCarryingValue,0001047469-18-007694,USD,True,,,,,False,,,,,False,,,,,False,27237400000.0,FinanceLeaseLiabilityNoncurrent,0001047469-18-007694,USD,True,11287800000.0,StockholdersEquity,0001047469-18-007694,USD,True,3904000000.0,27237400000.0,923900000.0,0.4242267914609281,34621200000.0,2577160881.4208856,0.07443880863230869,4476000000.0,False,0.024731179917393202,0.39009457861847663,True,True,DE,0000315189,ticker:DE,24
2017,29737700000.0,Revenues,0001047469-17-007719,USD,True,2159100000.0,NetIncomeLoss,0001047469-17-007719,USD,True,2199800000.0,NetCashProvidedByUsedInOperatingActivities,0001047469-17-007719,USD,True,594900000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001047469-17-007719,USD,True,3543000000.0,OperatingIncomeLoss,0001047469-17-007719,USD,True,899500000.0,InterestExpense,0001047469-17-007719,USD,True,971100000.0,IncomeTaxExpenseBenefit,0001047469-17-007719,USD,True,0.35,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001047469-17-007719,pure,True,3153800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001047469-17-007719,USD,True,9334900000.0,CashAndCashEquivalentsAtCarryingValue,0001047469-17-007719,USD,True,,,,,False,,,,,False,,,,,False,25891300000.0,FinanceLeaseLiabilityNoncurrent,0001047469-17-007719,USD,True,9557300000.0,StockholdersEquity,0001047469-17-007719,USD,True,9334900000.0,25891300000.0,1604900000.0,0.30791426215993406,26113700000.0,2452059769.1673536,0.09389936198881635,3543000000.0,False,0.05396853152732054,0.7433189754990506,True,True,DE,0000315189,ticker:DE,24
2016,26644000000.0,Revenues,0001047469-16-017244,USD,True,1523900000.0,NetIncomeLoss,0001047469-16-017244,USD,True,,,,,False,644400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001047469-16-017244,USD,True,2589000000.0,OperatingIncomeLoss,0001047469-16-017244,USD,True,763700000.0,InterestExpense,0001047469-16-017244,USD,True,700100000.0,IncomeTaxExpenseBenefit,0001047469-16-017244,USD,True,0.35,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0001047469-16-017244,pure,True,2224000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001047469-16-017244,USD,True,4335800000.0,CashAndCashEquivalentsAtCarryingValue,0001047469-16-017244,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,6520000000.0,StockholdersEquity,0001047469-16-017244,USD,True,4335800000.0,,,0.3147931654676259,,,,2589000000.0,False,,,False,False,DE,0000315189,ticker:DE,24
