year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,24770000000.0,5.19,4590000000.0,,,,,,,,700000000.0,0.73,5.18,
2025,24560000000.0,5.07,4490000000.0,17.23,4610000000.0,19690000000.0,83460000000.0,52540000000.0,45.2,30920000000.0,700000000.0,0.56,6.72,3.14
2024,23870000000.0,5.33,4920000000.0,19.46,2069999999.9999998,17140000000.0,77540000000.0,49550000000.0,42.9,27990000000.0,720000000.0,0.47,6.99,3.37
2023,20170000000.0,6.45,4540000000.0,21.11,5860000000.0,19530000000.0,84480000000.0,53490000000.0,35.6,30990000000.0,730000000.0,0.43,8.47,3.2
2022,31470000000.0,9.79,8500000000.0,26.82,5990000000.0,20610000000.0,84350000000.0,50090000000.0,23.7,34259999999.999996,,0.38,6.14,3.86
2021,29450000000.0,8.77,7830000000.0,26.25,2580000000.0,23270000000.0,83180000000.0,45170000000.0,32.7,38000000000.0,,0.26,7.98,5.2
2020,22280000000.0,4.97,4760000000.0,20.17,6030000000.0,22170000000.0,76160000000.0,39770000000.0,38.9,36380000000.0,,0.33,7.08,3.97
2019,15880000000.0,4.1,3270000000.0,18.45,19910000000.0,22520000000.0,62080000000.0,30280000000.0,32.4,31800000000.0,,0.45,6.72,3.53
2018,19890000000.0,3.78,3450000000.0,17.37,780000000.0,9740000000.0,47830000000.0,28220000000.0,23.5,19600000000.0,,0.64,3.64,2.56
2017,18320000000.0,3.58,3100000000.0,16.39,630000000.0,10520000000.0,46640000000.0,26360000000.0,22.2,20280000000.0,,0.62,3.52,2.45
2016,16879999999.999998,3.7,2790000000.0,15.47,960000000.0,12260000000.0,45290000000.0,23070000000.0,17.9,22210000000.0,,37.72,3.19,2.33
2015,19050000000.0,4.83,3160000000.0,14.13,790000000.0,12870000000.0,48220000000.0,23760000000.0,7.93,24450000000.0,,0.95,3.35,2.68
2014,19750000000.0,3.7,3600000000.0,16.21,3000000000.0,3470000000.0,36990000000.0,23440000000.0,9.49,13540000000.0,,0.77,3.06,2.57
2013,19110000000.0,3.88,3710000000.0,18.69,3110000000.0,3490000000.0,34670000000.0,22450000000.0,8.11,12220000000.0,,0.21,2.82,2.4
2012,18260000000.0,3.45,3160000000.0,16.49,1670000000.0,5340000000.0,32939999999.999996,19080000000.0,6.59,13850000000.0,,0.3,2.1,2.01
2011,15880000000.0,,2550000000.0,15.21,530000000.0,5300000000.0,29940000000.0,16969999999.999998,,12970000000.0,,0.32,2.03,1.9
2010,12920000000.0,,2410000000.0,17.77,1630000000.0,2820000000.0,22210000000.0,13770000000.0,,8439999999.999999,,0.28,2.39,2.25
2009,11180000000.0,,1540000000.0,12.74,1720000000.0,2930000000.0,19590000000.0,11630000000.0,,7960000000.0,,0.29,2.17,2.09
2008,12690000000.0,,1880000000.0,13.78,390000000.0,2610000000.0,17490000000.0,9800000000.0,,7680000000.0,,0.35,1.42,1.84
2007,11060000000.0,,1740000000.0,14.85,230000000.0,3720000000.0,17470000000.0,9080000000.0,,8380000000.000001,,0.21,2.52,3.07
2006,9560000000.0,,1510000000.0,15.09,310000000.0,2430000000.0,12860000000.0,6640000000.0,,6210000000.0,,0.18,2.34,3.36
2005,7980000000.0,,1260000000.0,15.47,310000000.0,1040000000.0,9160000000.0,5080000000.0,,4080000000.0,,0.21,2.13,3.36
2004,6880000000.0,,1100000000.0,15.35,600000000.0,1350000000.0,8490000000.0,4610000000.0,,3870000000.0,,0.17,2.57,3.84
2003,5290000000.0,,840000000.0,15.06,1230000000.0,1290000000.0,6890000000.0,3640000000.0,,3240000000.0,,0.15,2.66,3.87
2002,4570000000.0,,690000000.0,14.36,810000000.0,1300000000.0,6020000000.0,3000000000.0,,3010000000.0,,0.23,2.19,3.33
2001,3780000000.0,,570000000.0,12.59,700000000.0,1190000000.0,4820000000.0,2220000000.0,,2590000000.0,,0.22,2.29,
2000,3770000000.0,,550000000.0,,170000000.0,790000000.0,,,,,,0.17,,
1999,3190000000.0,,450000000.0,,260000000.0,370000000.0,,,,,,0.21,,
1998,2940000000.0,,370000000.0,,47800000.0,500000000.0,,,,,,0.17,,
1997,2160000000.0,,270000000.0,,70800000.0,190000000.0,,,,,,0.27,,
1996,1810000000.0,,220000000.0,,26400000.0,230000000.0,,,,,,0.36,,
1995,,,,,,,,,,,,0.43,,
1994,,,,,,,,,,,,0.42,,
1993,,,,,,,,,,,,0.54,,
1992,,,,,,,,,,,,0.0,,
1991,,,,,,,,,,,,0.0,,
1990,,,,,,,,,,,,0.0,,
1989,,,,,,,,,,,,0.0,,
1988,,,,,,,,,,,,0.0,,
1987,,,,,,,,,,,,0.0,,
1986,,,,,,,,,,,,0.0,,
1985,,,,,,,,,,,,0.0,,
1984,,,,,,,,,,,,0.0,,
1983,,,,,,,,,,,,0.0,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
1979,,,,,,,,,,,,0.0,,
1978,,,,,,,,,,,,0.0,,
