Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,24770000000.0,4590000000.0,,,,
2025,24560000000.0,4490000000.0,45.2,4610000000.0,83460000000.0,
2024,23870000000.0,4920000000.0,42.9,2069999999.9999998,77540000000.0,
2023,20170000000.0,4540000000.0,35.6,5860000000.0,84480000000.0,
2022,31470000000.0,8500000000.0,23.7,5990000000.0,84350000000.0,
2021,29450000000.0,7830000000.0,32.7,2580000000.0,83180000000.0,
2020,22280000000.0,4760000000.0,38.9,6030000000.0,76160000000.0,
2019,15880000000.0,3270000000.0,32.4,19910000000.0,62080000000.0,
2018,19890000000.0,3450000000.0,23.5,780000000.0,47830000000.0,
2017,18320000000.0,3100000000.0,22.2,630000000.0,46640000000.0,
2016,16879999999.999998,2790000000.0,17.9,960000000.0,45290000000.0,
2015,19050000000.0,3160000000.0,7.93,790000000.0,48220000000.0,
2014,19750000000.0,3600000000.0,9.49,3000000000.0,36990000000.0,
2013,19110000000.0,3710000000.0,8.11,3110000000.0,34670000000.0,
2012,18260000000.0,3160000000.0,6.59,1670000000.0,32939999999.999996,
2011,15880000000.0,2550000000.0,,530000000.0,29940000000.0,
2010,12920000000.0,2410000000.0,,1630000000.0,22210000000.0,
2009,11180000000.0,1540000000.0,,1720000000.0,19590000000.0,
2008,12690000000.0,1880000000.0,,390000000.0,17490000000.0,
2007,11060000000.0,1740000000.0,,230000000.0,17470000000.0,
2006,9560000000.0,1510000000.0,,310000000.0,12860000000.0,
2005,7980000000.0,1260000000.0,,310000000.0,9160000000.0,
2004,6880000000.0,1100000000.0,,600000000.0,8490000000.0,
2003,5290000000.0,840000000.0,,1230000000.0,6890000000.0,
2002,4570000000.0,690000000.0,,810000000.0,6020000000.0,
2001,3780000000.0,570000000.0,,700000000.0,4820000000.0,
2000,3770000000.0,550000000.0,,170000000.0,,
1999,3190000000.0,450000000.0,,260000000.0,,
1998,2940000000.0,370000000.0,,47800000.0,,
1997,2160000000.0,270000000.0,,70800000.0,,
1996,1810000000.0,220000000.0,,26400000.0,,
