year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,24568000000.0,Revenues,0000313616-26-000062,USD,True,3614000000.0,NetIncomeLoss,0000313616-26-000062,USD,True,6416000000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-26-000062,USD,True,1156000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-26-000062,USD,True,4690000000.0,OperatingIncomeLoss,0000313616-26-000062,USD,True,,,,,False,633000000.0,IncomeTaxExpenseBenefit,0000313616-26-000062,USD,True,0.15,EffectiveIncomeTaxRateContinuingOperations,0000313616-26-000062,pure,True,4233000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-26-000062,USD,True,,,,,False,,,,,False,18418000000.0,LongTermDebt,0000313616-26-000062,USD,True,2000000.0,DebtCurrent,0000313616-26-000062,USD,True,18416000000.0,LongTermDebtNoncurrent,0000313616-26-000062,USD,True,52534000000.0,StockholdersEquity,0000313616-26-000062,USD,True,,18418000000.0,5260000000.0,0.14953933380581147,,,,4690000000.0,False,0.2140996418104852,1.4554510237963476,False,True,DHR,0000313616,ticker:DHR,24
2024,23875000000.0,Revenues,0000313616-25-000043,USD,True,3899000000.0,NetIncomeLoss,0000313616-25-000043,USD,True,6688000000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-25-000043,USD,True,1392000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-25-000043,USD,True,4863000000.0,OperatingIncomeLoss,0000313616-25-000043,USD,True,,,,,False,747000000.0,IncomeTaxExpenseBenefit,0000313616-25-000043,USD,True,0.161,EffectiveIncomeTaxRateContinuingOperations,0000313616-25-000043,pure,True,4646000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-25-000043,USD,True,,,,,False,,,,,False,16005000000.0,LongTermDebt,0000313616-25-000043,USD,True,505000000.0,DebtCurrent,0000313616-25-000043,USD,True,15500000000.0,LongTermDebtNoncurrent,0000313616-25-000043,USD,True,49543000000.0,StockholdersEquity,0000313616-25-000043,USD,True,,16005000000.0,5296000000.0,0.16078346965131296,,,,4863000000.0,False,0.2218219895287958,1.358296999230572,False,True,DHR,0000313616,ticker:DHR,24
2023,23890000000.0,Revenues,0000313616-24-000052,USD,True,4764000000.0,NetIncomeLoss,0000313616-24-000052,USD,True,7164000000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-24-000052,USD,True,1383000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-24-000052,USD,True,5202000000.0,OperatingIncomeLoss,0000313616-24-000052,USD,True,286000000.0,InterestExpense,0000313616-24-000052,USD,True,823000000.0,IncomeTaxExpenseBenefit,0000313616-24-000052,USD,True,0.163,EffectiveIncomeTaxRateContinuingOperations,0000313616-24-000052,pure,True,5044000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-24-000052,USD,True,,,,,False,,,,,False,18402000000.0,LongTermDebt,0000313616-24-000052,USD,True,1695000000.0,DebtCurrent,0000313616-24-000052,USD,True,16707000000.0,LongTermDebtNoncurrent,0000313616-24-000052,USD,True,53486000000.0,StockholdersEquity,0000313616-24-000052,USD,True,,18402000000.0,5781000000.0,0.16316415543219667,,,,5202000000.0,False,0.24198409376308078,1.2134760705289673,False,True,DHR,0000313616,ticker:DHR,24
2022,31471000000.0,Revenues,0000313616-23-000087,USD,True,7209000000.0,NetIncomeLoss,0000313616-23-000087,USD,True,8519000000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-23-000087,USD,True,1152000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-23-000087,USD,True,8688000000.0,OperatingIncomeLoss,0000313616-23-000087,USD,True,211000000.0,InterestExpense,0000313616-23-000087,USD,True,1083000000.0,IncomeTaxExpenseBenefit,0000313616-23-000087,USD,True,0.131,EffectiveIncomeTaxRateContinuingOperations,0000313616-23-000087,pure,True,8292000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-23-000087,USD,True,,,,,False,,,,,False,19677000000.0,LongTermDebt,0000313616-23-000087,USD,True,591000000.0,DebtCurrent,0000313616-23-000087,USD,True,19086000000.0,LongTermDebtNoncurrent,0000313616-23-000087,USD,True,50082000000.0,StockholdersEquity,0000313616-23-000087,USD,True,,19677000000.0,7367000000.0,0.13060781476121563,,,,8688000000.0,False,0.23408852594452034,1.0219170481342765,False,True,DHR,0000313616,ticker:DHR,24
2021,29453000000.0,Revenues,0000313616-22-000061,USD,True,6433000000.0,NetIncomeLoss,0000313616-22-000061,USD,True,8358000000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-22-000061,USD,True,1294000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-22-000061,USD,True,7465000000.0,OperatingIncomeLoss,0000313616-22-000061,USD,True,238000000.0,InterestExpense,0000313616-22-000061,USD,True,1251000000.0,IncomeTaxExpenseBenefit,0000313616-22-000061,USD,True,0.165,EffectiveIncomeTaxRateContinuingOperations,0000313616-22-000061,pure,True,7598000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-22-000061,USD,True,,,,,False,,,,,False,22176000000.0,LongTermDebt,0000313616-22-000061,USD,True,8000000.0,DebtCurrent,0000313616-22-000061,USD,True,22168000000.0,LongTermDebtNoncurrent,0000313616-22-000061,USD,True,45167000000.0,StockholdersEquity,0000313616-22-000061,USD,True,,22176000000.0,7064000000.0,0.164648591734667,,,,7465000000.0,False,0.23983974467796149,1.0980879838333593,False,True,DHR,0000313616,ticker:DHR,24
2020,22284000000.0,Revenues,0000313616-21-000045,USD,True,3646000000.0,NetIncomeLoss,0000313616-21-000045,USD,True,6208000000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-21-000045,USD,True,791000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-21-000045,USD,True,4231000000.0,OperatingIncomeLoss,0000313616-21-000045,USD,True,275000000.0,InterestExpense,0000313616-21-000045,USD,True,849000000.0,IncomeTaxExpenseBenefit,0000313616-21-000045,USD,True,0.189,EffectiveIncomeTaxRateContinuingOperations,0000313616-21-000045,pure,True,4495000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-21-000045,USD,True,,,,,False,,,,,False,21204000000.0,LongTermDebt,0000313616-21-000045,USD,True,11000000.0,DebtCurrent,0000313616-21-000045,USD,True,21193000000.0,LongTermDebtNoncurrent,0000313616-21-000045,USD,True,39766000000.0,StockholdersEquity,0000313616-21-000045,USD,True,,21204000000.0,5417000000.0,0.18887652947719688,,,,4231000000.0,False,0.24308921199066594,1.4857377948436643,False,True,DHR,0000313616,ticker:DHR,24
2019,17911100000.0,Revenues,0000313616-20-000041,USD,True,3008200000.0,NetIncomeLoss,0000313616-20-000041,USD,True,3951600000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-20-000041,USD,True,635500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-20-000041,USD,True,3269400000.0,OperatingIncomeLoss,0000313616-20-000041,USD,True,108600000.0,InterestExpense,0000313616-20-000041,USD,True,873000000.0,IncomeTaxExpenseBenefit,0000313616-20-000041,USD,True,0.264,EffectiveIncomeTaxRateContinuingOperations,0000313616-20-000041,pure,True,3305300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-20-000041,USD,True,19912300000.0,CashAndCashEquivalentsAtCarryingValue,0000313616-20-000041,USD,True,,,,,False,21729100000.0,LongTermDebt,0000313616-20-000041,USD,True,212400000.0,DebtCurrent,0000313616-20-000041,USD,True,21516700000.0,LongTermDebtNoncurrent,0000313616-20-000041,USD,True,30270600000.0,StockholdersEquity,0000313616-20-000041,USD,True,19912300000.0,21729100000.0,3316100000.0,0.2641212597948749,32087400000.0,2405881953.226636,0.0749790245774552,3269400000.0,False,0.1851421744058154,1.1023535669170932,True,True,DHR,0000313616,ticker:DHR,24
2018,19893000000.0,Revenues,0000313616-19-000035,USD,True,2650900000.0,NetIncomeLoss,0000313616-19-000035,USD,True,4022000000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-19-000035,USD,True,655700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-19-000035,USD,True,3403800000.0,OperatingIncomeLoss,0000313616-19-000035,USD,True,157400000.0,InterestExpense,0000313616-19-000035,USD,True,641900000.0,IncomeTaxExpenseBenefit,0000313616-19-000035,USD,True,0.195,EffectiveIncomeTaxRateContinuingOperations,0000313616-19-000035,pure,True,3292800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-19-000035,USD,True,787800000.0,CashAndCashEquivalentsAtCarryingValue,0000313616-19-000035,USD,True,,,,,False,9740300000.0,LongTermDebt,0000313616-19-000035,USD,True,51800000.0,DebtCurrent,0000313616-19-000035,USD,True,9688500000.0,LongTermDebtNoncurrent,0000313616-19-000035,USD,True,28214400000.0,StockholdersEquity,0000313616-19-000035,USD,True,787800000.0,9740300000.0,3366300000.0,0.1949404761904762,37166900000.0,2740261607.142857,0.07372854898156309,3403800000.0,False,0.1692203287588599,1.2698706099815158,True,True,DHR,0000313616,ticker:DHR,24
2017,18329700000.0,Revenues,0000313616-18-000038,USD,True,2492100000.0,NetIncomeLoss,0000313616-18-000038,USD,True,3477800000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-18-000038,USD,True,619600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-18-000038,USD,True,3021200000.0,OperatingIncomeLoss,0000313616-18-000038,USD,True,162700000.0,InterestExpense,0000313616-18-000038,USD,True,469000000.0,IncomeTaxExpenseBenefit,0000313616-18-000038,USD,True,0.16,EffectiveIncomeTaxRateContinuingOperations,0000313616-18-000038,pure,True,2938800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-18-000038,USD,True,630300000.0,CashAndCashEquivalentsAtCarryingValue,0000313616-18-000038,USD,True,,,,,False,10522100000.0,LongTermDebt,0000313616-18-000038,USD,True,194700000.0,DebtCurrent,0000313616-18-000038,USD,True,10327400000.0,LongTermDebtNoncurrent,0000313616-18-000038,USD,True,26358200000.0,StockholdersEquity,0000313616-18-000038,USD,True,630300000.0,10522100000.0,2858200000.0,0.15958894786987887,36250000000.0,2539049870.695522,0.07004275505366957,3021200000.0,False,0.155932721212022,1.1469042173267525,True,True,DHR,0000313616,ticker:DHR,24
2016,16882400000.0,Revenues,0000313616-17-000066,USD,True,2553700000.0,NetIncomeLoss,0000313616-17-000066,USD,True,3521800000.0,NetCashProvidedByUsedInOperatingActivities,0000313616-17-000066,USD,True,589600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000313616-17-000066,USD,True,2750900000.0,OperatingIncomeLoss,0000313616-17-000066,USD,True,184400000.0,InterestExpense,0000313616-17-000066,USD,True,457900000.0,IncomeTaxExpenseBenefit,0000313616-17-000066,USD,True,0.175,EffectiveIncomeTaxRateContinuingOperations,0000313616-17-000066,pure,True,2611300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000313616-17-000066,USD,True,963700000.0,CashAndCashEquivalentsAtCarryingValue,0000313616-17-000066,USD,True,,,,,False,12269000000.0,LongTermDebt,0000313616-17-000066,USD,True,2594800000.0,DebtCurrent,0000313616-17-000066,USD,True,9674200000.0,LongTermDebtNoncurrent,0000313616-17-000066,USD,True,23002800000.0,StockholdersEquity,0000313616-17-000066,USD,True,963700000.0,12269000000.0,2932200000.0,0.17535327231647072,34308100000.0,2268520683.184621,0.0661220144276314,2750900000.0,False,0.1736838364213619,1.1482163135842112,True,True,DHR,0000313616,ticker:DHR,24
