year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,4970000000.0,17.52,950000000.0,,,,,,,,33500000.0,2.17,2.35,
2025,4930000000.0,17.72,960000000.0,15.59,120000000.0,5040000000.0,1710000000.0,,23.5,5610000000.0,33620000.0,1.67,2.92,-3.7
2024,4700000000.0,16.85,910000000.0,15.35,180000000.0,5190000000.0,1730000000.0,,24.7,5690000000.0,34280000.0,1.45,3.15,-3.74
2023,4099999999.9999995,14.53,800000000.0,14.57,110000000.0,5200000000.0,1670000000.0,,27.8,5740000000.0,35030000.0,1.2,3.21,-3.53
2022,4210000000.0,,690000000.0,12.63,60350000.0,5250000000.0,1600000000.0,,,5790000000.0,35410000.0,1.32,2.67,-2.93
2021,4350000000.0,13.71,810000000.0,14.36,140000000.0,5290000000.0,1670000000.0,,39.3,5880000000.0,36130000.0,0.7,4.71,-4.87
2020,3680000000.0,,640000000.0,13.48,160000000.0,4350000000.0,1560000000.0,,,4860000000.0,38860000.0,0.86,3.59,-4.58
2019,3280000000.0,,570000000.0,13.34,190000000.0,4350000000.0,1380000000.0,,,4790000000.0,38930000.0,0.94,3.17,-3.35
2018,3130000000.0,,520000000.0,12.49,25430000.0,3530000000.0,900000000.0,,,3940000000.0,40970000.0,0.95,2.96,-3.34
2017,2780000000.0,6.07,520000000.0,14.35,35760000.0,3150000000.0,830000000.0,,28.7,3570000000.0,42890000.0,1.06,2.96,-3.02
2016,2470000000.0,4.42,450000000.0,13.94,42810000.0,2180000000.0,710000000.0,,32.9,2590000000.0,48100000.0,1.05,3.1,-4.08
2015,2210000000.0,3.51,400000000.0,13.82,130000000.0,2240000000.0,790000000.0,,28.6,2600000000.0,49830000.0,1.24,2.74,-3.38
2014,1990000000.0,2.94,340000000.0,12.97,30850000.0,1500000000.0,590000000.0,,28.5,1810000000.0,55550000.0,1.19,2.62,-4.29
2013,1800000000.0,2.58,310000000.0,12.49,14380000.0,1530000000.0,520000000.0,,23.8,1810000000.0,55760000.0,1.3,2.16,-3.01
2012,1670000000.0,,280000000.0,10.79,54810000.0,1560000000.0,470000000.0,,,1810000000.0,56840000.0,7.93,1.46,-1.84
