year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,4939994000.0,Revenues,0001193125-26-062321,USD,True,601704000.0,NetIncomeLoss,0001193125-26-062321,USD,True,792062000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-26-062321,USD,True,120558000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-26-062321,USD,True,953974000.0,OperatingIncomeLoss,0001193125-26-062321,USD,True,195972000.0,InterestExpense,0001193125-26-062321,USD,True,168634000.0,IncomeTaxExpenseBenefit,0001193125-26-062321,USD,True,0.219,EffectiveIncomeTaxRateContinuingOperations,0001193125-26-062321,pure,True,770338000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-26-062321,USD,True,125675000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-26-062321,USD,True,,,,,False,4816814000.0,DebtAndCapitalLeaseObligations,0001193125-26-062321,USD,True,6131000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001193125-26-062321,USD,True,55991000.0,FinanceLeaseLiabilityNoncurrent,0001193125-26-062321,USD,True,-3901142000.0,StockholdersEquity,0001193125-26-062321,USD,True,125675000.0,4816814000.0,671504000.0,0.21890910223823828,789997000.0,745140408.1013788,0.9432192883028402,953974000.0,False,0.13593214890544403,1.1160038823075797,True,True,DPZ,0001286681,ticker:DPZ,22
2024,4706416000.0,Revenues,0000950170-25-025223,USD,True,584170000.0,NetIncomeLoss,0000950170-25-025223,USD,True,624897000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-25-025223,USD,True,112885000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-25-025223,USD,True,878999000.0,OperatingIncomeLoss,0000950170-25-025223,USD,True,195870000.0,InterestExpense,0000950170-25-025223,USD,True,138045000.0,IncomeTaxExpenseBenefit,0000950170-25-025223,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000950170-25-025223,pure,True,722215000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-25-025223,USD,True,186126000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-25-025223,USD,True,,,,,False,4975338000.0,DebtAndCapitalLeaseObligations,0000950170-25-025223,USD,True,1149679000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000950170-25-025223,USD,True,61163000.0,FinanceLeaseLiabilityNoncurrent,0000950170-25-025223,USD,True,-3962291000.0,StockholdersEquity,0000950170-25-025223,USD,True,186126000.0,4975338000.0,512012000.0,0.19114114218065256,826921000.0,710986127.1643486,0.8597993365319645,878999000.0,False,0.10879021318982428,0.8764777376448637,True,True,DPZ,0001286681,ticker:DPZ,22
2023,4479358000.0,Revenues,0000950170-24-019725,USD,True,519118000.0,NetIncomeLoss,0000950170-24-019725,USD,True,590864000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-24-019725,USD,True,105396000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-24-019725,USD,True,819519000.0,OperatingIncomeLoss,0000950170-24-019725,USD,True,196475000.0,InterestExpense,0000950170-24-019725,USD,True,133322000.0,IncomeTaxExpenseBenefit,0000950170-24-019725,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000950170-24-019725,pure,True,652440000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-24-019725,USD,True,114098000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-24-019725,USD,True,,,,,False,4990428000.0,DebtAndCapitalLeaseObligations,0000950170-24-019725,USD,True,56366000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000950170-24-019725,USD,True,68704000.0,FinanceLeaseLiabilityNoncurrent,0000950170-24-019725,USD,True,-4070367000.0,StockholdersEquity,0000950170-24-019725,USD,True,114098000.0,4990428000.0,485468000.0,0.20434369443933542,805963000.0,652055459.8767703,0.8090389507666856,819519000.0,False,0.10837892394401162,0.9351785143262226,True,True,DPZ,0001286681,ticker:DPZ,22
2022,4357373000.0,Revenues,0000950170-22-002426,USD,True,510467000.0,NetIncomeLoss,0000950170-22-002426,USD,True,654206000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-22-002426,USD,True,94172000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-22-002426,USD,True,780408000.0,OperatingIncomeLoss,0000950170-22-002426,USD,True,191806000.0,InterestExpense,0000950170-22-002426,USD,True,115238000.0,IncomeTaxExpenseBenefit,0000950170-22-002426,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000950170-22-002426,pure,True,625705000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-22-002426,USD,True,148160000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-22-002426,USD,True,,,,,False,5070226000.0,DebtAndCapitalLeaseObligations,0000950170-22-002426,USD,True,55588000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000950170-22-002426,USD,True,72250000.0,FinanceLeaseLiabilityNoncurrent,0000950170-22-002426,USD,True,-4209536000.0,StockholdersEquity,0000950170-22-002426,USD,True,148160000.0,5070226000.0,560034000.0,0.1841730527964456,712530000.0,636677876.2132314,0.8935453611963446,780408000.0,False,0.12852560476231895,1.0971012817674797,True,True,DPZ,0001286681,ticker:DPZ,22
2020,4117411000.0,Revenues,0001193125-21-055734,USD,True,491296000.0,NetIncomeLoss,0001193125-21-055734,USD,True,592794000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-21-055734,USD,True,88768000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-21-055734,USD,True,725642000.0,OperatingIncomeLoss,0001193125-21-055734,USD,True,172166000.0,InterestExpense,0001193125-21-055734,USD,True,63834000.0,IncomeTaxExpenseBenefit,0001193125-21-055734,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001193125-21-055734,pure,True,555130000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-21-055734,USD,True,168821000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-21-055734,USD,True,,,,,False,4118873000.0,DebtAndCapitalLeaseObligations,0001193125-21-055734,USD,True,2855000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001193125-21-055734,USD,True,57700000.0,FinanceLeaseLiabilityNoncurrent,0001193125-21-055734,USD,True,-3300405000.0,StockholdersEquity,0001193125-21-055734,USD,True,168821000.0,4118873000.0,504026000.0,0.11498928178985103,649647000.0,642200947.5834489,0.9885383101645184,725642000.0,False,0.12241333206716551,1.0259110597277405,True,True,DPZ,0001286681,ticker:DPZ,22
2019,3618774000.0,Revenues,0001193125-20-042675,USD,True,400709000.0,NetIncomeLoss,0001193125-20-042675,USD,True,496950000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-20-042675,USD,True,85565000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-20-042675,USD,True,629407000.0,OperatingIncomeLoss,0001193125-20-042675,USD,True,150818000.0,InterestExpense,0001193125-20-042675,USD,True,81928000.0,IncomeTaxExpenseBenefit,0001193125-20-042675,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001193125-20-042675,pure,True,482637000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-20-042675,USD,True,190615000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-20-042675,USD,True,,,,,False,4114449000.0,DebtAndCapitalLeaseObligations,0001193125-20-042675,USD,True,43394000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001193125-20-042675,USD,True,18263000.0,FinanceLeaseLiabilityNoncurrent,0001193125-20-042675,USD,True,-3415759000.0,StockholdersEquity,0001193125-20-042675,USD,True,190615000.0,4114449000.0,411385000.0,0.16975076506774242,508075000.0,522564680.2110075,1.0285187820912414,629407000.0,False,0.11368076591685472,1.026642775680107,True,True,DPZ,0001286681,ticker:DPZ,22
2018,3432867000.0,Revenues,0001193125-19-046191,USD,True,361972000.0,NetIncomeLoss,0001193125-19-046191,USD,True,394171000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-19-046191,USD,True,119888000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-19-046191,USD,True,571689000.0,OperatingIncomeLoss,0001193125-19-046191,USD,True,146345000.0,InterestExpense,0001193125-19-046191,USD,True,66706000.0,IncomeTaxExpenseBenefit,0001193125-19-046191,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001193125-19-046191,pure,True,428678000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-19-046191,USD,True,25438000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-19-046191,USD,True,,,,,False,3531584000.0,DebtAndCapitalLeaseObligations,0001193125-19-046191,USD,True,35893000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001193125-19-046191,USD,True,,,,,False,-3039921000.0,StockholdersEquity,0001193125-19-046191,USD,True,25438000.0,3531584000.0,274283000.0,0.15560863865185523,466225000.0,482729252.97775954,1.0353997597249387,571689000.0,False,0.0798991047424791,0.7577464555269469,True,True,DPZ,0001286681,ticker:DPZ,22
2017,2787979000.0,Revenues,0001193125-18-049576,USD,True,277905000.0,NetIncomeLoss,0001193125-18-049576,USD,True,,,,,False,90011000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-18-049576,USD,True,521232000.0,OperatingIncomeLoss,0001193125-18-049576,USD,True,122541000.0,InterestExpense,0001193125-18-049576,USD,True,122248000.0,IncomeTaxExpenseBenefit,0001193125-18-049576,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0001193125-18-049576,pure,True,400153000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-18-049576,USD,True,35768000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-18-049576,USD,True,,,,,False,3153814000.0,DebtAndCapitalLeaseObligations,0001193125-18-049576,USD,True,32324000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001193125-18-049576,USD,True,,,,,False,-2735384000.0,StockholdersEquity,0001193125-18-049576,USD,True,35768000.0,3153814000.0,,0.30550314504701953,382662000.0,361993984.70085186,0.9459888483853945,521232000.0,False,,,True,False,DPZ,0001286681,ticker:DPZ,22
2016,2472628000.0,Revenues,0001193125-17-060262,USD,True,214678000.0,NetIncomeLoss,0001193125-17-060262,USD,True,,,,,False,58555000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-17-060262,USD,True,454042000.0,OperatingIncomeLoss,0001193125-17-060262,USD,True,110069000.0,InterestExpense,0001193125-17-060262,USD,True,129980000.0,IncomeTaxExpenseBenefit,0001193125-17-060262,USD,True,,,,,False,344658000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-17-060262,USD,True,42815000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-17-060262,USD,True,,,,,False,2187877000.0,DebtAndCapitalLeaseObligations,0001193125-17-060262,USD,True,38887000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001193125-17-060262,USD,True,,,,,False,-1883143000.0,StockholdersEquity,0001193125-17-060262,USD,True,42815000.0,2187877000.0,,0.3771274712903806,261919000.0,282810288.680373,1.079762402423547,454042000.0,False,,,True,False,DPZ,0001286681,ticker:DPZ,22
2015,2216528000.0,Revenues,0001193125-16-476935,USD,True,192789000.0,NetIncomeLoss,0001193125-16-476935,USD,True,,,,,False,63282000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-16-476935,USD,True,405439000.0,OperatingIncomeLoss,0001193125-16-476935,USD,True,99537000.0,InterestExpense,0001193125-16-476935,USD,True,113426000.0,IncomeTaxExpenseBenefit,0001193125-16-476935,USD,True,,,,,False,306215000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-16-476935,USD,True,133449000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-16-476935,USD,True,,,,,False,2240793000.0,DebtAndCapitalLeaseObligations,0001193125-16-476935,USD,True,59333000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001193125-16-476935,USD,True,,,,,False,-1800251000.0,StockholdersEquity,0001193125-16-476935,USD,True,133449000.0,2240793000.0,,0.37041294515291545,307093000.0,255259145.9301471,0.8312112159187839,405439000.0,False,,,True,False,DPZ,0001286681,ticker:DPZ,22
