Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,7220000000.0,1730000000.0,,,,
2025,7180000000.0,1650000000.0,26.2,4840000000.0,17690000000.0,
2024,6680000000.0,1540000000.0,35.9,4110000000.0000005,16170000000.000002,
2023,6460000000.0,1400000000.0,54.5,3940000000.0,16160000000.0,
2022,5950000000.0,1410000000.0,46.3,2970000000.0,15290000000.0,
2021,5640000000.0,1200000000.0,87.3,3370000000.0,16100000000.000002,
2020,5150000000.0,810000000.0,85.9,2640000000.0,15940000000.0,
2019,4490000000.0,950000000.0,60.4,2170000000.0,15540000000.0,
2018,4160000000.0,1030000000.0,45.1,3210000000.0,9120000000.0,
2017,3700000000.0,880000000.0,41.7,2950000000.0,8430000000.0,
2016,3360000000.0,750000000.0,39.2,2620000000.0,7300000000.0,
2015,3120000000.0,700000000.0,44.1,2570000000.0,6900000000.0,
2014,2980000000.0,580000000.0,40.8,1420000000.0,6030000000.0,
2013,2740000000.0,700000000.0,30.0,2490000000.0,5780000000.0,
2012,2630000000.0,680000000.0,29.2,1740000000.0,4770000000.0,
2011,2450000000.0,590000000.0,23.9,1840000000.0,4560000000.0,
2010,2069999999.9999998,420000000.0,28.0,1510000000.0,4080000000.0,
2009,1750000000.0,330000000.0,25.0,1510000000.0,3290000000.0,
2008,1980000000.0,430000000.0,16.2,1170000000.0,2990000000.0,
2007,1750000000.0,350000000.0,23.0,910000000.0,2710000000.0,
2006,1460000000.0,310000000.0,22.4,600000000.0,2440000000.0,
2005,1130000000.0,,26.8,440000000.0,1670000000.0,
2004,1000000000.0,,22.8,740000000.0,1480000000.0,
2003,880000000.0,250000000.0,25.0,550000000.0,1210000000.0,
2002,750000000.0,190000000.0,15.2,400000000.0,960000000.0,
2001,630000000.0,130000000.0,57.1,320000000.0,730000000.0,
2000,590000000.0,180000000.0,,250000000.0,,
1999,520000000.0,180000000.0,,260000000.0,,
1998,480000000.0,180000000.0,,280000000.0,,
1997,350000000.0,130000000.0,,210000000.0,,
1996,240000000.0,,,,,
