year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,85020000000.0,4.43,7860000000.0,,,,,,,,780000000.0,1.53,1.71,
2025,85030000000.0,7.76,8240000000.0,8.65,21510000000.0,12940000000.0,158510000000.0,30750000000.0,30.1,127750000000.0,780000000.0,1.51,2.22,6.13
2024,74210000000.0,5.58,6750000000.0,7.84,19950000000.0,11730000000.0,134460000000.00002,20490000000.0,28.4,113960000000.0,790000000.0,1.84,1.72,6.23
2023,71200000000.0,5.31,6010000000.0,7.29,20820000000.0,12510000000.0,131400000000.0,19590000000.0,28.4,111800000000.0,790000000.0,1.32,1.71,6.2
2022,61870000000.0,5.79,5850000000.0,8.64,19890000000.0,11780000000.0,124370000000.0,13920000000.0,19.8,110440000000.0,780000000.0,1.41,1.51,6.7
2021,60490000000.0,6.07,6250000000.0,9.64,18340000000.0,15240000000.0,121230000000.0,10740000000.0,19.9,110480000000.0,790000000.0,0.0,1.65,9.31
2020,58500000000.0,-1.78,,-2.26,20120000000.0,19210000000.0,135410000000.0,7940000000.0,-59.6,127470000000.0,780000000.0,0.0,1.48,10.9
2019,78810000000.0,-1.96,1610000000.0,1.51,13530000000.0,9720000000.0,128160000000.0,6710000000.0,-70.4,121450000000.0,770000000.0,1.33,1.45,17.0
2018,74410000000.0,4.51,5530000000.0,6.73,13710000000.0,8740000000.0,131780000000.0,11110000000.0,20.0,120660000000.0,770000000.0,1.91,1.0,6.7
2017,71540000000.0,3.66,5270000000.0,6.48,19370000000.0,11930000000.0,131320000000.0,12880000000.0,25.0,118430000000.0,760000000.0,1.77,1.07,5.95
2016,73010000000.0,1.36,2140000000.0000002,1.94,13350000000.0,9980000000.0,116890000000.0,3840000000.0,43.9,113050000000.0,830000000.0,2.3,0.703,13.4
2015,70900000000.0,3.75,4420000000.0,5.24,9830000000.0,9260000000.0,115660000000.0,6530000000.0,16.1,109130000000.0,780000000.0,2.18,0.7494,8.14
2014,78720000000.0,3.64,4920000000.0,5.29,13370000000.0,8020000000.0,116870000000.0,8600000000.0,11.8,108270000000.0,770000000.0,2.1,0.501,4.58
2013,77750000000.0,2.57,3510000000.0,3.4,14080000000.0,6700000000.0,124660000000.0,15060000000.0,25.5,109600000000.0,790000000.0,1.26,0.7735,3.99
2012,73550000000.0,1.93,3380000000.0,2.9,16160000000.0,6310000000.0,117710000000.0,13590000000.0,17.3,104120000000.0,810000000.0,1.82,0.4362,2.36
2011,67400000000.00001,1.57,2040000000.0,2.69,13030000000.0,5180000000.0,114900000000.0,11510000000.0,16.5,103390000000.0,820000000.0,1.1,0.3782,2.21
2010,60560000000.0,0.9,1620000000.0,1.78,16690000000.000002,,110640000000.0,11880000000.0,21.3,98760000000.0,650000000.0,0.0,0.3106,1.58
2009,60390000000.0,-1.35,,-2.27,19170000000.0,,115050000000.0,15240000000.0,-11.9,99800000000.0,790000000.0,1.74,,1.07
2008,,2.73,,5.32,18630000000.0,,106460000000.0,15550000000.0,4.79,90900000000.0,,1.24,,
2007,,-0.82,,-1.97,19220000000.0,,110170000000.0,19230000000.0,-30.4,90930000000.0,,0.69,,
2006,,0.16,,0.09,11460000000.0,,95180000000.0,17350000000.0,172.0,77830000000.0,,3.14,,
2005,,2.5,,7.41,11340000000.0,,83870000000.0,15640000000.0,11.7,68230000000.00001,,2.02,,
2004,,2.03,,5.93,11820000000.0,,92460000000.0,22180000000.0,10.8,70270000000.0,,2.47,,
2003,,0.24,,2.3,9910000000.0,,68459999999.99999,23070000000.0,74.1,45380000000.0,,2.14,,
2002,,-0.39,,0.63,6480000000.0,,48350000000.0,14760000000.0,-18.8,33580000000.0,,7.08,,
2001,,,,,,,,,,,,0.0,,
