Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,85020000000.0,7860000000.0,,,,
2025,85030000000.0,8240000000.0,30.1,21510000000.0,158510000000.0,
2024,74210000000.0,6750000000.0,28.4,19950000000.0,134460000000.00002,
2023,71200000000.0,6010000000.0,28.4,20820000000.0,131400000000.0,
2022,61870000000.0,5850000000.0,19.8,19890000000.0,124370000000.0,
2021,60490000000.0,6250000000.0,19.9,18340000000.0,121230000000.0,
2020,58500000000.0,,-59.6,20120000000.0,135410000000.0,
2019,78810000000.0,1610000000.0,-70.4,13530000000.0,128160000000.0,
2018,74410000000.0,5530000000.0,20.0,13710000000.0,131780000000.0,
2017,71540000000.0,5270000000.0,25.0,19370000000.0,131320000000.0,
2016,73010000000.0,2140000000.0000002,43.9,13350000000.0,116890000000.0,
2015,70900000000.0,4420000000.0,16.1,9830000000.0,115660000000.0,
2014,78720000000.0,4920000000.0,11.8,13370000000.0,116870000000.0,
2013,77750000000.0,3510000000.0,25.5,14080000000.0,124660000000.0,
2012,73550000000.0,3380000000.0,17.3,16160000000.0,117710000000.0,
2011,67400000000.00001,2040000000.0,16.5,13030000000.0,114900000000.0,
2010,60560000000.0,1620000000.0,21.3,16690000000.000002,110640000000.0,
2009,60390000000.0,,-11.9,19170000000.0,115050000000.0,
2008,,,4.79,18630000000.0,106460000000.0,
2007,,,-30.4,19220000000.0,110170000000.0,
2006,,,172.0,11460000000.0,95180000000.0,
2005,,,11.7,11340000000.0,83870000000.0,
2004,,,10.8,11820000000.0,92460000000.0,
2003,,,74.1,9910000000.0,68459999999.99999,
2002,,,-18.8,6480000000.0,48350000000.0,
