year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,14830000000.0,-0.68,510000000.0,,,,,,,,360000000.0,1.68,1.64,
2025,14670000000.0,-0.49,570000000.0,-7.26,2920000000.0,9460000000.0,19890000000.0,3860000000.0,-214.0,16020000000.0,360000000.0,1.34,2.62,9.54
2024,15170000000.0,-1.94,,4.95,3390000000.0,9820000000.0,21670000000.0,5310000000.0,-38.1,16360000000.0,360000000.0,3.15,1.77,6.43
2023,15150000000.0,1.31,1140000000.0,8.78,4019999999.9999995,10160000000.0,23410000000.0,6410000000.0,108.0,16989999999.999998,350000000.0,1.87,3.45,7.98
2022,16350000000.000002,4.17,2089999999.9999998,17.12,3950000000.0,7640000000.0,20910000000.0,6430000000.0,56.5,14470000000.0,350000000.0,1.04,5.41,13.2
2021,17730000000.0,8.99,4080000000.0,20.54,4950000000.0,8090000000.0,21970000000.0,6940000000.0,38.7,15020000000.0,360000000.0,0.63,7.52,18.8
2020,14190000000.0,2.54,1350000000.0,7.32,5020000000.0,8780000000.0,17780000000.0,3960000000.0,97.9,13810000000.0,360000000.0,0.6,6.78,17.6
2019,15850000000.0,5.16,2630000000.0,15.52,2980000000.0,3410000000.0,13150000000.0,4410000000.0,37.1,8740000000.0,360000000.0,0.92,4.68,16.1
2018,14190000000.0,4.46,2250000000.0,14.47,2710000000.0,3540000000.0,12560000000.0,4710000000.0,26.8,7850000000.0,360000000.0,1.31,3.32,10.9
2017,12760000000.0,2.92,1970000000.0,13.68,1740000000.0,3570000000.0,11560000000.0,4400000000.0,39.6,7160000000.0,360000000.0,1.21,3.67,10.2
2016,11370000000.0,2.94,1580000000.0,13.81,1380000000.0,2240000000.0,9220000000.0,3580000000.0,23.3,5630000000.0,360000000.0,1.81,2.46,7.36
2015,11060000000.0,3.17,1720000000.0,14.48,1520000000.0,1620000000.0,8220000000.000001,3650000000.0,24.5,4570000000.0,360000000.0,1.31,2.94,9.0
2014,10950000000.0,2.97,1710000000.0,16.2,1620000000.0,1340000000.0,7860000000.0,3860000000.0,22.4,3990000000.0,380000000.0,1.26,2.64,7.54
2013,10390000000.0,2.59,1490000000.0,14.49,1490000000.0,1340000000.0,7140000000.0,3300000000.0,25.1,3840000000.0,380000000.0,1.14,2.81,7.53
2012,9980000000.0,,1420000000.0,12.98,1340000000.0,1280000000.0,6590000000.0,2740000000.0,,3840000000.0,380000000.0,1.41,2.32,7.42
2011,9440000000.0,,1270000000.0,11.64,1250000000.0,1210000000.0,6270000000.0,2640000000.0,,3620000000.0,,1.11,2.29,8.18
2010,8279999999.999999,,1030000000.0,8.83,1120000000.0,1220000000.0,5330000000.0,1960000000.0,,3370000000.0,,1.11,1.92,6.62
2009,7470000000.0,,760000000.0,4.68,860000000.0,1420000000.0,5170000000.0,1660000000.0,,3510000000.0,,1.38,1.28,4.75
2008,7830000000.0,,720000000.0,9.4,400000000.0,1190000000.0,5010000000.0,1670000000.0,,3330000000.0,,2.17,0.7758,3.62
2007,7470000000.0,,760000000.0,10.1,250000000.0,1080000000.0,4120000000.0,1220000000.0,,2900000000.0,,1.58,1.13,6.02
2006,6760000000.0,,690000000.0,9.22,360000000.0,520000000.0,3780000000.0,1640000000.0,,2130000000.0,,1.55,1.25,5.16
2005,6350000000.0,,690000000.0,11.35,550000000.0,710000000.0,3880000000.0,1700000000.0,,2170000000.0,,1.53,1.12,4.73
2004,6050000000.0,,680000000.0,10.83,610000000.0,530000000.0,3700000000.0,1740000000.0,,1950000000.0,,1.13,1.7,5.67
2003,5420000000.0,,580000000.0,9.73,360000000.0,290000000.0,3340000000.0,1430000000.0,,1910000000.0,,1.0,1.67,5.65
2002,4900000000.0,,440000000.0,7.05,540000000.0,410000000.0,3410000000.0,1460000000.0,,1950000000.0,,1.5,1.26,4.3
2001,4630000000.0,,470000000.0,10.31,340000000.0,410000000.0,3210000000.0,1350000000.0,,1860000000.0,,0.73,1.65,
2000,4500000000.0,,550000000.0,,320000000.0,420000000.0,,,,,,0.61,,
1999,4200000000.0,,490000000.0,,340000000.0,420000000.0,,,,,,0.51,,
1998,3800000000.0,,440000000.0,,270000000.0,430000000.0,,,,,,0.54,,
1997,3460000000.0,,380000000.0,,250000000.0,31100000.0,,,,,,0.9,,
1996,3310000000.0,,330000000.0,,250000000.0,120000000.0,,,,,,0.91,,
1995,,,,,,,,,,,,0.0,,
