year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,18310000000.0,4.36,3660000000.0,,,,,,,,560000000.0,1.47,3.85,
2025,18180000000.0,4.11,3470000000.0,16.29,1540000000.0,13750000000.0,41960000000.0,20290000000.0,32.3,21660000000.0,560000000.0,1.61,4.2,3.76
2024,17550000000.0,504.36,2980000000.0,11.55,3580000000.0,8350000000.0,44240000000.0,27500000000.0,0.2427,16730000000.0,560000000.0,1.72,4.08,2.71
2023,15900000000.0,19.22,2750000000.0,19.14,8050000000.000001,8560000000.000001,42740000000.0,26590000000.0,4.91,16140000000.0,570000000.0,2.21,3.5,2.09
2022,15480000000.0,,2480000000.0,17.62,1800000000.0,10680000000.0,35670000000.0,16309999999.999998,,19350000000.0,590000000.0,2.27,3.61,3.35
2021,17230000000.0,4.62,3450000000.0,13.63,2350000000.0,7070000000.0,24710000000.0,9920000000.0,18.6,14790000000.0,590000000.0,2.36,3.21,5.38
2020,16790000000.0,3.48,2650000000.0,13.91,3310000000.0,7850000000.0,22880000000.0,8439999999.999999,20.9,14430000000.0,590000000.0,2.76,2.87,5.39
2019,18370000000.0,3.54,2900000000.0,15.56,1490000000.0,5720000000.0,20490000000.0,8270000000.0,18.9,12220000000.0,610000000.0,2.94,2.54,5.51
2018,17730000000.0,,2980000000.0,15.32,1090000000.0,4760000000.0,20390000000.0,8990000000.0,,11400000000.0,610000000.0,3.82,2.07,4.45
2017,15860000000.0,2.5,2560000000.0,15.3,3060000000.0,4650000000.0,19580000000.0,8770000000.0,23.1,10810000000.0,630000000.0,3.33,2.81,5.31
2016,10220000000.0,2.48,2340000000.0,15.95,3180000000.0,6630000000.0,21730000000.0,7610000000.0,18.1,14110000000.0,640000000.0,4.25,3.51,4.63
2015,20050000000.0,3.83,4030000000.0000005,23.43,3050000000.0,6840000000.0,22080000000.0,8119999999.999999,9.67,13960000000.0,640000000.0,5.09,1.53,4.1
2014,24510000000.0,3.17,3680000000.0,17.99,3140000000.0,6020000000.0,24170000000.0,10160000000.0,14.5,14010000000.0,680000000.0,3.82,1.73,4.45
2013,24720000000.0,2.83,3400000000.0,12.96,3270000000.0,5640000000.0,24710000000.0,10710000000.0,18.0,13990000000.0,700000000.0,3.25,2.0,4.54
2012,24650000000.0,,3460000000.0,12.76,2360000000.0,5290000000.0,23810000000.0,10440000000.0,,13370000000.0,720000000.0,4.3,1.55,3.6
2011,23990000000.0,,3700000000.0,14.99,2049999999.9999998,5200000000.0,23860000000.0,10550000000.0,,13310000000.0,730000000.0,4.5,1.43,3.32
2010,21140000000.0,,3280000000.0,13.68,1590000000.0,5060000000.0,22840000000.0,9950000000.0,,12890000000.0,750000000.0,3.54,2.04,4.18
2009,20320000000.0,,2610000000.0,12.19,1560000000.0,4570000000.0,19760000000.0,8700000000.0,,11050000000.0,750000000.0,4.79,1.58,3.59
2008,24700000000.0,,3910000000.0,14.48,1770000000.0,4510000000.0,21040000000.0,9110000000.0,,11920000000.0,760000000.0,5.37,1.14,3.28
2007,22920000000.0,,3570000000.0,13.98,1000000000.0,3770000000.0,19680000000.0,8960000000.0,,10710000000.0,780000000.0,3.16,1.95,4.78
2006,20630000000.0,,3100000000.0,13.55,810000000.0,4019999999.9999995,18670000000.0,8330000000.0,,10340000000.0,790000000.0,3.55,1.71,4.2
2005,17880000000.0,,2650000000.0,12.42,1230000000.0,4090000000.0,17220000000.0,7400000000.0,,9820000000.0,,3.89,1.72,4.03
2004,15980000000.0,,2310000000.0,11.86,1340000000.0,4030000000.0000005,16360000000.0,7230000000.0,,9120000000.0,,4.06,1.84,3.84
2003,14330000000.0,,2020000000.0,10.13,690000000.0,4120000000.0,15190000000.0,6460000000.0,,8730000000.0,,4.41,1.91,4.07
2002,13750000000.0,,1870000000.0,11.57,380000000.0,4550000000.0,14540000000.0,5740000000.0,,8800000000.0,,5.71,1.56,3.64
2001,14850000000.0,,1390000000.0,10.54,350000000.0,4700000000.0,15040000000.0,6110000000.0,,8930000000.0,,5.17,1.62,
2000,15920000000.0,,2600000000.0,,280000000.0,4600000000.0,,,,,,3.64,,
1999,14380000000.0,,2330000000.0,,260000000.0,3270000000.0,,,,,,4.69,,
1998,13700000000.0,,2200000000.0,,200000000.0,2580000000.0,,,,,,4.13,,
1997,12630000000.0,,2029999999.9999998,,220000000.0,2009999999.9999998,,,,,,4.12,,
1996,11410000000.0,,1830000000.0,,140000000.0,1730000000.0,,,,,,4.45,,
1995,,,,,,,,,,,,4.94,,
1994,,,,,,,,,,,,5.78,,
1993,,,,,,,,,,,,5.65,,
1992,,,,,,,,,,,,6.02,,
1991,,,,,,,,,,,,5.92,,
1990,,,,,,,,,,,,9.98,,
1989,,,,,,,,,,,,7.75,,
1988,,,,,,,,,,,,9.18,,
1987,,,,,,,,,,,,5.99,,
1986,,,,,,,,,,,,9.54,,
1985,,,,,,,,,,,,9.61,,
1984,,,,,,,,,,,,10.49,,
1983,,,,,,,,,,,,10.29,,
1982,,,,,,,,,,,,11.04,,
1981,,,,,,,,,,,,13.76,,
1980,,,,,,,,,,,,16.14,,
1979,,,,,,,,,,,,15.89,,
1978,,,,,,,,,,,,13.88,,
1977,,,,,,,,,,,,12.7,,
1976,,,,,,,,,,,,10.34,,
1975,,,,,,,,,,,,9.37,,
1974,,,,,,,,,,,,12.54,,
1973,,,,,,,,,,,,6.58,,
1972,,,,,,,,,,,,2.99,,
