Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,18310000000.0,3660000000.0,,,,
2025,18180000000.0,3470000000.0,32.3,1540000000.0,41960000000.0,
2024,17550000000.0,2980000000.0,0.2427,3580000000.0,44240000000.0,
2023,15900000000.0,2750000000.0,4.91,8050000000.000001,42740000000.0,
2022,15480000000.0,2480000000.0,,1800000000.0,35670000000.0,
2021,17230000000.0,3450000000.0,18.6,2350000000.0,24710000000.0,
2020,16790000000.0,2650000000.0,20.9,3310000000.0,22880000000.0,
2019,18370000000.0,2900000000.0,18.9,1490000000.0,20490000000.0,
2018,17730000000.0,2980000000.0,,1090000000.0,20390000000.0,
2017,15860000000.0,2560000000.0,23.1,3060000000.0,19580000000.0,
2016,10220000000.0,2340000000.0,18.1,3180000000.0,21730000000.0,
2015,20050000000.0,4030000000.0000005,9.67,3050000000.0,22080000000.0,
2014,24510000000.0,3680000000.0,14.5,3140000000.0,24170000000.0,
2013,24720000000.0,3400000000.0,18.0,3270000000.0,24710000000.0,
2012,24650000000.0,3460000000.0,,2360000000.0,23810000000.0,
2011,23990000000.0,3700000000.0,,2049999999.9999998,23860000000.0,
2010,21140000000.0,3280000000.0,,1590000000.0,22840000000.0,
2009,20320000000.0,2610000000.0,,1560000000.0,19760000000.0,
2008,24700000000.0,3910000000.0,,1770000000.0,21040000000.0,
2007,22920000000.0,3570000000.0,,1000000000.0,19680000000.0,
2006,20630000000.0,3100000000.0,,810000000.0,18670000000.0,
2005,17880000000.0,2650000000.0,,1230000000.0,17220000000.0,
2004,15980000000.0,2310000000.0,,1340000000.0,16360000000.0,
2003,14330000000.0,2020000000.0,,690000000.0,15190000000.0,
2002,13750000000.0,1870000000.0,,380000000.0,14540000000.0,
2001,14850000000.0,1390000000.0,,350000000.0,15040000000.0,
2000,15920000000.0,2600000000.0,,280000000.0,,
1999,14380000000.0,2330000000.0,,260000000.0,,
1998,13700000000.0,2200000000.0,,200000000.0,,
1997,12630000000.0,2029999999.9999998,,220000000.0,,
1996,11410000000.0,1830000000.0,,140000000.0,,
