year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,9430000000.0,14.5,2140000000.0000002,,,,,,,,98390000.0,1.88,10.0,
2025,9210000000.0,13.8,2029999999.9999998,16.36,3220000000.0,22720000000.0,40140000000.0,14170000000.0,55.5,25960000000.0,98200000.0,2.45,8.14,5.29
2024,8740000000.0,8.58,1430000000.0,11.15,3600000000.0,18960000000.0,35080000000.0,13550000000.0,108.0,21530000000.0,96840000.0,1.84,10.4,6.71
2023,8180000000.0,10.34,1520000000.0,13.73,2089999999.9999998,17450000000.0,32650000000.0,12510000000.0,75.1,20130000000.0,94260000.0,1.87,9.23,6.04
2022,7260000000.0,7.69,1180000000.0,11.41,1900000000.0,16460000000.0,30310000000.0,11500000000.0,80.5,18800000000.0,92570000.0,2.0,8.35,5.27
2021,6630000000.0,5.57,940000000.0,9.18,1530000000.0,14990000000.0,27910000000.0,10880000000.0,141.0,17030000000.000002,90240000.0,1.46,11.5,7.0
2020,5990000000.0,4.24,920000000.0,8.61,1600000000.0,13920000000.0,27000000000.0,10630000000.0,154.0,16370000000.000002,89110000.0,1.63,10.6,5.98
2019,5560000000.0,6.03,1170000000.0,12.45,1870000000.0,13280000000.0,23960000000.0,8840000000.0,87.1,15120000000.0,85280000.0,1.87,8.95,5.63
2018,5070000000.0,4.57,950000000.0,8.54,610000000.0,11330000000.0,20240000000.0,7210000000.0,68.1,13020000000.0,80500000.0,2.93,5.61,3.94
2017,4360000000.0,3.02,760000000.0,6.57,1440000000.0,10080000000.0,18690000000.0,6840000000.0,129.0,11840000000.0,78540000.0,2.05,8.12,5.18
2016,3610000000.0,1.77,550000000.0,4.43,750000000.0,6750000000.0,12600000000.0,4360000000.0,171.0,8240000000.0,71380000.0,2.31,7.06,5.84
2015,2720000000.0,3.29,510000000.0,7.74,2240000000.0,6520000000.0,10350000000.0,2740000000.0,76.2,7610000000.0,60390000.0,7.06,6.89,6.84
2014,2440000000.0,-4.56,350000000.0,3.47,1140000000.0,4640000000.0,7780000000.0,2270000000.0,-38.6,5510000000.0,55290000.0,4.3,5.24,5.64
2013,2150000000.0,1.8,360000000.0,5.22,630000000.0,4150000000.0000005,7490000000.0,2580000000.0,73.7,4900000000.0,49760000.0,0.0,4.09,3.41
2012,1890000000.0,3.02,390000000.0,9.99,410000000.0,3010000000.0,6130000000.0,2390000000.0,51.0,3730000000.0,48670000.0,0.0,5.32,4.19
2011,1590000000.0,,310000000.0,8.29,910000000.0,3090000000.0,5780000000.0,2009999999.9999998,,3760000000.0,47200000.0,0.0,3.01,2.38
2010,1220000000.0,,190000000.0,4.08,590000000.0,2040000000.0,4440000000.0,1880000000.0,,2560000000.0,45740000.0,0.0,3.07,1.99
2009,880000000.0,,180000000.0,12.35,590000000.0,1480000000.0,3030000000.0,1180000000.0,,1850000000.0,38780000.0,0.0,4.73,3.53
2008,700000000.0,,88120000.0,2.88,260000000.0,1200000000.0,2430000000.0,910000000.0,,1510000000.0,37260000.0,0.0,2.82,2.17
2007,410000000.0,,10520000.0,-1.12,350000000.0,1100000000.0,2180000000.0,810000000.0,,1360000000.0,31680000.0,0.0,8.81,4.54
2006,280000000.0,,3440000.0,-2.21,130000000.0,270000000.0,770000000.0,350000000.0,,410000000.0,28740000.0,0.0,7.78,6.29
2005,220000000.0,,,-19.03,170000000.0,260000000.0,680000000.0,280000000.0,,390000000.0,24070000.0,0.0,5.06,3.88
2004,160000000.0,,,-41.84,90430000.0,150000000.0,500000000.0,270000000.0,,220000000.0,18380000.0,0.0,4.96,2.97
2003,110000000.0,,,-71.37,72970000.0,98590000.0,460000000.0,320000000.0,,140000000.0,9290000.0,0.0,3.61,1.33
2002,77180000.0,,,-28.01,41210000.0,150000000.0,490000000.0,280000000.0,,200000000.0,,0.0,0.6239,0.1695
2001,63410000.0,,,-168.25,87720000.0,300000000.0,570000000.0,200000000.0,,370000000.0,,0.0,3.67,
2000,13010000.0,,,,200000000.0,190000000.0,,,,,,0.0,,
1999,,,,,220000000.0,190000000.0,,,,,,,,
