Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,9430000000.0,2140000000.0000002,,,,
2025,9210000000.0,2029999999.9999998,55.5,3220000000.0,40140000000.0,
2024,8740000000.0,1430000000.0,108.0,3600000000.0,35080000000.0,
2023,8180000000.0,1520000000.0,75.1,2089999999.9999998,32650000000.0,
2022,7260000000.0,1180000000.0,80.5,1900000000.0,30310000000.0,
2021,6630000000.0,940000000.0,141.0,1530000000.0,27910000000.0,
2020,5990000000.0,920000000.0,154.0,1600000000.0,27000000000.0,
2019,5560000000.0,1170000000.0,87.1,1870000000.0,23960000000.0,
2018,5070000000.0,950000000.0,68.1,610000000.0,20240000000.0,
2017,4360000000.0,760000000.0,129.0,1440000000.0,18690000000.0,
2016,3610000000.0,550000000.0,171.0,750000000.0,12600000000.0,
2015,2720000000.0,510000000.0,76.2,2240000000.0,10350000000.0,
2014,2440000000.0,350000000.0,-38.6,1140000000.0,7780000000.0,
2013,2150000000.0,360000000.0,73.7,630000000.0,7490000000.0,
2012,1890000000.0,390000000.0,51.0,410000000.0,6130000000.0,
2011,1590000000.0,310000000.0,,910000000.0,5780000000.0,
2010,1220000000.0,190000000.0,,590000000.0,4440000000.0,
2009,880000000.0,180000000.0,,590000000.0,3030000000.0,
2008,700000000.0,88120000.0,,260000000.0,2430000000.0,
2007,410000000.0,10520000.0,,350000000.0,2180000000.0,
2006,280000000.0,3440000.0,,130000000.0,770000000.0,
2005,220000000.0,,,170000000.0,680000000.0,
2004,160000000.0,,,90430000.0,500000000.0,
2003,110000000.0,,,72970000.0,460000000.0,
2002,77180000.0,,,41210000.0,490000000.0,
2001,63410000.0,,,87720000.0,570000000.0,
2000,13010000.0,,,200000000.0,,
1999,,,,220000000.0,,
