year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,9217000000.0,Revenues,0001101239-26-000032,USD,True,1350000000.0,NetIncomeLoss,0001101239-26-000032,USD,True,3911000000.0,NetCashProvidedByUsedInOperatingActivities,0001101239-26-000032,USD,True,4311000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001101239-26-000032,USD,True,1848000000.0,OperatingIncomeLoss,0001101239-26-000032,USD,True,,,,,False,160000000.0,IncomeTaxExpenseBenefit,0001101239-26-000032,USD,True,0.106,EffectiveIncomeTaxRateContinuingOperations,0001101239-26-000032,pure,True,1508000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001101239-26-000032,USD,True,1727000000.0,CashAndCashEquivalentsAtCarryingValue,0001101239-26-000032,USD,True,1500000000.0,ShortTermInvestments,0001101239-26-000032,USD,True,,,,,False,168000000.0,FinanceLeaseLiabilityCurrent,0001101239-26-000032,USD,True,2187000000.0,FinanceLeaseLiabilityNoncurrent,0001101239-26-000032,USD,True,14156000000.0,StockholdersEquity,0001101239-26-000032,USD,True,3227000000.0,2355000000.0,-400000000.0,0.10610079575596817,13284000000.0,1651925729.4429708,0.12435454151181653,1848000000.0,False,-0.04339806878593903,-0.2962962962962963,True,True,EQIX,0001101239,ticker:EQIX,24
2024,8748000000.0,Revenues,0001628280-25-005126,USD,True,815000000.0,NetIncomeLoss,0001628280-25-005126,USD,True,3249000000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-25-005126,USD,True,3066000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-25-005126,USD,True,1328000000.0,OperatingIncomeLoss,0001628280-25-005126,USD,True,,,,,False,161000000.0,IncomeTaxExpenseBenefit,0001628280-25-005126,USD,True,,,,,False,975000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-25-005126,USD,True,3081000000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-25-005126,USD,True,527000000.0,ShortTermInvestments,0001628280-25-005126,USD,True,15334000000.0,LongTermDebt,0001628280-25-005126,USD,True,189000000.0,FinanceLeaseLiabilityCurrent,0001628280-25-005126,USD,True,2086000000.0,FinanceLeaseLiabilityNoncurrent,0001628280-25-005126,USD,True,13528000000.0,StockholdersEquity,0001628280-25-005126,USD,True,3608000000.0,15334000000.0,183000000.0,0.16512820512820514,25254000000.0,1108709743.5897436,0.043902341949384006,1328000000.0,False,0.02091906721536351,0.2245398773006135,True,True,EQIX,0001101239,ticker:EQIX,24
2023,8188136000.0,Revenues,0001628280-24-005350,USD,True,969178000.0,NetIncomeLoss,0001628280-24-005350,USD,True,3216595000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-24-005350,USD,True,2781018000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-24-005350,USD,True,1443274000.0,OperatingIncomeLoss,0001628280-24-005350,USD,True,402022000.0,InterestExpense,0001628280-24-005350,USD,True,155250000.0,IncomeTaxExpenseBenefit,0001628280-24-005350,USD,True,,,,,False,1124230000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-24-005350,USD,True,2095712000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-24-005350,USD,True,,,,,False,13840646000.0,LongTermDebt,0001628280-24-005350,USD,True,138657000.0,FinanceLeaseLiabilityCurrent,0001628280-24-005350,USD,True,2122484000.0,FinanceLeaseLiabilityNoncurrent,0001628280-24-005350,USD,True,12488894000.0,StockholdersEquity,0001628280-24-005350,USD,True,2095712000.0,13840646000.0,435577000.0,0.1380945180256709,24233828000.0,1243965772.5910177,0.05133179011549548,1443274000.0,False,0.053196112033312586,0.4494293101989521,True,True,EQIX,0001101239,ticker:EQIX,24
2022,7263105000.0,Revenues,0001628280-23-004039,USD,True,704345000.0,NetIncomeLoss,0001628280-23-004039,USD,True,2963182000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-23-004039,USD,True,2278004000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-23-004039,USD,True,1200528000.0,OperatingIncomeLoss,0001628280-23-004039,USD,True,356337000.0,InterestExpense,0001628280-23-004039,USD,True,124792000.0,IncomeTaxExpenseBenefit,0001628280-23-004039,USD,True,,,,,False,829369000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-23-004039,USD,True,1906421000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-23-004039,USD,True,,,,,False,12880507000.0,LongTermDebt,0001628280-23-004039,USD,True,151420000.0,FinanceLeaseLiabilityCurrent,0001628280-23-004039,USD,True,2143690000.0,FinanceLeaseLiabilityNoncurrent,0001628280-23-004039,USD,True,11505966000.0,StockholdersEquity,0001628280-23-004039,USD,True,1906421000.0,12880507000.0,685178000.0,0.15046619779615586,22480052000.0,1019889116.4921765,0.04536862799481854,1200528000.0,False,0.09433678846719137,0.9727874834065692,True,True,EQIX,0001101239,ticker:EQIX,24
2021,6635537000.0,Revenues,0001628280-22-003171,USD,True,500191000.0,NetIncomeLoss,0001628280-22-003171,USD,True,2547206000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-22-003171,USD,True,2751512000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-22-003171,USD,True,1108162000.0,OperatingIncomeLoss,0001628280-22-003171,USD,True,336082000.0,InterestExpense,0001628280-22-003171,USD,True,109224000.0,IncomeTaxExpenseBenefit,0001628280-22-003171,USD,True,,,,,False,608952000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-22-003171,USD,True,1536358000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-22-003171,USD,True,0.0,ShortTermInvestments,0001628280-22-003171,USD,True,11722148000.0,LongTermDebt,0001628280-22-003171,USD,True,147841000.0,FinanceLeaseLiabilityCurrent,0001628280-22-003171,USD,True,1989668000.0,FinanceLeaseLiabilityNoncurrent,0001628280-22-003171,USD,True,10882082000.0,StockholdersEquity,0001628280-22-003171,USD,True,1536358000.0,11722148000.0,-204306000.0,0.17936389075000986,21067872000.0,909397752.0986875,0.043165145112837575,1108162000.0,False,-0.030789670828449904,-0.4084559698195289,True,True,EQIX,0001101239,ticker:EQIX,24
2020,5998545000.0,Revenues,0001628280-21-002563,USD,True,369777000.0,NetIncomeLoss,0001628280-21-002563,USD,True,2309826000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-21-002563,USD,True,,,,,False,1052928000.0,OperatingIncomeLoss,0001628280-21-002563,USD,True,406466000.0,InterestExpense,0001628280-21-002563,USD,True,146151000.0,IncomeTaxExpenseBenefit,0001628280-21-002563,USD,True,,,,,False,516225000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-21-002563,USD,True,1604869000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-21-002563,USD,True,4532000.0,ShortTermInvestments,0001628280-21-002563,USD,True,10633881000.0,LongTermDebt,0001628280-21-002563,USD,True,137683000.0,FinanceLeaseLiabilityCurrent,0001628280-21-002563,USD,True,1784816000.0,FinanceLeaseLiabilityNoncurrent,0001628280-21-002563,USD,True,10633988000.0,StockholdersEquity,0001628280-21-002563,USD,True,1609401000.0,10633881000.0,,0.28311492081941014,19658468000.0,754828372.6514602,0.0383971107337286,1052928000.0,False,,,True,False,EQIX,0001101239,ticker:EQIX,24
2019,5562140000.0,Revenues,0001628280-20-001947,USD,True,507450000.0,NetIncomeLoss,0001628280-20-001947,USD,True,1992728000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-20-001947,USD,True,,,,,False,1169631000.0,OperatingIncomeLoss,0001628280-20-001947,USD,True,479684000.0,InterestExpense,0001628280-20-001947,USD,True,185352000.0,IncomeTaxExpenseBenefit,0001628280-20-001947,USD,True,,,,,False,692597000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-20-001947,USD,True,1869577000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-20-001947,USD,True,10362000.0,ShortTermInvestments,0001628280-20-001947,USD,True,10401097000.0,LongTermDebt,0001628280-20-001947,USD,True,75239000.0,FinanceLeaseLiabilityCurrent,0001628280-20-001947,USD,True,1430882000.0,FinanceLeaseLiabilityNoncurrent,0001628280-20-001947,USD,True,8840606000.0,StockholdersEquity,0001628280-20-001947,USD,True,1879939000.0,10401097000.0,,0.2676188317304291,17361764000.0,856615718.2243065,0.04933920989965688,1169631000.0,False,,,True,False,EQIX,0001101239,ticker:EQIX,24
2018,5071654000.0,Revenues,0001628280-19-001771,USD,True,365359000.0,NetIncomeLoss,0001628280-19-001771,USD,True,1815426000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-19-001771,USD,True,2096174000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-19-001771,USD,True,977383000.0,OperatingIncomeLoss,0001628280-19-001771,USD,True,521494000.0,InterestExpense,0001628280-19-001771,USD,True,67679000.0,IncomeTaxExpenseBenefit,0001628280-19-001771,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001628280-19-001771,pure,True,433038000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-19-001771,USD,True,606166000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-19-001771,USD,True,4540000.0,ShortTermInvestments,0001628280-19-001771,USD,True,9890531000.0,LongTermDebt,0001628280-19-001771,USD,True,,,,,False,,,,,False,7219279000.0,StockholdersEquity,0001628280-19-001771,USD,True,610706000.0,9890531000.0,-280748000.0,0.15628882453733853,16499104000.0,824628959.8072225,0.04998022679335935,977383000.0,False,-0.05535629993686478,-0.768416817431622,True,True,EQIX,0001101239,ticker:EQIX,24
2017,4368428000.0,Revenues,0001628280-18-002212,USD,True,232982000.0,NetIncomeLoss,0001628280-18-002212,USD,True,1439233000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-18-002212,USD,True,1378725000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-18-002212,USD,True,809014000.0,OperatingIncomeLoss,0001628280-18-002212,USD,True,478698000.0,InterestExpense,0001628280-18-002212,USD,True,53850000.0,IncomeTaxExpenseBenefit,0001628280-18-002212,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0001628280-18-002212,pure,True,286832000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-18-002212,USD,True,1412517000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-18-002212,USD,True,28271000.0,ShortTermInvestments,0001628280-18-002212,USD,True,8470275000.0,LongTermDebt,0001628280-18-002212,USD,True,,,,,False,,,,,False,6849790000.0,StockholdersEquity,0001628280-18-002212,USD,True,1440788000.0,8470275000.0,60508000.0,0.18774055893345235,13879277000.0,657129259.455012,0.04734607281452859,809014000.0,False,0.01385120688723724,0.25971105063910516,True,True,EQIX,0001101239,ticker:EQIX,24
2016,3611989000.0,Revenues,0001628280-17-001774,USD,True,126800000.0,NetIncomeLoss,0001628280-17-001774,USD,True,1016580000.0,NetCashProvidedByUsedInOperatingActivities,0001628280-17-001774,USD,True,1113365000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001628280-17-001774,USD,True,618739000.0,OperatingIncomeLoss,0001628280-17-001774,USD,True,392156000.0,InterestExpense,0001628280-17-001774,USD,True,45451000.0,IncomeTaxExpenseBenefit,0001628280-17-001774,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0001628280-17-001774,pure,True,159859000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001628280-17-001774,USD,True,748476000.0,CashAndCashEquivalentsAtCarryingValue,0001628280-17-001774,USD,True,3409000.0,ShortTermInvestments,0001628280-17-001774,USD,True,5309826000.0,LongTermDebt,0001628280-17-001774,USD,True,,,,,False,,,,,False,4365829000.0,StockholdersEquity,0001628280-17-001774,USD,True,751885000.0,5309826000.0,-96785000.0,0.2843193063887551,8923770000.0,442819556.6843281,0.04962247533097873,618739000.0,False,-0.026795485811280155,-0.763288643533123,True,True,EQIX,0001101239,ticker:EQIX,24
