year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,28520000000.0,10.27,4860000000.0,,,,,,,,380000000.0,1.07,4.87,
2025,27440000000.0,10.5,4930000000.0,17.97,800000000.0,10530000000.0,41250000000.0,19460000000.0,30.3,21780000000.0,380000000.0,1.31,4.64,6.54
2024,24870000000.0,9.54,4560000000.0,18.35,2080000000.0,9820000000.0,38380000000.0,18530000000.0,34.4,19850000000.0,390000000.0,1.14,5.32,7.14
2023,23190000000.0,8.06,3820000000.0,16.5,2600000000.0,9800000000.0,38430000000.0,19060000000.0,29.2,19360000000.0,390000000.0,1.46,4.15,5.04
2022,20750000000.0,6.17,2910000000.0,14.03,550000000.0,9110000000.0,35010000000.0,17070000000.0,24.4,17930000000.0,390000000.0,2.15,3.01,3.66
2021,19620000000.0,5.38,2890000000.0,14.75,560000000.0,8910000000.0,34020000000.000004,16450000000.0,30.2,17570000000.0,390000000.0,1.87,3.51,4.19
2020,17850000000.0,3.5,1740000000.0,9.78,1100000000.0,8380000000.000001,31820000000.0,14970000000.0,31.6,16850000000.000002,390000000.0,2.04,2.68,3.2
2019,21390000000.0,5.27,2590000000.0,12.11,590000000.0,8650000000.0,32799999999.999996,16129999999.999998,16.2,16670000000.000002,410000000.0,3.33,1.83,2.43
2018,21600000000.0,4.93,2420000000.0,11.22,440000000.0,7520000000.0,31090000000.0,16140000000.0,12.1,14950000000.0,420000000.0,2.21,1.35,1.8
2017,20400000000.0,6.73,3370000000.0,16.51,1090000000.0,7750000000.0,32619999999.999996,17290000000.0,10.0,15330000000.0,440000000.0,3.55,1.71,2.01
2016,19740000000.0,4.23,2120000000.0,10.73,740000000.0,8270000000.0,30470000000.0,14990000000.0,13.1,15470000000.0,450000000.0,4.1,1.53,2.02
2015,20850000000.0,4.25,2140000000.0000002,10.23,440000000.0,8410000000.0,30990000000.0,15230000000.0,9.77,15760000000.0,460000000.0,5.3,1.14,1.57
2014,22550000000.0,3.79,1760000000.0,7.81,1020000000.0,9030000000.0,33520000000.000004,15830000000.0,13.8,17690000000.0,470000000.0,3.74,1.41,2.01
2013,22040000000.0,3.93,1880000000.0,8.55,1700000000.0,9540000000.0,35490000000.0,16860000000.0,14.5,18620000000.0,470000000.0,2.94,1.64,2.14
2012,16309999999.999998,3.55,1250000000.0,7.67,1100000000.0,10830000000.0,35810000000.0,15170000000.0,11.2,20630000000.0,380000000.0,3.84,1.56,1.68
2011,16040000000.0,,1550000000.0,9.68,1080000000.0,3770000000.0,17870000000.0,7490000000.0,,10380000000.0,330000000.0,4.42,0.9065,1.94
2010,13710000000.0,,1030000000.0,7.55,1170000000.0,3450000000.0,17250000000.0,7400000000.0,,9840000000.0,,3.09,1.26,2.33
2009,11870000000.0,,300000000.0,2.55,770000000.0,3460000000.0,16280000000.000002,6810000000.0,,9460000000.0,,4.7,0.8906,1.55
2008,15370000000.0,,1130000000.0,7.41,530000000.0,4269999999.9999995,16649999999.999998,6360000000.0,,10290000000.0,,6.27,0.5341,1.29
2007,13030000000.0,,1000000000.0,7.99,640000000.0,3410000000.0,13430000000.0,5170000000.0,,8250000000.0,,2.85,1.09,2.75
2006,12300000000.0,,980000000.0,7.92,780000000.0,2580000000.0,11410000000.0,4099999999.9999995,,7310000000.0,,3.22,0.8937,2.68
2005,11090000000.0,,990000000.0,8.87,330000000.0,2460000000.0,10210000000.0,3770000000.0,,6440000000.0,,3.09,0.8981,2.64
2004,9810000000.0,,780000000.0,7.91,290000000.0,1770000000.0,9070000000.0,3600000000.0,,5460000000.0,,2.54,1.13,3.08
2003,8060000000.000001,,500000000.0,6.3,860000000.0,1950000000.0,8220000000.000001,3110000000.0,,5100000000.0,,2.96,1.03,2.65
2002,7200000000.0,,390000000.0,5.53,420000000.0,2080000000.0,7130000000.0,2300000000.0,,4830000000.0,,4.0,0.765,2.4
2001,7290000000.0,,270000000.0,3.81,310000000.0,2440000000.0,7640000000.0,2470000000.0,,5170000000.0,,4.3,0.7085,
2000,7810000000.0,,460000000.0,,120000000.0,3000000000.0,,,,,,5.19,,
1999,8400000000.0,,960000000.0,,160000000.0,2880000000.0,,,,,,5.51,,
1998,6620000000.0,,480000000.0,,44000000.0,1520000000.0,,,,,,5.79,,
1997,7560000000.0,,660000000.0,,53000000.0,1370000000.0,,,,,,4.58,,
1996,6960000000.0,,480000000.0,,22000000.0,1090000000.0,,,,,,5.57,,
1995,,,,,,,,,,,,6.98,,
1994,,,,,,,,,,,,6.23,,
1993,,,,,,,,,,,,4.64,,
1992,,,,,,,,,,,,7.22,,
1991,,,,,,,,,,,,9.4,,
1990,,,,,,,,,,,,12.07,,
1989,,,,,,,,,,,,10.48,,
1988,,,,,,,,,,,,9.23,,
1987,,,,,,,,,,,,7.65,,
1986,,,,,,,,,,,,7.08,,
1985,,,,,,,,,,,,7.04,,
1984,,,,,,,,,,,,7.06,,
1983,,,,,,,,,,,,5.05,,
1982,,,,,,,,,,,,19.23,,
1981,,,,,,,,,,,,20.52,,
1980,,,,,,,,,,,,24.2,,
1979,,,,,,,,,,,,26.72,,
1978,,,,,,,,,,,,29.32,,
1977,,,,,,,,,,,,26.3,,
1976,,,,,,,,,,,,21.31,,
1975,,,,,,,,,,,,32.13,,
1974,,,,,,,,,,,,52.97,,
1973,,,,,,,,,,,,38.79,,
1972,,,,,,,,,,,,11.9,,
