year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,27448000000.0,Revenues,0001551182-26-000007,USD,True,4087000000.0,NetIncomeLoss,0001551182-26-000007,USD,True,4472000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-26-000007,USD,True,919000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-26-000007,USD,True,,,,,False,,,,,False,841000000.0,IncomeTaxExpenseBenefit,0001551182-26-000007,USD,True,0.171,EffectiveIncomeTaxRateContinuingOperations,0001551182-26-000007,pure,True,4932000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-26-000007,USD,True,622000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-26-000007,USD,True,181000000.0,ShortTermInvestments,0001551182-26-000007,USD,True,9894000000.0,LongTermDebt,0001551182-26-000007,USD,True,1136000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-26-000007,USD,True,18000000.0,FinanceLeaseLiabilityNoncurrent,0001551182-26-000007,USD,True,19425000000.0,StockholdersEquity,0001551182-26-000007,USD,True,803000000.0,9894000000.0,3553000000.0,0.1705190592051906,28516000000.0,,,,False,0.12944476828912854,0.8693418155126009,False,True,ETN,0001551182,ticker:ETN,14
2024,24878000000.0,Revenues,0001551182-25-000006,USD,True,3794000000.0,NetIncomeLoss,0001551182-25-000006,USD,True,4327000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-25-000006,USD,True,808000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-25-000006,USD,True,,,,,False,,,,,False,768000000.0,IncomeTaxExpenseBenefit,0001551182-25-000006,USD,True,0.168,EffectiveIncomeTaxRateContinuingOperations,0001551182-25-000006,pure,True,4566000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-25-000006,USD,True,555000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-25-000006,USD,True,1525000000.0,ShortTermInvestments,0001551182-25-000006,USD,True,9152000000.0,LongTermDebt,0001551182-25-000006,USD,True,674000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-25-000006,USD,True,19000000.0,FinanceLeaseLiabilityNoncurrent,0001551182-25-000006,USD,True,18488000000.0,StockholdersEquity,0001551182-25-000006,USD,True,2080000000.0,9152000000.0,3519000000.0,0.16819973718791065,25560000000.0,,,,False,0.141450277353485,0.9275171323141803,False,True,ETN,0001551182,ticker:ETN,14
2023,23196000000.0,Revenues,0001551182-24-000006,USD,True,3218000000.0,NetIncomeLoss,0001551182-24-000006,USD,True,3624000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-24-000006,USD,True,757000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-24-000006,USD,True,,,,,False,,,,,False,604000000.0,IncomeTaxExpenseBenefit,0001551182-24-000006,USD,True,0.158,EffectiveIncomeTaxRateContinuingOperations,0001551182-24-000006,pure,True,3827000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-24-000006,USD,True,488000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-24-000006,USD,True,2121000000.0,ShortTermInvestments,0001551182-24-000006,USD,True,9261000000.0,LongTermDebt,0001551182-24-000006,USD,True,1017000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-24-000006,USD,True,22000000.0,FinanceLeaseLiabilityNoncurrent,0001551182-24-000006,USD,True,19036000000.0,StockholdersEquity,0001551182-24-000006,USD,True,2609000000.0,9261000000.0,2867000000.0,0.1578259733472694,25688000000.0,,,,False,0.12359889636144163,0.8909260410192666,False,True,ETN,0001551182,ticker:ETN,14
2022,20752000000.0,Revenues,0001551182-23-000004,USD,True,2462000000.0,NetIncomeLoss,0001551182-23-000004,USD,True,2533000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-23-000004,USD,True,598000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-23-000004,USD,True,,,,,False,,,,,False,445000000.0,IncomeTaxExpenseBenefit,0001551182-23-000004,USD,True,0.153,EffectiveIncomeTaxRateContinuingOperations,0001551182-23-000004,pure,True,2911000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-23-000004,USD,True,294000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-23-000004,USD,True,261000000.0,ShortTermInvestments,0001551182-23-000004,USD,True,8331000000.0,LongTermDebt,0001551182-23-000004,USD,True,10000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-23-000004,USD,True,18000000.0,FinanceLeaseLiabilityNoncurrent,0001551182-23-000004,USD,True,17038000000.0,StockholdersEquity,0001551182-23-000004,USD,True,555000000.0,8331000000.0,1935000000.0,0.15286843009275164,24814000000.0,,,,False,0.09324402467232074,0.7859463850528026,False,True,ETN,0001551182,ticker:ETN,14
2021,19628000000.0,Revenues,0001551182-22-000004,USD,True,2144000000.0,NetIncomeLoss,0001551182-22-000004,USD,True,2163000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-22-000004,USD,True,575000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-22-000004,USD,True,,,,,False,144000000.0,InterestExpense,0001551182-22-000004,USD,True,750000000.0,IncomeTaxExpenseBenefit,0001551182-22-000004,USD,True,0.259,EffectiveIncomeTaxRateContinuingOperations,0001551182-22-000004,pure,True,2896000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-22-000004,USD,True,297000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-22-000004,USD,True,271000000.0,ShortTermInvestments,0001551182-22-000004,USD,True,8566000000.0,LongTermDebt,0001551182-22-000004,USD,True,1735000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-22-000004,USD,True,23000000.0,FinanceLeaseLiabilityNoncurrent,0001551182-22-000004,USD,True,16413000000.0,StockholdersEquity,0001551182-22-000004,USD,True,568000000.0,8566000000.0,1588000000.0,0.2589779005524862,24411000000.0,2252707182.320442,0.09228246209989112,3040000000.0,True,0.08090482983492969,0.7406716417910447,True,True,ETN,0001551182,ticker:ETN,14
2020,17858000000.0,Revenues,0001551182-21-000022,USD,True,1410000000.0,NetIncomeLoss,0001551182-21-000022,USD,True,2944000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-21-000022,USD,True,389000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-21-000022,USD,True,,,,,False,149000000.0,InterestExpense,0001551182-21-000022,USD,True,331000000.0,IncomeTaxExpenseBenefit,0001551182-21-000022,USD,True,0.19,EffectiveIncomeTaxRateContinuingOperations,0001551182-21-000022,pure,True,1746000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-21-000022,USD,True,438000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-21-000022,USD,True,664000000.0,ShortTermInvestments,0001551182-21-000022,USD,True,8057000000.0,LongTermDebt,0001551182-21-000022,USD,True,1047000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-21-000022,USD,True,30000000.0,FinanceLeaseLiabilityNoncurrent,0001551182-21-000022,USD,True,14930000000.0,StockholdersEquity,0001551182-21-000022,USD,True,1102000000.0,8057000000.0,2555000000.0,0.18957617411225658,21885000000.0,1535753150.0572739,0.07017377884657408,1895000000.0,True,0.1430731324896405,1.8120567375886525,True,True,ETN,0001551182,ticker:ETN,14
2019,21390000000.0,Revenues,0001551182-20-000050,USD,True,2213000000.0,NetIncomeLoss,0001551182-20-000050,USD,True,3451000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-20-000050,USD,True,587000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-20-000050,USD,True,3675000000.0,OperatingIncomeLoss,0001551182-20-000050,USD,True,236000000.0,InterestExpense,0001551182-20-000050,USD,True,378000000.0,IncomeTaxExpenseBenefit,0001551182-20-000050,USD,True,0.146,EffectiveIncomeTaxRateContinuingOperations,0001551182-20-000050,pure,True,2591000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-20-000050,USD,True,370000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-20-000050,USD,True,221000000.0,ShortTermInvestments,0001551182-20-000050,USD,True,8067000000.0,LongTermDebt,0001551182-20-000050,USD,True,248000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-20-000050,USD,True,21000000.0,FinanceLeaseLiabilityNoncurrent,0001551182-20-000050,USD,True,16082000000.0,StockholdersEquity,0001551182-20-000050,USD,True,591000000.0,8067000000.0,2864000000.0,0.1458896179081436,23558000000.0,3138855654.187573,0.13323947933557911,3675000000.0,False,0.13389434315100515,1.2941708088567556,True,True,ETN,0001551182,ticker:ETN,14
2018,21609000000.0,Revenues,0001551182-19-000045,USD,True,2145000000.0,NetIncomeLoss,0001551182-19-000045,USD,True,2658000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-19-000045,USD,True,565000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-19-000045,USD,True,3630000000.0,OperatingIncomeLoss,0001551182-19-000045,USD,True,,,,,False,278000000.0,IncomeTaxExpenseBenefit,0001551182-19-000045,USD,True,0.115,EffectiveIncomeTaxRateContinuingOperations,0001551182-19-000045,pure,True,2424000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-19-000045,USD,True,283000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-19-000045,USD,True,157000000.0,ShortTermInvestments,0001551182-19-000045,USD,True,7107000000.0,LongTermDebt,0001551182-19-000045,USD,True,339000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-19-000045,USD,True,,,,,False,16107000000.0,StockholdersEquity,0001551182-19-000045,USD,True,440000000.0,7107000000.0,2093000000.0,0.11468646864686469,22774000000.0,3213688118.811881,0.1411121506459946,3630000000.0,False,0.09685779073534176,0.9757575757575757,True,True,ETN,0001551182,ticker:ETN,14
2017,20404000000.0,Revenues,0001551182-18-000074,USD,True,2986000000.0,NetIncomeLoss,0001551182-18-000074,USD,True,2666000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-18-000074,USD,True,520000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-18-000074,USD,True,3214000000.0,OperatingIncomeLoss,0001551182-18-000074,USD,True,,,,,False,382000000.0,IncomeTaxExpenseBenefit,0001551182-18-000074,USD,True,0.113,EffectiveIncomeTaxRateContinuingOperations,0001551182-18-000074,pure,True,3368000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-18-000074,USD,True,561000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-18-000074,USD,True,534000000.0,ShortTermInvestments,0001551182-18-000074,USD,True,7745000000.0,LongTermDebt,0001551182-18-000074,USD,True,578000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-18-000074,USD,True,,,,,False,17253000000.0,StockholdersEquity,0001551182-18-000074,USD,True,1095000000.0,7745000000.0,2146000000.0,0.11342042755344418,23903000000.0,2849466745.8432302,0.1192095864888604,3214000000.0,False,0.10517545579298176,0.7186872069658405,True,True,ETN,0001551182,ticker:ETN,14
2016,0.0,Revenues,0001551182-17-000014,USD,True,1925000000.0,NetIncomeLoss,0001551182-17-000014,USD,True,2552000000.0,NetCashProvidedByUsedInOperatingActivities,0001551182-17-000014,USD,True,497000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001551182-17-000014,USD,True,2958000000.0,OperatingIncomeLoss,0001551182-17-000014,USD,True,,,,,False,202000000.0,IncomeTaxExpenseBenefit,0001551182-17-000014,USD,True,0.095,EffectiveIncomeTaxRateContinuingOperations,0001551182-17-000014,pure,True,2127000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001551182-17-000014,USD,True,543000000.0,CashAndCashEquivalentsAtCarryingValue,0001551182-17-000014,USD,True,203000000.0,ShortTermInvestments,0001551182-17-000014,USD,True,8263000000.0,LongTermDebt,0001551182-17-000014,USD,True,1552000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001551182-17-000014,USD,True,,,,,False,14897000000.0,StockholdersEquity,0001551182-17-000014,USD,True,746000000.0,8263000000.0,2055000000.0,0.09496944052656324,22414000000.0,2677080394.922426,0.11943786896236398,2958000000.0,False,,1.0675324675324676,True,False,ETN,0001551182,ticker:ETN,14
