Year,revenue,net_income,pe_ratio,cash,total_assets
2026,6300000000.0,1390000000.0,,,
2025,6060000000.0,1290000000.0,46.3,4219999999.9999995,13690000000.0
2024,5430000000.0,1560000000.0,10.6,3970000000.0,13050000000.0
2023,5530000000.0,1490000000.0,33.0,1630000000.0,9360000000.0
2022,5380000000.0,1780000000.0,30.5,1210000000.0,8289999999.999999
2021,5230000000.0,1720000000.0,53.5,1460000000.0,8500000000.0
2020,4380000000.0,930000000.0,69.3,1400000000.0,7230000000.0
2019,4340000000.0,1180000000.0,46.5,1510000000.0,6480000000.0
2018,3720000000.0,790000000.0,44.5,950000000.0,5320000000.0
2017,3430000000.0,1050000000.0,38.2,1330000000.0,5660000000.0
2016,2960000000.0,750000000.0,35.1,1270000000.0,4510000000.0
2015,2490000000.0,630000000.0,34.4,1220000000.0,4050000000.0
2014,2320000000.0,1160000000.0,16.6,1430000000.0,3520000000.0
2013,2040000000.0,450000000.0,18.8,930000000.0,2700000000.0
2012,1890000000.0,390000000.0,35.4,520000000.0,2220000000.0
2011,1670000000.0,280000000.0,34.2,450000000.0,1980000000.0
2010,1440000000.0,270000000.0,,390000000.0,1760000000.0
2009,1320000000.0,300000000.0,,330000000.0,1610000000.0
2008,1230000000.0,160000000.0,,220000000.0,1400000000.0
2007,1090000000.0,170000000.0,,190000000.0,1340000000.0
2006,1030000000.0,190000000.0,,180000000.0,1240000000.0
2005,990000000.0,170000000.0,,170000000.0,1220000000.0
2004,930000000.0,130000000.0,,48900000.0,1110000000.0
2003,860000000.0,130000000.0,,61100000.0,1100000000.0
2002,700000000.0,52100000.0,,34200000.0,1000000000.0
2001,690000000.0,24000000.0,,47700000.0,980000000.0
2000,830000000.0,100000000.0,,28000000.0,
