year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,6067600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-26-000009,USD,True,1073500000.0,NetIncomeLoss,0001099800-26-000009,USD,True,1595200000.0,NetCashProvidedByUsedInOperatingActivities,0001099800-26-000009,USD,True,260200000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-26-000009,USD,True,1264200000.0,OperatingIncomeLoss,0001099800-26-000009,USD,True,,,,,False,216900000.0,IncomeTaxExpenseBenefit,0001099800-26-000009,USD,True,0.17,EffectiveIncomeTaxRateContinuingOperations,0001099800-26-000009,pure,True,1272900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-26-000009,USD,True,2938000000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-26-000009,USD,True,1288300000.0,ShortTermInvestments,0001099800-26-000009,USD,True,,,,,False,,,,,False,598300000.0,LongTermDebtNoncurrent,0001099800-26-000009,USD,True,10337600000.0,StockholdersEquity,0001099800-26-000009,USD,True,4226300000.0,598300000.0,1335000000.0,0.17039830308743814,6709600000.0,1048782465.2368608,0.1563107286927478,1264200000.0,False,0.22002109565561342,1.2435957149510946,True,True,EW,0001099800,ticker:EW,24
2024,5439500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-25-000005,USD,True,4174600000.0,NetIncomeLoss,0001099800-25-000005,USD,True,542300000.0,NetCashProvidedByUsedInOperatingActivities,0001099800-25-000005,USD,True,252400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-25-000005,USD,True,1378700000.0,OperatingIncomeLoss,0001099800-25-000005,USD,True,,,,,False,152100000.0,IncomeTaxExpenseBenefit,0001099800-25-000005,USD,True,,,,,False,1548100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-25-000005,USD,True,3045200000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-25-000005,USD,True,930700000.0,ShortTermInvestments,0001099800-25-000005,USD,True,,,,,False,,,,,False,597700000.0,LongTermDebtNoncurrent,0001099800-25-000005,USD,True,9998400000.0,StockholdersEquity,0001099800-25-000005,USD,True,3975900000.0,597700000.0,289900000.0,0.09824946708868935,6620200000.0,1243243459.724824,0.18779545326800157,1378700000.0,False,0.05329533964518798,0.0694437790446989,True,True,EW,0001099800,ticker:EW,24
2023,6004800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-24-000004,USD,True,1402400000.0,NetIncomeLoss,0001099800-24-000004,USD,True,895800000.0,NetCashProvidedByUsedInOperatingActivities,0001099800-24-000004,USD,True,253000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-24-000004,USD,True,1534100000.0,OperatingIncomeLoss,0001099800-24-000004,USD,True,17600000.0,InterestExpense,0001099800-24-000004,USD,True,198700000.0,IncomeTaxExpenseBenefit,0001099800-24-000004,USD,True,,,,,False,1598100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-24-000004,USD,True,1144000000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-24-000004,USD,True,500500000.0,ShortTermInvestments,0001099800-24-000004,USD,True,,,,,False,,,,,False,597000000.0,LongTermDebtNoncurrent,0001099800-24-000004,USD,True,6650000000.0,StockholdersEquity,0001099800-24-000004,USD,True,1644500000.0,597000000.0,642800000.0,0.12433514798823603,5602500000.0,1343357449.4712472,0.23977821498817442,1534100000.0,False,0.10704769517719158,0.45835710211066744,True,True,EW,0001099800,ticker:EW,24
2022,5382400000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-23-000005,USD,True,,,,,False,1218200000.0,NetCashProvidedByUsedInOperatingActivities,0001099800-23-000005,USD,True,244600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-23-000005,USD,True,1748500000.0,OperatingIncomeLoss,0001099800-23-000005,USD,True,19200000.0,InterestExpense,0001099800-23-000005,USD,True,245500000.0,IncomeTaxExpenseBenefit,0001099800-23-000005,USD,True,,,,,False,1767400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-23-000005,USD,True,769000000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-23-000005,USD,True,446300000.0,ShortTermInvestments,0001099800-23-000005,USD,True,,,,,False,,,,,False,596300000.0,LongTermDebtNoncurrent,0001099800-23-000005,USD,True,5806700000.0,StockholdersEquity,0001099800-23-000005,USD,True,1215300000.0,596300000.0,973600000.0,0.13890460563539664,5187700000.0,1505625297.046509,0.290229831533533,1748500000.0,False,0.1808858501783591,,True,False,EW,0001099800,ticker:EW,24
2021,5232500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-22-000005,USD,True,,,,,False,1732100000.0,NetCashProvidedByUsedInOperatingActivities,0001099800-22-000005,USD,True,325800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-22-000005,USD,True,1690300000.0,OperatingIncomeLoss,0001099800-22-000005,USD,True,18400000.0,InterestExpense,0001099800-22-000005,USD,True,198900000.0,IncomeTaxExpenseBenefit,0001099800-22-000005,USD,True,,,,,False,1702000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-22-000005,USD,True,862800000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-22-000005,USD,True,604000000.0,ShortTermInvestments,0001099800-22-000005,USD,True,,,,,False,,,,,False,595700000.0,LongTermDebtNoncurrent,0001099800-22-000005,USD,True,5835900000.0,StockholdersEquity,0001099800-22-000005,USD,True,1466800000.0,595700000.0,1406300000.0,0.11686251468860165,4964800000.0,1492767291.4218566,0.3006701763257043,1690300000.0,False,0.26876254180602005,,True,False,EW,0001099800,ticker:EW,24
2020,4386300000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-21-000007,USD,True,,,,,False,1054300000.0,NetCashProvidedByUsedInOperatingActivities,0001099800-21-000007,USD,True,407000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-21-000007,USD,True,897600000.0,OperatingIncomeLoss,0001099800-21-000007,USD,True,15800000.0,InterestExpense,0001099800-21-000007,USD,True,93300000.0,IncomeTaxExpenseBenefit,0001099800-21-000007,USD,True,,,,,False,916700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-21-000007,USD,True,1183200000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-21-000007,USD,True,219400000.0,ShortTermInvestments,0001099800-21-000007,USD,True,,,,,False,,,,,False,595000000.0,LongTermDebtNoncurrent,0001099800-21-000007,USD,True,4574300000.0,StockholdersEquity,0001099800-21-000007,USD,True,1402600000.0,595000000.0,647300000.0,0.10177811715937603,3766700000.0,806243962.037744,0.21404517536245096,897600000.0,False,0.14757312541321843,,True,False,EW,0001099800,ticker:EW,24
2019,4348000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-20-000005,USD,True,,,,,False,1179400000.0,NetCashProvidedByUsedInOperatingActivities,0001099800-20-000005,USD,True,254400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-20-000005,USD,True,1146800000.0,OperatingIncomeLoss,0001099800-20-000005,USD,True,20700000.0,InterestExpense,0001099800-20-000005,USD,True,119600000.0,IncomeTaxExpenseBenefit,0001099800-20-000005,USD,True,,,,,False,1166500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-20-000005,USD,True,1179100000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-20-000005,USD,True,337800000.0,ShortTermInvestments,0001099800-20-000005,USD,True,,,,,False,,,,,False,594400000.0,LongTermDebtNoncurrent,0001099800-20-000005,USD,True,4148300000.0,StockholdersEquity,0001099800-20-000005,USD,True,1516900000.0,594400000.0,925000000.0,0.1025289327046721,3225800000.0,1029219819.974282,0.31905878230959206,1146800000.0,False,0.2127414903403864,,True,False,EW,0001099800,ticker:EW,24
2018,3722800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-19-000004,USD,True,,,,,False,926800000.0,NetCashProvidedByUsedInOperatingActivities,0001099800-19-000004,USD,True,238700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-19-000004,USD,True,748200000.0,OperatingIncomeLoss,0001099800-19-000004,USD,True,29900000.0,InterestExpense,0001099800-19-000004,USD,True,39200000.0,IncomeTaxExpenseBenefit,0001099800-19-000004,USD,True,,,,,False,761400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-19-000004,USD,True,714100000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-19-000004,USD,True,242400000.0,ShortTermInvestments,0001099800-19-000004,USD,True,,,,,False,0.0,LongTermDebtCurrent,0001099800-19-000004,USD,True,593800000.0,LongTermDebtNoncurrent,0001099800-19-000004,USD,True,3140400000.0,StockholdersEquity,0001099800-19-000004,USD,True,956500000.0,593800000.0,688100000.0,0.05148410822169688,2777700000.0,709679590.2285264,0.25549180625284457,748200000.0,False,0.18483399591705169,,True,False,EW,0001099800,ticker:EW,24
2017,3435300000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-18-000007,USD,True,,,,,False,1000700000.0,NetCashProvidedByUsedInOperatingActivities,0001099800-18-000007,USD,True,168100000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-18-000007,USD,True,,,,,False,23200000.0,InterestExpense,0001099800-18-000007,USD,True,451300000.0,IncomeTaxExpenseBenefit,0001099800-18-000007,USD,True,,,,,False,1034900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-18-000007,USD,True,818300000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-18-000007,USD,True,519200000.0,ShortTermInvestments,0001099800-18-000007,USD,True,,,,,False,598000000.0,LongTermDebtCurrent,0001099800-18-000007,USD,True,438400000.0,LongTermDebtNoncurrent,0001099800-18-000007,USD,True,2956200000.0,StockholdersEquity,0001099800-18-000007,USD,True,1337500000.0,1036400000.0,832600000.0,0.43608078075176343,2655100000.0,596682925.886559,0.22473086734456668,1058100000.0,True,0.24236602334585045,,True,False,EW,0001099800,ticker:EW,24
2016,2963700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001099800-17-000008,USD,True,,,,,False,,,,,False,176100000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001099800-17-000008,USD,True,,,,,False,19200000.0,InterestExpense,0001099800-17-000008,USD,True,168400000.0,IncomeTaxExpenseBenefit,0001099800-17-000008,USD,True,,,,,False,737900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001099800-17-000008,USD,True,930100000.0,CashAndCashEquivalentsAtCarryingValue,0001099800-17-000008,USD,True,341000000.0,ShortTermInvestments,0001099800-17-000008,USD,True,,,,,False,,,,,False,822300000.0,LongTermDebtNoncurrent,0001099800-17-000008,USD,True,2619000000.0,StockholdersEquity,0001099800-17-000008,USD,True,1271100000.0,822300000.0,,0.22821520531237294,2170200000.0,584318268.0580025,0.2692462759459969,757100000.0,True,,,True,False,EW,0001099800,ticker:EW,24
