year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,8740000000.0,1.18,1780000000.0,,,,,,,,1140000000.0,1.47,6.18,
2025,8199999999.999999,1.1,1660000000.0,20.18,270000000.0,440000000.0,5050000000.0,3940000000.0,36.5,1100000000.0,1140000000.0,2.18,5.66,11.8
2024,7540000000.0,1.01,1510000000.0,19.99,250000000.0,480000000.0,4690000000.0,3610000000.0,35.0,1080000000.0,,2.22,5.54,11.6
2023,7340000000.0,1.02,1530000000.0,20.72,220000000.0,530000000.0,4460000000.0,3340000000.0,30.0,1110000000.0,,2.92,5.04,11.1
2022,6980000000.0,0.95,1450000000.0,20.63,230000000.0,800000000.0,4540000000.0,3160000000.0,22.1,1380000000.0,,2.95,3.88,8.57
2021,6010000000.0,0.8,1210000000.0,20.09,230000000.0,630000000.0,4290000000.0,3040000000.0,33.7,1250000000.0,,2.07,6.13,12.1
2020,5640000000.0,0.75,1140000000.0,20.06,240000000.0,650000000.0,3960000000.0,2730000000.0,26.8,1230000000.0,,3.48,4.96,10.3
2019,5330000000.0,0.69,1050000000.0,19.57,170000000.0,590000000.0,3790000000.0,2660000000.0,20.9,1130000000.0,,3.02,3.98,7.96
2018,4960000000.0,0.66,990000000.0,19.88,160000000.0,500000000.0,3320000000.0,2300000000.0,14.8,1010000000.0,,3.95,3.01,6.49
2017,4390000000.0,0.5,880000000.0,19.89,110000000.0,410000000.0,2910000000.0,2089999999.9999998,19.6,810000000.0,,3.25,3.58,7.5
2016,3960000000.0,0.44,790000000.0,19.93,110000000.0,390000000.0,2660000000.0,1930000000.0,18.9,730000000.0,,3.65,3.43,7.02
2015,3860000000.0,0.44,820000000.0,21.35,120000000.0,360000000.0,2530000000.0,1800000000.0,15.5,730000000.0,,4.1,3.06,6.56
2014,3730000000.0,0.42,780000000.0,21.09,110000000.0,90000000.0,2350000000.0,1910000000.0,18.5,440000000.0,,3.24,3.77,7.35
2013,3320000000.0,0.38,710000000.0,21.45,58950000.0,,2069999999.9999998,1770000000.0,19.6,300000000.0,,2.7,4.24,7.95
2012,3130000000.0,0.36,670000000.0,21.51,79960000.0,,1810000000.0,1560000000.0,20.1,250000000.0,,4.35,4.41,8.87
2011,2760000000.0,,570000000.0,20.78,140000000.0,,1680000000.0,1450000000.0,,220000000.0,,2.53,4.65,8.82
2010,2260000000.0,,420000000.0,18.98,160000000.0,,1460000000.0,1280000000.0,,180000000.0,,3.63,3.89,6.89
2009,1930000000.0,,290000000.0,15.41,180000000.0,,1320000000.0,1190000000.0,,130000000.0,,3.11,3.18,5.16
2008,2340000000.0,,450000000.0,19.28,86740000.0,,1300000000.0,1140000000.0,,160000000.0,,4.2,2.21,4.53
2007,2060000000.0,,370000000.0,18.33,57370000.0,,1160000000.0,1010000000.0,,150000000.0,,2.08,2.92,5.97
2006,1800000000.0,,310000000.0,17.74,30180000.0,,1030000000.0,920000000.0,,110000000.0,,2.15,3.0,5.88
2005,1520000000.0,,260000000.0,17.66,56870000.0,,890000000.0,780000000.0,,100000000.0,,1.55,3.88,7.54
2004,1230000000.0,,200000000.0,16.82,38990000.0,,770000000.0,680000000.0,,90990000.0,,1.29,3.77,6.83
2003,990000000.0,,130000000.0,13.7,70890000.0,,650000000.0,570000000.0,,74800000.0,,0.85,3.79,6.55
2002,900000000.0,,110000000.0,13.39,51350000.0,,550000000.0,490000000.0,,59130000.0,,0.27,3.13,5.68
2001,820000000.0,,110000000.0,13.89,68520000.0,,470000000.0,420000000.0,,50350000.0,,0.27,3.06,
2000,740000000.0,,120000000.0,,32700000.000000004,,,,,,,0.3,,
1999,600000000.0,,100000000.0,,27840000.0,,,,,,,0.18,,
1998,500000000.0,,87000000.0,,2100000.0,4099999.9999999995,,,,,,0.09,,
1997,390000000.0,,67099999.99999999,,400000.0,16300000.0,,,,,,0.11,,
1996,280000000.0,,53600000.0,,400000.0,8600000.0,,,,,,0.09,,
1995,,,,,,,,,,,,0.1,,
1994,,,,,,,,,,,,0.2,,
1993,,,,,,,,,,,,0.2,,
1992,,,,,,,,,,,,0.3,,
1991,,,,,,,,,,,,0.31,,
1990,,,,,,,,,,,,0.0,,
1989,,,,,,,,,,,,0.0,,
1988,,,,,,,,,,,,0.0,,
1987,,,,,,,,,,,,0.0,,
