Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,8740000000.0,1780000000.0,,,,
2025,8199999999.999999,1660000000.0,36.5,270000000.0,5050000000.0,
2024,7540000000.0,1510000000.0,35.0,250000000.0,4690000000.0,
2023,7340000000.0,1530000000.0,30.0,220000000.0,4460000000.0,
2022,6980000000.0,1450000000.0,22.1,230000000.0,4540000000.0,
2021,6010000000.0,1210000000.0,33.7,230000000.0,4290000000.0,
2020,5640000000.0,1140000000.0,26.8,240000000.0,3960000000.0,
2019,5330000000.0,1050000000.0,20.9,170000000.0,3790000000.0,
2018,4960000000.0,990000000.0,14.8,160000000.0,3320000000.0,
2017,4390000000.0,880000000.0,19.6,110000000.0,2910000000.0,
2016,3960000000.0,790000000.0,18.9,110000000.0,2660000000.0,
2015,3860000000.0,820000000.0,15.5,120000000.0,2530000000.0,
2014,3730000000.0,780000000.0,18.5,110000000.0,2350000000.0,
2013,3320000000.0,710000000.0,19.6,58950000.0,2069999999.9999998,
2012,3130000000.0,670000000.0,20.1,79960000.0,1810000000.0,
2011,2760000000.0,570000000.0,,140000000.0,1680000000.0,
2010,2260000000.0,420000000.0,,160000000.0,1460000000.0,
2009,1930000000.0,290000000.0,,180000000.0,1320000000.0,
2008,2340000000.0,450000000.0,,86740000.0,1300000000.0,
2007,2060000000.0,370000000.0,,57370000.0,1160000000.0,
2006,1800000000.0,310000000.0,,30180000.0,1030000000.0,
2005,1520000000.0,260000000.0,,56870000.0,890000000.0,
2004,1230000000.0,200000000.0,,38990000.0,770000000.0,
2003,990000000.0,130000000.0,,70890000.0,650000000.0,
2002,900000000.0,110000000.0,,51350000.0,550000000.0,
2001,820000000.0,110000000.0,,68520000.0,470000000.0,
2000,740000000.0,120000000.0,,32700000.000000004,,
1999,600000000.0,100000000.0,,27840000.0,,
1998,500000000.0,87000000.0,,2100000.0,,
1997,390000000.0,67099999.99999999,,400000.0,,
1996,280000000.0,53600000.0,,400000.0,,
