year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,8200500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-26-000009,USD,True,1258400000.0,NetIncomeLoss,0000815556-26-000009,USD,True,1295900000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-26-000009,USD,True,245300000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-26-000009,USD,True,1655700000.0,OperatingIncomeLoss,0000815556-26-000009,USD,True,,,,,False,396600000.0,IncomeTaxExpenseBenefit,0000815556-26-000009,USD,True,0.24,EffectiveIncomeTaxRateContinuingOperations,0000815556-26-000009,pure,True,1655000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-26-000009,USD,True,276800000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-26-000009,USD,True,,,,,False,125000000.0,LongTermDebt,0000815556-26-000009,USD,True,25000000.0,LongTermDebtCurrent,0000815556-26-000009,USD,True,100000000.0,LongTermDebtNoncurrent,0000815556-26-000009,USD,True,3943600000.0,StockholdersEquity,0000815556-26-000009,USD,True,276800000.0,125000000.0,1050600000.0,0.23963746223564955,3791800000.0,1258932253.7764351,0.33201441367594153,1655700000.0,False,0.128114139381745,0.8348696757787667,True,True,FAST,0000815556,ticker:FAST,24
2024,7546000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-25-000065,USD,True,1150600000.0,NetIncomeLoss,0000815556-25-000065,USD,True,1173300000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-25-000065,USD,True,226500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-25-000065,USD,True,1510000000.0,OperatingIncomeLoss,0000815556-25-000065,USD,True,,,,,False,357500000.0,IncomeTaxExpenseBenefit,0000815556-25-000065,USD,True,0.237,EffectiveIncomeTaxRateContinuingOperations,0000815556-25-000065,pure,True,1508100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-25-000065,USD,True,255800000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-25-000065,USD,True,,,,,False,200000000.0,LongTermDebt,0000815556-25-000065,USD,True,75000000.0,LongTermDebtCurrent,0000815556-25-000065,USD,True,125000000.0,LongTermDebtNoncurrent,0000815556-25-000065,USD,True,3616300000.0,StockholdersEquity,0000815556-25-000065,USD,True,255800000.0,200000000.0,946800000.0,0.23705324580598103,3560500000.0,1152049598.8329685,0.3235639934933207,1510000000.0,False,0.12547044791942752,0.8228750217277941,True,True,FAST,0000815556,ticker:FAST,24
2023,7346700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-24-000009,USD,True,1155000000.0,NetIncomeLoss,0000815556-24-000009,USD,True,1432700000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-24-000009,USD,True,172800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-24-000009,USD,True,1528700000.0,OperatingIncomeLoss,0000815556-24-000009,USD,True,10800000.0,InterestExpense,0000815556-24-000009,USD,True,367000000.0,IncomeTaxExpenseBenefit,0000815556-24-000009,USD,True,0.241,EffectiveIncomeTaxRateContinuingOperations,0000815556-24-000009,pure,True,1522000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-24-000009,USD,True,221300000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-24-000009,USD,True,,,,,False,260000000.0,LongTermDebt,0000815556-24-000009,USD,True,60000000.0,LongTermDebtCurrent,0000815556-24-000009,USD,True,200000000.0,LongTermDebtNoncurrent,0000815556-24-000009,USD,True,3348800000.0,StockholdersEquity,0000815556-24-000009,USD,True,221300000.0,260000000.0,1259900000.0,0.24113009198423127,3387500000.0,1160084428.3837056,0.3424603478623485,1528700000.0,False,0.17149196237766617,1.090822510822511,True,True,FAST,0000815556,ticker:FAST,24
2022,6980600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-23-000009,USD,True,1086900000.0,NetIncomeLoss,0000815556-23-000009,USD,True,941000000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-23-000009,USD,True,173800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-23-000009,USD,True,1453600000.0,OperatingIncomeLoss,0000815556-23-000009,USD,True,14300000.0,InterestExpense,0000815556-23-000009,USD,True,353100000.0,IncomeTaxExpenseBenefit,0000815556-23-000009,USD,True,0.245,EffectiveIncomeTaxRateContinuingOperations,0000815556-23-000009,pure,True,1440000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-23-000009,USD,True,230100000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-23-000009,USD,True,,,,,False,555000000.0,LongTermDebt,0000815556-23-000009,USD,True,201800000.0,LongTermDebtCurrent,0000815556-23-000009,USD,True,353200000.0,LongTermDebtNoncurrent,0000815556-23-000009,USD,True,3163200000.0,StockholdersEquity,0000815556-23-000009,USD,True,230100000.0,555000000.0,767200000.0,0.24520833333333333,3488100000.0,1097165166.6666665,0.3145452156379308,1453600000.0,False,0.10990459272841877,0.7058607047566473,True,True,FAST,0000815556,ticker:FAST,24
2021,6010900000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-22-000009,USD,True,925000000.0,NetIncomeLoss,0000815556-22-000009,USD,True,770100000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-22-000009,USD,True,156600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-22-000009,USD,True,1217400000.0,OperatingIncomeLoss,0000815556-22-000009,USD,True,9700000.0,InterestExpense,0000815556-22-000009,USD,True,282800000.0,IncomeTaxExpenseBenefit,0000815556-22-000009,USD,True,0.234,EffectiveIncomeTaxRateContinuingOperations,0000815556-22-000009,pure,True,1207800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-22-000009,USD,True,236200000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-22-000009,USD,True,,,,,False,390000000.0,LongTermDebt,0000815556-22-000009,USD,True,60000000.0,LongTermDebtCurrent,0000815556-22-000009,USD,True,330000000.0,LongTermDebtNoncurrent,0000815556-22-000009,USD,True,3042200000.0,StockholdersEquity,0000815556-22-000009,USD,True,236200000.0,390000000.0,613500000.0,0.23414472594800464,3196000000.0,932352210.6308993,0.2917247217243114,1217400000.0,False,0.10206458267480743,0.6632432432432432,True,True,FAST,0000815556,ticker:FAST,24
2020,5647300000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-21-000008,USD,True,859100000.0,NetIncomeLoss,0000815556-21-000008,USD,True,1101800000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-21-000008,USD,True,168100000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-21-000008,USD,True,1141800000.0,OperatingIncomeLoss,0000815556-21-000008,USD,True,9700000.0,InterestExpense,0000815556-21-000008,USD,True,273600000.0,IncomeTaxExpenseBenefit,0000815556-21-000008,USD,True,0.242,EffectiveIncomeTaxRateContinuingOperations,0000815556-21-000008,pure,True,1132700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-21-000008,USD,True,245700000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-21-000008,USD,True,,,,,False,405000000.0,LongTermDebt,0000815556-21-000008,USD,True,40000000.0,LongTermDebtCurrent,0000815556-21-000008,USD,True,365000000.0,LongTermDebtNoncurrent,0000815556-21-000008,USD,True,2733200000.0,StockholdersEquity,0000815556-21-000008,USD,True,245700000.0,405000000.0,933700000.0,0.24154674671139756,2892500000.0,866001924.6049263,0.29939565241311195,1141800000.0,False,0.1653356471234041,1.0868350599464556,True,True,FAST,0000815556,ticker:FAST,24
2019,5333700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-20-000011,USD,True,790900000.0,NetIncomeLoss,0000815556-20-000011,USD,True,842700000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-20-000011,USD,True,246400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-20-000011,USD,True,1057200000.0,OperatingIncomeLoss,0000815556-20-000011,USD,True,13900000.0,InterestExpense,0000815556-20-000011,USD,True,252800000.0,IncomeTaxExpenseBenefit,0000815556-20-000011,USD,True,0.242,EffectiveIncomeTaxRateContinuingOperations,0000815556-20-000011,pure,True,1043700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-20-000011,USD,True,174900000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-20-000011,USD,True,,,,,False,345000000.0,LongTermDebt,0000815556-20-000011,USD,True,3000000.0,LongTermDebtCurrent,0000815556-20-000011,USD,True,342000000.0,LongTermDebtNoncurrent,0000815556-20-000011,USD,True,2665600000.0,StockholdersEquity,0000815556-20-000011,USD,True,174900000.0,345000000.0,596300000.0,0.24221519593752994,2835700000.0,801130094.8548434,0.28251581438616336,1057200000.0,False,0.1117985638487354,0.75395119484132,True,True,FAST,0000815556,ticker:FAST,24
2018,4965100000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-19-000015,USD,True,751900000.0,NetIncomeLoss,0000815556-19-000015,USD,True,674200000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-19-000015,USD,True,176300000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-19-000015,USD,True,999200000.0,OperatingIncomeLoss,0000815556-19-000015,USD,True,12600000.0,InterestExpense,0000815556-19-000015,USD,True,235100000.0,IncomeTaxExpenseBenefit,0000815556-19-000015,USD,True,0.238,EffectiveIncomeTaxRateContinuingOperations,0000815556-19-000015,pure,True,987000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-19-000015,USD,True,167200000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-19-000015,USD,True,,,,,False,500000000.0,LongTermDebt,0000815556-19-000015,USD,True,3000000.0,LongTermDebtCurrent,0000815556-19-000015,USD,True,497000000.0,LongTermDebtNoncurrent,0000815556-19-000015,USD,True,2302700000.0,StockholdersEquity,0000815556-19-000015,USD,True,167200000.0,500000000.0,497900000.0,0.2381965552178318,2635500000.0,761194002.0263424,0.2888233739428353,999200000.0,False,0.10027995407947474,0.6621891208937358,True,True,FAST,0000815556,ticker:FAST,24
2017,4390500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-18-000010,USD,True,578600000.0,NetIncomeLoss,0000815556-18-000010,USD,True,585200000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-18-000010,USD,True,119900000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-18-000010,USD,True,881800000.0,OperatingIncomeLoss,0000815556-18-000010,USD,True,9100000.0,InterestExpense,0000815556-18-000010,USD,True,294500000.0,IncomeTaxExpenseBenefit,0000815556-18-000010,USD,True,0.337,EffectiveIncomeTaxRateContinuingOperations,0000815556-18-000010,pure,True,873100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-18-000010,USD,True,116900000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-18-000010,USD,True,,,,,False,415000000.0,LongTermDebt,0000815556-18-000010,USD,True,3000000.0,LongTermDebtCurrent,0000815556-18-000010,USD,True,412000000.0,LongTermDebtNoncurrent,0000815556-18-000010,USD,True,2096900000.0,StockholdersEquity,0000815556-18-000010,USD,True,116900000.0,415000000.0,465300000.0,0.3373038598098729,2395000000.0,584365456.4196541,0.24399392752386395,881800000.0,False,0.10597881790228904,0.8041825095057035,True,True,FAST,0000815556,ticker:FAST,24
2016,3962036000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000815556-17-000009,USD,True,499478000.0,NetIncomeLoss,0000815556-17-000009,USD,True,513999000.0,NetCashProvidedByUsedInOperatingActivities,0000815556-17-000009,USD,True,189451000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000815556-17-000009,USD,True,795839000.0,OperatingIncomeLoss,0000815556-17-000009,USD,True,6504000.0,InterestExpense,0000815556-17-000009,USD,True,290251000.0,IncomeTaxExpenseBenefit,0000815556-17-000009,USD,True,0.368,EffectiveIncomeTaxRateContinuingOperations,0000815556-17-000009,pure,True,789729000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000815556-17-000009,USD,True,112735000.0,CashAndCashEquivalentsAtCarryingValue,0000815556-17-000009,USD,True,,,,,False,390000000.0,LongTermDebt,0000815556-17-000009,USD,True,10482000.0,LongTermDebtCurrent,0000815556-17-000009,USD,True,379518000.0,LongTermDebtNoncurrent,0000815556-17-000009,USD,True,1933094000.0,StockholdersEquity,0000815556-17-000009,USD,True,112735000.0,390000000.0,324548000.0,0.3675324066863443,2210359000.0,503342376.9951464,0.22771974009432241,795839000.0,False,0.08191445004538071,0.6497743644364716,True,True,FAST,0000815556,ticker:FAST,24
