year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,8430000000.0,10.53,2420000000.0,,,,,,,,170000000.0,1.12,6.7,
2025,8230000000.0,10.32,2370000000.0,28.88,1720000000.0,3380000000.0,11310000000.0,4590000000.0,35.8,6710000000.0,170000000.0,0.93,8.02,14.4
2024,7180000000.0,,2029999999.9999998,28.29,1810000000.0,3480000000.0,9880000000.0,3680000000.0,,6190000000.0,170000000.0,0.62,10.8,21.0
2023,6470000000.0,7.51,1730000000.0,26.84,1240000000.0,2730000000.0,8900000000.0,3390000000.0,44.4,5500000000.0,180000000.0,0.6,9.42,18.0
2022,5350000000.0,,1230000000.0,23.11,1490000000.0,3010000000.0,8330000000.0,2790000000.0,,5530000000.0,180000000.0,0.7,7.35,14.1
2021,4950000000.0,,1210000000.0,24.4,1520000000.0,2970000000.0,7770000000.0,2500000000.0,,5260000000.0,180000000.0,0.41,9.55,18.9
2020,4019999999.9999995,,780000000.0,19.28,1670000000.0,3350000000.0,7700000000.0,2200000000.0,,5500000000.0,180000000.0,0.55,14.3,26.2
2019,4200000000.0,,970000000.0,23.24,1000000000.0,2340000000.0,6100000000.0,1660000000.0,,4430000000.0,180000000.0,0.73,9.78,24.7
2018,4019999999.9999995,,940000000.0,23.48,910000000.0,2200000000.0,5550000000.0,1540000000.0,,4000000000.0,180000000.0,0.92,6.03,15.7
2017,3910000000.0,,850000000.0,21.84,780000000.0,2160000000.0,4960000000.0,940000000.0,,4019999999.9999995,180000000.0,0.69,6.54,27.2
2016,3420000000.0,,620000000.0,18.27,480000000.0,1940000000.0,4040000000.0,340000000.0,,3700000000.0,180000000.0,0.95,4.16,41.1
2015,3140000000.0,,470000000.0,15.21,200000000.0,2470000000.0,4230000000.0000005,,,4250000000.0,180000000.0,0.0,3.67,-544.0
2014,3600000000.0,,510000000.0,14.42,160000000.0,620000000.0,5640000000.0,3010000000.0,,2630000000.0,180000000.0,,,
2013,,,,15.69,150000000.0,430000000.0,5370000000.0,3190000000.0,,2180000000.0,,,,
2012,,,,15.04,,,,,,,,,,
