Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,2250000000.0,980000000.0,,,,
2025,2060000000.0,840000000.0,61.9,130000000.0,1860000000.0,
2024,1770000000.0,660000000.0,,150000000.0,1710000000.0,
2023,1550000000.0,560000000.0,64.0,130000000.0,1570000000.0,
2022,1390000000.0,480000000.0,39.5,130000000.0,1440000000.0,
2021,1320000000.0,490000000.0,31.4,190000000.0,1560000000.0,
2020,1300000000.0,300000000.0,55.4,150000000.0,1600000000.0,
2019,1190000000.0,220000000.0,52.5,100000000.0,1430000000.0,
2018,1050000000.0,180000000.0,36.0,90020000.0,1330000000.0,
2017,940000000.0,150000000.0,38.0,100000000.0,1250000000.0,
2016,900000000.0,140000000.0,28.9,75920000.0,1220000000.0,
2015,840000000.0,110000000.0,32.1,86120000.0,1230000000.0,
2014,790000000.0,120000000.0,25.9,100000000.0,1190000000.0,
2013,730000000.0,120000000.0,26.4,83170000.0,1160000000.0,
2012,690000000.0,120000000.0,16.9,93610000.0,1150000000.0,
2011,630000000.0,110000000.0,,240000000.0,1120000000.0,
2010,610000000.0,87340000.0,,210000000.0,1120000000.0,
2009,610000000.0,100000000.0,,310000000.0,1300000000.0,
2008,710000000.0,97000000.0,,180000000.0,1270000000.0,
2007,780000000.0,140000000.0,,220000000.0,1270000000.0,
2006,830000000.0,150000000.0,,220000000.0,1320000000.0,
2005,800000000.0,190000000.0,,220000000.0,1350000000.0,
2004,730000000.0,160000000.0,,290000000.0,1440000000.0,
2003,650000000.0,180000000.0,,500000000.0,1490000000.0,
2002,450000000.0,62880000.0,,280000000.0,1210000000.0,
2001,330000000.0,84220000.0,,38400000.0,310000000.0,
2000,300000000.0,53680000.0,,58610000.0,,
1999,270000000.0,46900000.0,,25900000.0,,
1998,260000000.0,47600000.0,,14200000.0,,
1997,210000000.0,35200000.0,,13200000.0,,
1996,150000000.0,28700000.0,,11500000.0,,
