year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,7520000000.0,2.86,2640000000.0,,,,,,,,730000000.0,8.18,
2025,6790000000.0,2.44,2300000000.0,33.86,3580000000.0,990000000.0,10380000000.0,1230000000.0,32.5,9150000000.0,740000000.0,8.78,48.2
2024,5950000000.0,2.29,2069999999.9999998,34.9,4059999999.9999995,990000000.0,9760000000.0,1490000000.0,41.3,8260000000.0,760000000.0,12.4,49.3
2023,5300000000.0,1.48,1350000000.0,25.54,2440000000.0,990000000.0,7250000000.0,,39.5,7720000000.0,760000000.0,8.47,-97.0
2022,4410000000.0,1.08,970000000.0,22.04,2210000000.0,990000000.0,6220000000.0,,45.2,6500000000.0,780000000.0,8.65,-136.0
2021,3340000000.0,0.74,640000000.0,19.25,2550000000.0,980000000.0,5910000000.0,790000000.0,96.6,5120000000.0,,17.6,73.6
2020,2590000000.0,0.59,530000000.0,20.88,1830000000.0,,4040000000.0,850000000.0,50.0,3180000000.0,,9.29,28.2
2019,2150000000.0,0.38,340000000.0,17.85,2060000000.0,,3870000000.0,1340000000.0,55.9,2530000000.0,,8.5,13.7
2018,1800000000.0,0.39,230000000.0,12.99,1640000000.0,,3070000000.0,1010000000.0,35.9,2060000000.0,,6.64,11.8
2017,1490000000.0,0.034,110000000.0,7.37,1250000000.0,,2250000000.0,580000000.0,257.0,1660000000.0,,5.08,12.9
2016,1270000000.0,,46940000.0,3.68,1080000000.0,,2130000000.0,830000000.0,,1300000000.0,,4.09,6.22
2015,1000000000.0,0.01093,22470000.0,2.23,890000000.0,,1790000000.0,750000000.0,570.0,1030000000.0,,5.29,7.07
2014,770000000.0,0.03,59320000.0,7.7,720000000.0,,1420000000.0,670000000.0,204.0,740000000.0,,6.62,7.55
2013,610000000.0,0.056,72090000.0,11.72,490000000.0,,1160000000.0,580000000.0,68.3,580000000.0,,5.02,5.28
2012,530000000.0,0.084,100000000.0,18.83,410000000.0,,970000000.0,510000000.0,50.0,460000000.0,,6.32,6.6
2011,430000000.0,,88900000.0,20.5,390000000.0,,730000000.0,350000000.0,,370000000.0,,7.75,9.37
2010,320000000.0,,55340000.0,17.04,310000000.0,,540000000.0,230000000.0,,310000000.0,,7.41,10.4
2009,250000000.0,,25330000.0,10.05,260000000.0,,380000000.0,140000000.0,,240000000.0,,4.66,8.24
2008,,,,2.33,120000000.0,,190000000.0,,,200000000.0,,,
2007,,,,-13.89,90160000.0,,140000000.0,,,160000000.0,,,
2006,,,,-4.86,,,,,,,,,
