year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,6799600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-26-000007,USD,True,1853400000.0,NetIncomeLoss,0001262039-26-000007,USD,True,2590600000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-26-000007,USD,True,25600000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-26-000007,USD,True,2084700000.0,OperatingIncomeLoss,0001262039-26-000007,USD,True,20100000.0,InterestExpense,0001262039-26-000007,USD,True,439100000.0,IncomeTaxExpenseBenefit,0001262039-26-000007,USD,True,0.192,EffectiveIncomeTaxRateContinuingOperations,0001262039-26-000007,pure,True,2282200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-26-000007,USD,True,2495300000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-26-000007,USD,True,,,,,False,,,,,False,499700000.0,LongTermDebtCurrent,0001262039-26-000007,USD,True,496600000.0,LongTermDebtNoncurrent,0001262039-26-000007,USD,True,1237500000.0,StockholdersEquity,0001262039-26-000007,USD,True,2495300000.0,996300000.0,2565000000.0,0.1924020681798265,-261500000.0,1683599408.4655156,-6.438238655699869,2084700000.0,False,0.3772280722395435,1.3839430236322434,True,True,FTNT,0001262039,ticker:FTNT,17
2024,5955800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-25-000011,USD,True,1745200000.0,NetIncomeLoss,0001262039-25-000011,USD,True,2258100000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-25-000011,USD,True,23000000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-25-000011,USD,True,1803400000.0,OperatingIncomeLoss,0001262039-25-000011,USD,True,20000000.0,InterestExpense,0001262039-25-000011,USD,True,283900000.0,IncomeTaxExpenseBenefit,0001262039-25-000011,USD,True,,,,,False,2058500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-25-000011,USD,True,2875900000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-25-000011,USD,True,,,,,False,,,,,False,,,,,False,994300000.0,LongTermDebtNoncurrent,0001262039-25-000011,USD,True,1493800000.0,StockholdersEquity,0001262039-25-000011,USD,True,2875900000.0,994300000.0,2235100000.0,0.1379159582220063,-387800000.0,1554682360.9424338,-4.0089797858237075,1803400000.0,False,0.37528123845663053,1.280712812285125,True,True,FTNT,0001262039,ticker:FTNT,17
2023,5304800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-24-000014,USD,True,1147800000.0,NetIncomeLoss,0001262039-24-000014,USD,True,1935500000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-24-000014,USD,True,23600000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-24-000014,USD,True,1241100000.0,OperatingIncomeLoss,0001262039-24-000014,USD,True,21000000.0,InterestExpense,0001262039-24-000014,USD,True,143800000.0,IncomeTaxExpenseBenefit,0001262039-24-000014,USD,True,,,,,False,1333700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-24-000014,USD,True,1397900000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-24-000014,USD,True,,,,,False,,,,,False,,,,,False,992300000.0,LongTermDebtNoncurrent,0001262039-24-000014,USD,True,-463400000.0,StockholdersEquity,0001262039-24-000014,USD,True,1397900000.0,992300000.0,1911900000.0,0.10782034940391393,-869000000.0,1107284164.3548024,-1.2742050222724999,1241100000.0,False,0.3604094405067109,1.6657083115525353,True,True,FTNT,0001262039,ticker:FTNT,17
2022,4417400000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-23-000010,USD,True,857300000.0,NetIncomeLoss,0001262039-23-000010,USD,True,1730600000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-23-000010,USD,True,21200000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-23-000010,USD,True,969600000.0,OperatingIncomeLoss,0001262039-23-000010,USD,True,18000000.0,InterestExpense,0001262039-23-000010,USD,True,30800000.0,IncomeTaxExpenseBenefit,0001262039-23-000010,USD,True,,,,,False,955500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-23-000010,USD,True,1682900000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-23-000010,USD,True,,,,,False,,,,,False,,,,,False,990400000.0,LongTermDebtNoncurrent,0001262039-23-000010,USD,True,-281600000.0,StockholdersEquity,0001262039-23-000010,USD,True,1682900000.0,990400000.0,1709400000.0,0.03223443223443224,-974100000.0,938345494.5054945,-0.963294830618514,969600000.0,False,0.3869697106895459,1.9939344453516856,True,True,FTNT,0001262039,ticker:FTNT,17
2021,3342200000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-22-000008,USD,True,606800000.0,NetIncomeLoss,0001262039-22-000008,USD,True,1499700000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-22-000008,USD,True,21900000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-22-000008,USD,True,650400000.0,OperatingIncomeLoss,0001262039-22-000008,USD,True,14900000.0,InterestExpense,0001262039-22-000008,USD,True,14100000.0,IncomeTaxExpenseBenefit,0001262039-22-000008,USD,True,,,,,False,628400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-22-000008,USD,True,1319100000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-22-000008,USD,True,,,,,False,,,,,False,,,,,False,988400000.0,LongTermDebtNoncurrent,0001262039-22-000008,USD,True,781700000.0,StockholdersEquity,0001262039-22-000008,USD,True,1319100000.0,988400000.0,1477800000.0,0.022437937619350732,451000000.0,635806365.3723743,1.4097702114686792,650400000.0,False,0.44216384417449583,2.435398813447594,True,True,FTNT,0001262039,ticker:FTNT,17
2020,2594400000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-21-000008,USD,True,488500000.0,NetIncomeLoss,0001262039-21-000008,USD,True,1083700000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-21-000008,USD,True,30800000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-21-000008,USD,True,531800000.0,OperatingIncomeLoss,0001262039-21-000008,USD,True,,,,,False,53200000.0,IncomeTaxExpenseBenefit,0001262039-21-000008,USD,True,,,,,False,541700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-21-000008,USD,True,1061800000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-21-000008,USD,True,775500000.0,ShortTermInvestments,0001262039-21-000008,USD,True,,,,,False,,,,,False,,,,,False,856000000.0,StockholdersEquity,0001262039-21-000008,USD,True,1837300000.0,,1052900000.0,0.09820934096363301,,,,531800000.0,False,0.40583564600678385,2.1553735926305015,False,True,FTNT,0001262039,ticker:FTNT,17
2019,2156200000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-20-000011,USD,True,326500000.0,NetIncomeLoss,0001262039-20-000011,USD,True,808000000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-20-000011,USD,True,16000000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-20-000011,USD,True,344200000.0,OperatingIncomeLoss,0001262039-20-000011,USD,True,,,,,False,52700000.0,IncomeTaxExpenseBenefit,0001262039-20-000011,USD,True,,,,,False,379200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-20-000011,USD,True,1222500000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-20-000011,USD,True,843100000.0,ShortTermInvestments,0001262039-20-000011,USD,True,,,,,False,,,,,False,,,,,False,1321900000.0,StockholdersEquity,0001262039-20-000011,USD,True,2065600000.0,,792000000.0,0.13897679324894516,,,,344200000.0,False,0.3673128652258603,2.42572741194487,False,True,FTNT,0001262039,ticker:FTNT,17
2018,1801200000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-19-000006,USD,True,332200000.0,NetIncomeLoss,0001262039-19-000006,USD,True,638900000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-19-000006,USD,True,8300000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-19-000006,USD,True,231000000.0,OperatingIncomeLoss,0001262039-19-000006,USD,True,,,,,False,-81300000.0,IncomeTaxExpenseBenefit,0001262039-19-000006,USD,True,,,,,False,250900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-19-000006,USD,True,1112400000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-19-000006,USD,True,537200000.0,ShortTermInvestments,0001262039-19-000006,USD,True,,,,,False,,,,,False,,,,,False,1010200000.0,StockholdersEquity,0001262039-19-000006,USD,True,1649600000.0,,630600000.0,-0.324033479473894,,,,231000000.0,False,0.35009993337774814,1.8982540638169778,False,True,FTNT,0001262039,ticker:FTNT,17
2017,1494930000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-18-000009,USD,True,31399000.0,NetIncomeLoss,0001262039-18-000009,USD,True,594405000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-18-000009,USD,True,8111000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-18-000009,USD,True,109804000.0,OperatingIncomeLoss,0001262039-18-000009,USD,True,,,,,False,92595000.0,IncomeTaxExpenseBenefit,0001262039-18-000009,USD,True,,,,,False,123994000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-18-000009,USD,True,811004000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-18-000009,USD,True,440273000.0,ShortTermInvestments,0001262039-18-000009,USD,True,,,,,False,,,,,False,,,,,False,589377000.0,StockholdersEquity,0001262039-18-000009,USD,True,1251277000.0,,586294000.0,0.7467700050002419,,,,109804000.0,False,0.3921882629955918,18.672378101213415,False,True,FTNT,0001262039,ticker:FTNT,17
2016,1275443000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001262039-17-000008,USD,True,32187000.0,NetIncomeLoss,0001262039-17-000008,USD,True,345708000.0,NetCashProvidedByUsedInOperatingActivities,0001262039-17-000008,USD,True,8157000.0,CapitalExpendituresIncurredButNotYetPaid,0001262039-17-000008,USD,True,42944000.0,OperatingIncomeLoss,0001262039-17-000008,USD,True,,,,,False,10961000.0,IncomeTaxExpenseBenefit,0001262039-17-000008,USD,True,,,,,False,43148000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,0001262039-17-000008,USD,True,709003000.0,CashAndCashEquivalentsAtCarryingValue,0001262039-17-000008,USD,True,376522000.0,ShortTermInvestments,0001262039-17-000008,USD,True,,,,,False,,,,,False,,,,,False,837681000.0,StockholdersEquity,0001262039-17-000008,USD,True,1085525000.0,,337551000.0,0.2540326318716974,,,,42944000.0,False,0.264653928086163,10.48718426694007,False,True,FTNT,0001262039,ticker:FTNT,17
