year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,422490000000.0,13.24,195680000000.0,,,,,,,,12090000000.0,0.26,7.84,
2025,402830000000.0,10.91,159560000000.0,39.43,126840000000.0,59290000000.0,595280000000.0,415260000000.0,28.8,180010000000.0,12070000000.0,0.26,9.45,9.17
2024,350010000000.0,8.13,120080000000.0,34.23,95650000000.0,22570000000.0,450250000000.0,325080000000.0,23.4,125170000000.0,12220000000.0,0.32,6.76,7.28
2023,307390000000.0,5.85,86020000000.0,27.89,110910000000.0,27120000000.0,402390000000.0,283370000000.0,23.9,119010000000.0,12480000000.0,0.0,5.72,6.2
2022,282830000000.0,4.6,71680000000.0,25.22,113760000000.0,29670000000.0,365260000000.0,256140000000.0,19.2,109120000000.0,12890000000.0,0.0,4.05,4.47
2021,257630000000.0,5.7,91080000000.0,35.22,139640000000.0,28390000000.0,359260000000.0,251630000000.0,25.3,107630000000.0,,0.0,7.44,7.62
2020,182520000000.0,2.96,48210000000.0,26.34,136690000000.0,26770000000.0,319610000000.0,222540000000.0,29.4,97070000000.0,,0.0,6.49,5.33
2019,161850000000.0,2.48,39720000000.0,24.48,119670000000.0,15960000000.0,275900000000.0,201440000000.0,26.8,74460000000.0,,0.0,5.69,4.57
2018,136810000000.0,2.21,35020000000.0,25.52,109140000000.0,4010000000.0,232790000000.0,177620000000.0,23.3,55160000000.0,,0.0,5.29,4.07
2017,110850000000.0,0.92,27300000000.0,24.53,101870000000.0,3960000000.0,197290000000.0,152500000000.0,56.8,44790000000.0,,0.0,6.58,4.78
2016,90270000000.0,1.42,24270000000.0,26.75,86330000000.0,3930000000.0,167490000000.0,139030000000.0,27.1,28460000000.0,,0.0,5.97,3.88
2015,74980000000.0,1.16,19750000000.0,26.21,73060000000.0,5220000000.0,147460000000.0,120330000000.0,32.5,27130000000.0,,0.0,7.04,4.39
2014,66000000000.0,0.94,17360000000.0,26.15,62630000000.0,5230000000.0,129180000000.0,103860000000.0,27.8,25320000000.0,,0.0,5.45,3.46
2013,56670000000.0,0.49,15480000000.0,28.64,57440000000.0,5240000000.0,110920000000.0,87300000000.0,57.1,23610000000.0,,0.0,,
2012,48970000000.0,0.82,13500000000.0,31.43,47150000000.0,5480000000.0,93790000000.0,71710000000.0,21.3,22080000000.0,,0.0,,
2011,37900000000.0,0.75,12380000000.0,32.52,44620000000.0,4200000000.0,72570000000.0,58140000000.0,21.2,14420000000.0,,0.0,,
2010,29320000000.0,0.67,10540000000.0,36.82,33369999999.999996,3460000000.0,57850000000.0,46240000000.0,22.0,11610000000.0,,0.0,,
2009,23650000000.0,0.52,8310000000.000001,35.44,24480000000.0,,40490000000.0,36000000000.0,29.8,4490000000.0,,0.0,,
2008,21790000000.0,,6630000000.0,26.85,15840000000.0,,31760000000.0,28230000000.0,,3520000000.0,,0.0,,
2007,16590000000.0,,5380000000.0,34.19,14210000000.0,,25330000000.0,22680000000.0,,2640000000.0,,0.0,,
2006,10600000000.0,,3540000000.0,37.82,11240000000.0,,18470000000.0,17030000000.000002,,1430000000.0,,0.0,,
2005,6130000000.0,,2190000000.0,34.89,8029999999.999999,,10270000000.0,9410000000.0,,850000000.0,,0.0,,
2004,3180000000.0,,850000000.0,20.39,2130000000.0,1900000.0,3310000000.0,2920000000.0,,380000000.0,,0.0,,
2003,,,,23.65,330000000.0,6600000.0,870000000.0,580000000.0,,280000000.0,,,,
2002,,,,42.07,140000000.0,10860000.0,280000000.0,170000000.0,,110000000.0,,,,
2001,,,,11.65,,,,,,,,,,
