Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,422490000000.0,195680000000.0,,,,
2025,402830000000.0,159560000000.0,28.8,126840000000.0,595280000000.0,
2024,350010000000.0,120080000000.0,23.4,95650000000.0,450250000000.0,
2023,307390000000.0,86020000000.0,23.9,110910000000.0,402390000000.0,
2022,282830000000.0,71680000000.0,19.2,113760000000.0,365260000000.0,
2021,257630000000.0,91080000000.0,25.3,139640000000.0,359260000000.0,
2020,182520000000.0,48210000000.0,29.4,136690000000.0,319610000000.0,
2019,161850000000.0,39720000000.0,26.8,119670000000.0,275900000000.0,
2018,136810000000.0,35020000000.0,23.3,109140000000.0,232790000000.0,
2017,110850000000.0,27300000000.0,56.8,101870000000.0,197290000000.0,
2016,90270000000.0,24270000000.0,27.1,86330000000.0,167490000000.0,
2015,74980000000.0,19750000000.0,32.5,73060000000.0,147460000000.0,
2014,66000000000.0,17360000000.0,27.8,62630000000.0,129180000000.0,
2013,56670000000.0,15480000000.0,57.1,57440000000.0,110920000000.0,
2012,48970000000.0,13500000000.0,21.3,47150000000.0,93790000000.0,
2011,37900000000.0,12380000000.0,21.2,44620000000.0,72570000000.0,
2010,29320000000.0,10540000000.0,22.0,33369999999.999996,57850000000.0,
2009,23650000000.0,8310000000.000001,29.8,24480000000.0,40490000000.0,
2008,21790000000.0,6630000000.0,,15840000000.0,31760000000.0,
2007,16590000000.0,5380000000.0,,14210000000.0,25330000000.0,
2006,10600000000.0,3540000000.0,,11240000000.0,18470000000.0,
2005,6130000000.0,2190000000.0,,8029999999.999999,10270000000.0,
2004,3180000000.0,850000000.0,,2130000000.0,3310000000.0,
2003,,,,330000000.0,870000000.0,
2002,,,,140000000.0,280000000.0,
