year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,17942000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-26-000011,USD,True,1706000000.0,NetIncomeLoss,0000277135-26-000011,USD,True,2015000000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-26-000011,USD,True,684000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-26-000011,USD,True,2495000000.0,OperatingIncomeLoss,0000277135-26-000011,USD,True,,,,,False,622000000.0,IncomeTaxExpenseBenefit,0000277135-26-000011,USD,True,0.256,EffectiveIncomeTaxRateContinuingOperations,0000277135-26-000011,pure,True,2430000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-26-000011,USD,True,585000000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-26-000011,USD,True,,,,,False,2488000000.0,LongTermDebt,0000277135-26-000011,USD,True,126000000.0,LongTermDebtCurrent,0000277135-26-000011,USD,True,2362000000.0,LongTermDebtNoncurrent,0000277135-26-000011,USD,True,3736000000.0,StockholdersEquity,0000277135-26-000011,USD,True,585000000.0,2488000000.0,1331000000.0,0.2559670781893004,5639000000.0,1856362139.9176955,0.32920059228900433,2495000000.0,False,0.07418348010255267,0.7801875732708089,True,True,GWW,0000277135,ticker:GWW,24
2024,17168000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-25-000010,USD,True,1909000000.0,NetIncomeLoss,0000277135-25-000010,USD,True,2111000000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-25-000010,USD,True,541000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-25-000010,USD,True,2637000000.0,OperatingIncomeLoss,0000277135-25-000010,USD,True,,,,,False,595000000.0,IncomeTaxExpenseBenefit,0000277135-25-000010,USD,True,0.23,EffectiveIncomeTaxRateContinuingOperations,0000277135-25-000010,pure,True,2584000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-25-000010,USD,True,1036000000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-25-000010,USD,True,,,,,False,2778000000.0,LongTermDebt,0000277135-25-000010,USD,True,499000000.0,LongTermDebtCurrent,0000277135-25-000010,USD,True,2279000000.0,LongTermDebtNoncurrent,0000277135-25-000010,USD,True,3358000000.0,StockholdersEquity,0000277135-25-000010,USD,True,1036000000.0,2778000000.0,1570000000.0,0.23026315789473684,5100000000.0,2029796052.6315787,0.3979992260061919,2637000000.0,False,0.09144920782851818,0.822420115243583,True,True,GWW,0000277135,ticker:GWW,24
2023,16478000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-24-000011,USD,True,1829000000.0,NetIncomeLoss,0000277135-24-000011,USD,True,2031000000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-24-000011,USD,True,445000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-24-000011,USD,True,2565000000.0,OperatingIncomeLoss,0000277135-24-000011,USD,True,,,,,False,597000000.0,IncomeTaxExpenseBenefit,0000277135-24-000011,USD,True,0.239,EffectiveIncomeTaxRateContinuingOperations,0000277135-24-000011,pure,True,2500000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-24-000011,USD,True,660000000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-24-000011,USD,True,,,,,False,,,,,False,34000000.0,LongTermDebtCurrent,0000277135-24-000011,USD,True,2266000000.0,LongTermDebtNoncurrent,0000277135-24-000011,USD,True,3115000000.0,StockholdersEquity,0000277135-24-000011,USD,True,660000000.0,2300000000.0,1586000000.0,0.2388,4755000000.0,1952478000.0,0.4106157728706625,2565000000.0,False,0.09624954484767569,0.8671405139420448,True,True,GWW,0000277135,ticker:GWW,24
2022,15228000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-23-000014,USD,True,1547000000.0,NetIncomeLoss,0000277135-23-000014,USD,True,1333000000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-23-000014,USD,True,256000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-23-000014,USD,True,2215000000.0,OperatingIncomeLoss,0000277135-23-000014,USD,True,,,,,False,533000000.0,IncomeTaxExpenseBenefit,0000277135-23-000014,USD,True,0.248,EffectiveIncomeTaxRateContinuingOperations,0000277135-23-000014,pure,True,2146000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-23-000014,USD,True,325000000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-23-000014,USD,True,,,,,False,,,,,False,35000000.0,LongTermDebtCurrent,0000277135-23-000014,USD,True,2284000000.0,LongTermDebtNoncurrent,0000277135-23-000014,USD,True,2440000000.0,StockholdersEquity,0000277135-23-000014,USD,True,325000000.0,2319000000.0,1077000000.0,0.2483690587138863,4434000000.0,1664862534.948742,0.37547643999746094,2215000000.0,False,0.07072498029944839,0.696186166774402,True,True,GWW,0000277135,ticker:GWW,24
2021,13022000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-22-000012,USD,True,1043000000.0,NetIncomeLoss,0000277135-22-000012,USD,True,937000000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-22-000012,USD,True,255000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-22-000012,USD,True,1547000000.0,OperatingIncomeLoss,0000277135-22-000012,USD,True,,,,,False,371000000.0,IncomeTaxExpenseBenefit,0000277135-22-000012,USD,True,0.25,EffectiveIncomeTaxRateContinuingOperations,0000277135-22-000012,pure,True,1485000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-22-000012,USD,True,241000000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-22-000012,USD,True,,,,,False,,,,,False,0.0,LongTermDebtCurrent,0000277135-22-000012,USD,True,2362000000.0,LongTermDebtNoncurrent,0000277135-22-000012,USD,True,1874000000.0,StockholdersEquity,0000277135-22-000012,USD,True,241000000.0,2362000000.0,682000000.0,0.24983164983164982,3995000000.0,1160510437.7104378,0.2904907228311484,1547000000.0,False,0.05237290738749808,0.6538830297219559,True,True,GWW,0000277135,ticker:GWW,24
2020,11797000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-21-000007,USD,True,695000000.0,NetIncomeLoss,0000277135-21-000007,USD,True,1123000000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-21-000007,USD,True,197000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-21-000007,USD,True,1019000000.0,OperatingIncomeLoss,0000277135-21-000007,USD,True,,,,,False,192000000.0,IncomeTaxExpenseBenefit,0000277135-21-000007,USD,True,0.203,EffectiveIncomeTaxRateContinuingOperations,0000277135-21-000007,pure,True,947000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-21-000007,USD,True,585000000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-21-000007,USD,True,,,,,False,,,,,False,8000000.0,LongTermDebtCurrent,0000277135-21-000007,USD,True,2389000000.0,LongTermDebtNoncurrent,0000277135-21-000007,USD,True,1828000000.0,StockholdersEquity,0000277135-21-000007,USD,True,585000000.0,2397000000.0,926000000.0,0.20274551214361142,3640000000.0,812402323.12566,0.22318745140814833,1019000000.0,False,0.07849453250826481,1.3323741007194245,True,True,GWW,0000277135,ticker:GWW,24
2019,11486000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-20-000007,USD,True,849000000.0,NetIncomeLoss,0000277135-20-000007,USD,True,1042000000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-20-000007,USD,True,221000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-20-000007,USD,True,1262000000.0,OperatingIncomeLoss,0000277135-20-000007,USD,True,,,,,False,314000000.0,IncomeTaxExpenseBenefit,0000277135-20-000007,USD,True,0.26,EffectiveIncomeTaxRateContinuingOperations,0000277135-20-000007,pure,True,1209000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-20-000007,USD,True,360000000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-20-000007,USD,True,,,,,False,,,,,False,246000000.0,LongTermDebtCurrent,0000277135-20-000007,USD,True,1914000000.0,LongTermDebtNoncurrent,0000277135-20-000007,USD,True,1855000000.0,StockholdersEquity,0000277135-20-000007,USD,True,360000000.0,2160000000.0,821000000.0,0.2597187758478081,3655000000.0,934234904.8800662,0.255604625138185,1262000000.0,False,0.07147832143479017,0.967020023557126,True,True,GWW,0000277135,ticker:GWW,24
2018,11221000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-19-000010,USD,True,782000000.0,NetIncomeLoss,0000277135-19-000010,USD,True,1057000000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-19-000010,USD,True,239000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-19-000010,USD,True,1158000000.0,OperatingIncomeLoss,0000277135-19-000010,USD,True,88000000.0,InterestExpense,0000277135-19-000010,USD,True,258000000.0,IncomeTaxExpenseBenefit,0000277135-19-000010,USD,True,0.239,EffectiveIncomeTaxRateContinuingOperations,0000277135-19-000010,pure,True,1081000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-19-000010,USD,True,538000000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-19-000010,USD,True,,,,,False,,,,,False,81000000.0,LongTermDebtCurrent,0000277135-19-000010,USD,True,2090000000.0,LongTermDebtNoncurrent,0000277135-19-000010,USD,True,1921000000.0,StockholdersEquity,0000277135-19-000010,USD,True,538000000.0,2171000000.0,818000000.0,0.23866790009250693,3554000000.0,881622571.6928769,0.2480648766721657,1158000000.0,False,0.07289902860707602,1.0460358056265984,True,True,GWW,0000277135,ticker:GWW,24
2017,10424858000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-18-000007,USD,True,585730000.0,NetIncomeLoss,0000277135-18-000007,USD,True,1056557000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-18-000007,USD,True,237283000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-18-000007,USD,True,1048662000.0,OperatingIncomeLoss,0000277135-18-000007,USD,True,80458000.0,InterestExpense,0000277135-18-000007,USD,True,312881000.0,IncomeTaxExpenseBenefit,0000277135-18-000007,USD,True,0.335,EffectiveIncomeTaxRateContinuingOperations,0000277135-18-000007,pure,True,935324000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-18-000007,USD,True,326876000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-18-000007,USD,True,,,,,False,,,,,False,38709000.0,LongTermDebtCurrent,0000277135-18-000007,USD,True,2248036000.0,LongTermDebtNoncurrent,0000277135-18-000007,USD,True,1690132000.0,StockholdersEquity,0000277135-18-000007,USD,True,326876000.0,2286745000.0,819274000.0,0.334516167659549,3650001000.0,697867606.589802,0.1911965521625342,1048662000.0,False,0.07858850451488164,1.3987229610912877,True,True,GWW,0000277135,ticker:GWW,24
2016,10137204000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000277135-17-000007,USD,True,605928000.0,NetIncomeLoss,0000277135-17-000007,USD,True,1002976000.0,NetCashProvidedByUsedInOperatingActivities,0000277135-17-000007,USD,True,284249000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000277135-17-000007,USD,True,1119497000.0,OperatingIncomeLoss,0000277135-17-000007,USD,True,66332000.0,InterestExpense,0000277135-17-000007,USD,True,386220000.0,IncomeTaxExpenseBenefit,0000277135-17-000007,USD,True,0.379,EffectiveIncomeTaxRateContinuingOperations,0000277135-17-000007,pure,True,1019058000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000277135-17-000007,USD,True,274146000.0,CashAndCashEquivalentsAtCarryingValue,0000277135-17-000007,USD,True,,,,,False,,,,,False,19966000.0,LongTermDebtCurrent,0000277135-17-000007,USD,True,1840946000.0,LongTermDebtNoncurrent,0000277135-17-000007,USD,True,1797935000.0,StockholdersEquity,0000277135-17-000007,USD,True,274146000.0,1860912000.0,718727000.0,0.378997073768127,3384701000.0,695210912.9078032,0.2053980286317176,1119497000.0,False,0.07089992467350958,1.1861590816070555,True,True,GWW,0000277135,ticker:GWW,24
