year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,76380000000.0,29.79,12070000000.0,,,,,,,,220000000.0,0.77,1.38,
2025,75600000000.0,29.14,12080000000.0,13.01,1040000000.0,48690000000.0,60720000000.0,,16.0,63490000000.0,220000000.0,0.62,1.46,-39.7
2024,70600000000.0,22.42,10580000000.0,12.07,1930000000.0,45230000000.0,59510000000.0,550000000.0,13.3,58950000000.0,240000000.0,0.88,1.09,138.0
2023,64959999999.99999,19.37,9640000000.0,11.86,930000000.0,41850000000.0,56210000000.0,1060000000.0,13.8,55150000000.0,260000000.0,0.9,1.12,68.3
2022,60230000000.0,19.78,10320000000.0,14.24,900000000.0,40200000000.0,52430000000.0,,11.9,52510000000.0,270000000.0,0.95,1.13,-929.0
2021,58750000000.0,21.93,11390000000.0,16.74,1450000000.0,36720000000.0,50740000000.0,1480000000.0,11.4,49250000000.0,300000000.0,0.77,1.36,53.7
2020,51530000000.0,11.09,7010000000.0,10.54,1790000000.0,33049999999.999996,47490000000.0,2890000000.0,14.2,44590000000.0,330000000.0,0.49,1.08,19.2
2019,51330000000.0,10.29,7060000000.0,10.22,620000000.0,35570000000.0,45050000000.0,,13.7,45620000000.0,330000000.0,1.13,0.9745,-88.5
2018,46670000000.0,10.93,7090000000.0,11.43,500000000.0,32820000000.0,39200000000.0,,10.7,42120000000.0,340000000.0,1.19,0.9142,-14.6
2017,43610000000.0,6.15,6070000000.0,10.04,730000000.0,33049999999.999996,36590000000.0,,13.3,41580000000.0,350000000.0,0.0,0.7131,-6.23
2016,41490000000.0,7.62,6510000000.0,11.59,640000000.0,31370000000.0,33750000000.0,,9.06,39390000000.0,370000000.0,0.0,0.6685,-4.92
2015,39670000000.0,5.18,5620000000.0,9.97,740000000.0,30480000000.0,32740000000.000004,,12.2,38790000000.0,390000000.0,0.0,0.6796,-4.46
2014,36910000000.0,4.35,5220000000.0,9.43,560000000.0,29420000000.0,30980000000.0,,15.7,37470000000.0,420000000.0,0.0,0.8359,-4.75
2013,34180000000.0,3.5,4790000000.0,8.62,410000000.0,28370000000.0,28830000000.0,,12.7,35750000000.0,430000000.0,0.0,0.6136,-3.03
2012,33009999999.999996,3.65,4690000000.0,8.77,700000000.0,28930000000.0,28070000000.0,,7.72,36410000000.0,440000000.0,23.1,0.405,-1.6
2011,30900000000.0,,5590000000.0,12.0,370000000.0,27050000000.0,26890000000.0,,,33909999999.999996,500000000.0,0.0,0.3112,-1.37
2010,30680000000.0,,4320000000.0,7.96,410000000.0,28220000000.0,23850000000.0,,,34640000000.0,420000000.0,,,
2009,30050000000.0,,3980000000.0,6.66,310000000.0,25670000000.0,24130000000.0,,,32100000000.0,340000000.0,,,
2008,28370000000.0,,3120000000.0,4.12,460000000.0,26980000000.0,24280000000.0,,,33540000000.0,340000000.0,,,
2007,26850000000.0,,3400000000.0,4.43,390000000.0,27300000000.0,24020000000.0,,,33619999999.999996,340000000.0,,,
2006,25470000000.0,,2620000000.0,6.52,630000000.0,28400000000.0,23670000000.0,,,34140000000.0,400000000.0,,,
2005,24450000000.0,,2800000000.0,8.79,330000000.0,10470000000.0,22220000000.0,5690000000.0,,16530000000.000002,440000000.0,,,
2004,23500000000.0,,2580000000.0,8.4,250000000.0,10530000000.0,21840000000.0,5210000000.0,,16620000000.000002,480000000.0,,,
2003,21800000000.0,,2790000000.0,9.89,110000000.0,8700000000.0,21060000000.0,6880000000.0,,14170000000.0,490000000.0,,,
2002,19720000000.0,,2040000000.0,7.37,160000000.0,6940000000.0,18740000000.0,6310000000.0,,12420000000.0,510000000.0,,,
2001,17950000000.0,,2190000000.0,8.38,85000000.0,7360000000.0,17730000000.0,5320000000.0,,12400000000.0,510000000.0,,,
2000,16670000000.000002,,1220000000.0,,310000000.0,6750000000.0,,,,,550000000.0,,,
1999,16649999999.999998,,1870000000.0,,190000000.0,6440000000.0,,,,,550000000.0,,,
1998,18680000000.0,,1820000000.0,,290000000.0,6750000000.0,,,,,660000000.0,,,
1997,19160000000.0,,1210000000.0,,110000000.0,9400000000.0,,,,,600000000.0,,,
1996,19900000000.0,,3150000000.0,,110000000.0,6980000000.0,,,,,660000000.0,,,
