Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,76380000000.0,12070000000.0,,,,
2025,75600000000.0,12080000000.0,16.0,1040000000.0,60720000000.0,
2024,70600000000.0,10580000000.0,13.3,1930000000.0,59510000000.0,
2023,64959999999.99999,9640000000.0,13.8,930000000.0,56210000000.0,
2022,60230000000.0,10320000000.0,11.9,900000000.0,52430000000.0,
2021,58750000000.0,11390000000.0,11.4,1450000000.0,50740000000.0,
2020,51530000000.0,7010000000.0,14.2,1790000000.0,47490000000.0,
2019,51330000000.0,7060000000.0,13.7,620000000.0,45050000000.0,
2018,46670000000.0,7090000000.0,10.7,500000000.0,39200000000.0,
2017,43610000000.0,6070000000.0,13.3,730000000.0,36590000000.0,
2016,41490000000.0,6510000000.0,9.06,640000000.0,33750000000.0,
2015,39670000000.0,5620000000.0,12.2,740000000.0,32740000000.000004,
2014,36910000000.0,5220000000.0,15.7,560000000.0,30980000000.0,
2013,34180000000.0,4790000000.0,12.7,410000000.0,28830000000.0,
2012,33009999999.999996,4690000000.0,7.72,700000000.0,28070000000.0,
2011,30900000000.0,5590000000.0,,370000000.0,26890000000.0,
2010,30680000000.0,4320000000.0,,410000000.0,23850000000.0,
2009,30050000000.0,3980000000.0,,310000000.0,24130000000.0,
2008,28370000000.0,3120000000.0,,460000000.0,24280000000.0,
2007,26850000000.0,3400000000.0,,390000000.0,24020000000.0,
2006,25470000000.0,2620000000.0,,630000000.0,23670000000.0,
2005,24450000000.0,2800000000.0,,330000000.0,22220000000.0,
2004,23500000000.0,2580000000.0,,250000000.0,21840000000.0,
2003,21800000000.0,2790000000.0,,110000000.0,21060000000.0,
2002,19720000000.0,2040000000.0,,160000000.0,18740000000.0,
2001,17950000000.0,2190000000.0,,85000000.0,17730000000.0,
2000,16670000000.000002,1220000000.0,,310000000.0,,
1999,16649999999.999998,1870000000.0,,190000000.0,,
1998,18680000000.0,1820000000.0,,290000000.0,,
1997,19160000000.0,1210000000.0,,110000000.0,,
1996,19900000000.0,3150000000.0,,110000000.0,,
