year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,12280000000.0,6.6,2810000000.0,,,,,,,,220000000.0,0.18,5.57,
2025,12030000000.0,6.17,2690000000.0,17.21,910000000.0,13090000000.0,16770000000.0,,46.6,22120000000.0,230000000.0,0.21,5.72,-12.9
2024,11170000000.0,6.22,2350000000.0,15.96,1300000000.0,11880000000.0,16520000000.0,,39.7,20210000000.0,240000000.0,0.24,5.45,-16.5
2023,10230000000.0,4.36,2150000000.0,16.53,800000000.0,10120000000.0,15400000000.0,,41.6,17740000000.0,250000000.0,0.33,4.56,-19.9
2022,8770000000.0,4.58,2140000000.0000002,19.77,1200000000.0,9690000000.0,15510000000.0,,27.4,16610000000.0,270000000.0,0.36,3.9,-31.1
2021,5780000000.0,1.47,950000000.0,9.68,1420000000.0,9770000000.0,15440000000.0,,105.0,16260000000.000002,270000000.0,0.0,7.51,-53.1
2020,4300000000.0,-2.59,,-21.45,3210000000.0,11620000000.0,16750000000.0,,-42.4,18240000000.0,270000000.0,0.14,7.17,-20.8
2019,9450000000.0,3.07,1650000000.0,13.16,530000000.0,9160000000.0,14950000000.0,,35.6,15420000000.0,280000000.0,0.55,3.27,-65.6
2018,8900000000.0,2.54,1440000000.0,12.1,400000000.0,7280000000.0,13990000000.0,550000000.0,27.7,13430000000.0,290000000.0,0.85,2.38,37.9
2017,8340000000.0,,1190000000.0,9.26,570000000.0,6600000000.0,14220000000.0,1690000000.0,,12530000000.0,320000000.0,0.77,3.06,15.1
2016,8460000000.000001,1.06,1080000000.0,8.21,1060000000.0,6610000000.0,26210000000.0,5840000000.0,50.7,20360000000.0,,1.07,3.18,4.6
2015,11270000000.0,4.23,2069999999.9999998,7.47,600000000.0,10450000000.0,25620000000.0,5950000000.0,9.88,19670000000.0,,0.69,1.87,3.55
2014,10500000000.0,2.04,1760000000.0,10.92,560000000.0,11690000000.0,26120000000.0,4710000000.0,24.8,21410000000.0,,0.0,2.45,5.45
2013,9730000000.0,1.28,1310000000.0,7.17,590000000.0,12720000000.0,26560000000.0,4269999999.9999995,33.9,22280000000.0,,0.0,2.25,5.12
2012,,,,6.18,750000000.0,15990000000.0,27060000000.0,2150000000.0,,24910000000.0,,,,
2011,,,,2.23,780000000.0,16790000000.0,27310000000.0,1700000000.0,,25610000000.0,,,,
2010,,,,5.19,,,,,,,,,,
