Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,12280000000.0,2810000000.0,,,,
2025,12030000000.0,2690000000.0,46.6,910000000.0,16770000000.0,
2024,11170000000.0,2350000000.0,39.7,1300000000.0,16520000000.0,
2023,10230000000.0,2150000000.0,41.6,800000000.0,15400000000.0,
2022,8770000000.0,2140000000.0000002,27.4,1200000000.0,15510000000.0,
2021,5780000000.0,950000000.0,105.0,1420000000.0,15440000000.0,
2020,4300000000.0,,-42.4,3210000000.0,16750000000.0,
2019,9450000000.0,1650000000.0,35.6,530000000.0,14950000000.0,
2018,8900000000.0,1440000000.0,27.7,400000000.0,13990000000.0,
2017,8340000000.0,1190000000.0,,570000000.0,14220000000.0,
2016,8460000000.000001,1080000000.0,50.7,1060000000.0,26210000000.0,
2015,11270000000.0,2069999999.9999998,9.88,600000000.0,25620000000.0,
2014,10500000000.0,1760000000.0,24.8,560000000.0,26120000000.0,
2013,9730000000.0,1310000000.0,33.9,590000000.0,26560000000.0,
2012,,,,750000000.0,27060000000.0,
2011,,,,780000000.0,27310000000.0,
