year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,12039000000.0,Revenues,0001585689-26-000007,USD,True,1457000000.0,NetIncomeLoss,0001585689-26-000007,USD,True,2129000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-26-000007,USD,True,101000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-26-000007,USD,True,2693000000.0,OperatingIncomeLoss,0001585689-26-000007,USD,True,,,,,False,611000000.0,IncomeTaxExpenseBenefit,0001585689-26-000007,USD,True,0.295,EffectiveIncomeTaxRateContinuingOperations,0001585689-26-000007,pure,True,2072000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-26-000007,USD,True,918000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-26-000007,USD,True,,,,,False,,,,,False,25000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-26-000007,USD,True,315000000.0,FinanceLeaseLiabilityNoncurrent,0001585689-26-000007,USD,True,-5388000000.0,StockholdersEquity,0001585689-26-000007,USD,True,918000000.0,340000000.0,2028000000.0,0.2948841698841699,-5966000000.0,1898876930.5019305,-0.31828309260843624,2693000000.0,False,0.16845252927984053,1.391901166781057,True,True,HLT,0001585689,ticker:HLT,13
2024,11174000000.0,Revenues,0001585689-25-000008,USD,True,1535000000.0,NetIncomeLoss,0001585689-25-000008,USD,True,2013000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-25-000008,USD,True,96000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-25-000008,USD,True,2370000000.0,OperatingIncomeLoss,0001585689-25-000008,USD,True,569000000.0,InterestExpense,0001585689-25-000008,USD,True,244000000.0,IncomeTaxExpenseBenefit,0001585689-25-000008,USD,True,,,,,False,1783000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-25-000008,USD,True,1301000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-25-000008,USD,True,,,,,False,,,,,False,535000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-25-000008,USD,True,82000000.0,FinanceLeaseLiabilityNoncurrent,0001585689-25-000008,USD,True,-3727000000.0,StockholdersEquity,0001585689-25-000008,USD,True,1301000000.0,617000000.0,1917000000.0,0.13684800897363994,-4411000000.0,2045670218.7324734,-0.4637656356228686,2370000000.0,False,0.17155897619473778,1.2488599348534202,True,True,HLT,0001585689,ticker:HLT,13
2023,10235000000.0,Revenues,0001585689-24-000027,USD,True,1141000000.0,NetIncomeLoss,0001585689-24-000027,USD,True,1946000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-24-000027,USD,True,151000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-24-000027,USD,True,2225000000.0,OperatingIncomeLoss,0001585689-24-000027,USD,True,464000000.0,InterestExpense,0001585689-24-000027,USD,True,541000000.0,IncomeTaxExpenseBenefit,0001585689-24-000027,USD,True,,,,,False,1692000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-24-000027,USD,True,800000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-24-000027,USD,True,,,,,False,,,,,False,39000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-24-000027,USD,True,105000000.0,FinanceLeaseLiabilityNoncurrent,0001585689-24-000027,USD,True,-2360000000.0,StockholdersEquity,0001585689-24-000027,USD,True,800000000.0,144000000.0,1795000000.0,0.3197399527186761,-3016000000.0,1513578605.2009456,-0.5018496701594647,2225000000.0,False,0.17537860283341475,1.5731814198071867,True,True,HLT,0001585689,ticker:HLT,13
2022,8773000000.0,Revenues,0001585689-23-000036,USD,True,1255000000.0,NetIncomeLoss,0001585689-23-000036,USD,True,1681000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-23-000036,USD,True,39000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-23-000036,USD,True,2094000000.0,OperatingIncomeLoss,0001585689-23-000036,USD,True,415000000.0,InterestExpense,0001585689-23-000036,USD,True,477000000.0,IncomeTaxExpenseBenefit,0001585689-23-000036,USD,True,,,,,False,1734000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-23-000036,USD,True,1209000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-23-000036,USD,True,,,,,False,,,,,False,39000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-23-000036,USD,True,126000000.0,FinanceLeaseLiabilityNoncurrent,0001585689-23-000036,USD,True,-1102000000.0,StockholdersEquity,0001585689-23-000036,USD,True,1209000000.0,165000000.0,1642000000.0,0.2750865051903114,-2146000000.0,1517968858.1314878,-0.7073480233604323,2094000000.0,False,0.18716516584976634,1.3083665338645418,True,True,HLT,0001585689,ticker:HLT,13
2021,5788000000.0,Revenues,0001585689-22-000013,USD,True,410000000.0,NetIncomeLoss,0001585689-22-000013,USD,True,109000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-22-000013,USD,True,35000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-22-000013,USD,True,1010000000.0,OperatingIncomeLoss,0001585689-22-000013,USD,True,397000000.0,InterestExpense,0001585689-22-000013,USD,True,153000000.0,IncomeTaxExpenseBenefit,0001585689-22-000013,USD,True,,,,,False,560000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-22-000013,USD,True,1427000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-22-000013,USD,True,,,,,False,,,,,False,54000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-22-000013,USD,True,158000000.0,FinanceLeaseLiabilityNoncurrent,0001585689-22-000013,USD,True,-821000000.0,StockholdersEquity,0001585689-22-000013,USD,True,1427000000.0,212000000.0,74000000.0,0.2732142857142857,-2036000000.0,734053571.4285715,-0.3605371175975302,1010000000.0,False,0.012785072563925363,0.18048780487804877,True,True,HLT,0001585689,ticker:HLT,13
2020,4307000000.0,Revenues,0001585689-21-000016,USD,True,-715000000.0,NetIncomeLoss,0001585689-21-000016,USD,True,708000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-21-000016,USD,True,46000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-21-000016,USD,True,-418000000.0,OperatingIncomeLoss,0001585689-21-000016,USD,True,429000000.0,InterestExpense,0001585689-21-000016,USD,True,204000000.0,IncomeTaxExpenseBenefit,0001585689-21-000016,USD,True,,,,,False,-924000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-21-000016,USD,True,3218000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-21-000016,USD,True,,,,,False,,,,,False,56000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-21-000016,USD,True,196000000.0,FinanceLeaseLiabilityNoncurrent,0001585689-21-000016,USD,True,-1490000000.0,StockholdersEquity,0001585689-21-000016,USD,True,3218000000.0,252000000.0,662000000.0,-0.22077922077922077,-4456000000.0,-510285714.28571427,0.11451654270325724,-418000000.0,False,0.15370327374042256,-0.9258741258741259,True,True,HLT,0001585689,ticker:HLT,13
2019,9452000000.0,Revenues,0001585689-20-000013,USD,True,881000000.0,NetIncomeLoss,0001585689-20-000013,USD,True,1384000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-20-000013,USD,True,81000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-20-000013,USD,True,1657000000.0,OperatingIncomeLoss,0001585689-20-000013,USD,True,414000000.0,InterestExpense,0001585689-20-000013,USD,True,-358000000.0,IncomeTaxExpenseBenefit,0001585689-20-000013,USD,True,,,,,False,1244000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-20-000013,USD,True,538000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-20-000013,USD,True,,,,,False,,,,,False,37000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-20-000013,USD,True,208000000.0,FinanceLeaseLiabilityNoncurrent,0001585689-20-000013,USD,True,-482000000.0,StockholdersEquity,0001585689-20-000013,USD,True,538000000.0,245000000.0,1303000000.0,-0.2877813504823151,-775000000.0,2133853697.749196,-2.7533596099989626,1657000000.0,False,0.13785442234447737,1.4790011350737797,True,True,HLT,0001585689,ticker:HLT,13
2018,8906000000.0,Revenues,0001585689-19-000034,USD,True,764000000.0,NetIncomeLoss,0001585689-19-000034,USD,True,1255000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-19-000034,USD,True,72000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-19-000034,USD,True,1432000000.0,OperatingIncomeLoss,0001585689-19-000034,USD,True,371000000.0,InterestExpense,0001585689-19-000034,USD,True,-309000000.0,IncomeTaxExpenseBenefit,0001585689-19-000034,USD,True,,,,,False,1078000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-19-000034,USD,True,403000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-19-000034,USD,True,,,,,False,,,,,False,16000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-19-000034,USD,True,,,,,False,551000000.0,StockholdersEquity,0001585689-19-000034,USD,True,403000000.0,16000000.0,1183000000.0,-0.28664192949907236,164000000.0,1842471243.0426714,11.234580750260191,1432000000.0,False,0.1328317987873344,1.5484293193717278,True,True,HLT,0001585689,ticker:HLT,13
2017,9140000000.0,Revenues,0001585689-18-000033,USD,True,1259000000.0,NetIncomeLoss,0001585689-18-000033,USD,True,924000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-18-000033,USD,True,58000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-18-000033,USD,True,1372000000.0,OperatingIncomeLoss,0001585689-18-000033,USD,True,408000000.0,InterestExpense,0001585689-18-000033,USD,True,-334000000.0,IncomeTaxExpenseBenefit,0001585689-18-000033,USD,True,,,,,False,930000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-18-000033,USD,True,570000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-18-000033,USD,True,,,,,False,,,,,False,46000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-18-000033,USD,True,,,,,False,2072000000.0,StockholdersEquity,0001585689-18-000033,USD,True,570000000.0,46000000.0,866000000.0,-0.35913978494623655,1548000000.0,1864739784.9462366,1.2046122641771555,1372000000.0,False,0.09474835886214442,0.687847498014297,True,True,HLT,0001585689,ticker:HLT,13
2016,11663000000.0,Revenues,0001585689-17-000038,USD,True,348000000.0,NetIncomeLoss,0001585689-17-000038,USD,True,1350000000.0,NetCashProvidedByUsedInOperatingActivities,0001585689-17-000038,USD,True,317000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001585689-17-000038,USD,True,1861000000.0,OperatingIncomeLoss,0001585689-17-000038,USD,True,587000000.0,InterestExpense,0001585689-17-000038,USD,True,891000000.0,IncomeTaxExpenseBenefit,0001585689-17-000038,USD,True,,,,,False,1255000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001585689-17-000038,USD,True,1418000000.0,CashAndCashEquivalentsAtCarryingValue,0001585689-17-000038,USD,True,,,,,False,,,,,False,98000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001585689-17-000038,USD,True,,,,,False,5899000000.0,StockholdersEquity,0001585689-17-000038,USD,True,1418000000.0,98000000.0,1033000000.0,0.7099601593625497,4579000000.0,539764143.4262949,0.11787817065435574,1861000000.0,False,0.08857069364657463,2.968390804597701,True,True,HLT,0001585689,ticker:HLT,13
