Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,36760000000.0,5890000000.0,,,,
2025,36540000000.0,6600000000.0,12.1,12930000000.0,73680000000.0,
2024,38490000000.0,8270000000.0,12.7,10290000000.0,75190000000.0,
2023,36660000000.0,7920000000.0,11.8,8090000000.0,61520000000.0,
2022,35460000000.0,6790000000.0,13.8,10110000000.0,62270000000.0,
2021,34390000000.0,7570000000.0,12.0,11520000000.0,64470000000.0,
2020,32630000000.000004,6370000000.0,14.2,15220000000.0,64580000000.0,
2019,36700000000.0,7910000000.0,9.22,10410000000.0,58670000000.0,
2018,41800000000.0,7850000000.0,6.31,10910000000.0,57770000000.0,
2017,40530000000.0,7210000000.0,29.3,10810000000.0,59470000000.0,
2016,39300000000.0,6780000000.0,7.43,9360000000.0,54140000000.0,
2015,38580000000.0,6890000000.0,6.6,5450000000.0,49310000000.0,
2014,40300000000.0,6130000000.0,7.05,6950000000.0,45450000000.0,
2013,39050000000.0,5730000000.0,6.85,6420000000.0,45430000000.0,
2012,37660000000.0,4219999999.9999995,6.22,4630000000.0,41850000000.0,
2011,36520000000.0,2650000000.0,7.35,3690000000.0,39800000000.0,
2010,32880000000.000004,3610000000.0,,2650000000.0,37830000000.0,
2009,30900000000.0,3430000000.0,,2800000000.0,35990000000.0,
2008,36550000000.0,4250000000.0,,2060000000.0,35490000000.0,
2007,34580000000.0,3720000000.0,,1820000000.0,33799999999.999996,
2006,31360000000.0,3060000000.0,,1220000000.0,30940000000.0,
2005,27650000000.0,2460000000.0,,1230000000.0,31630000000.0,
2004,25600000000.0,1700000000.0,,3580000000.0,31060000000.0,
2003,23100000000.0,1910000000.0,,2950000000.0,29310000000.0,
2002,22270000000.0,1900000000.0,,2020000000.0,27560000000.0,
2001,23650000000.0,150000000.0,,1390000000.0,24220000000.0,
2000,25020000000.0,2790000000.0,,1190000000.0,,
1999,30050000000.0,2600000000.0,,1990000000.0,,
1998,15120000000.0,1960000000.0,,1010000000.0,,
1997,14470000000.0,1630000000.0,,1040000000.0,,
1996,13970000000.0,1500000000.0,,1760000000.0,,
