year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,8620000000.0,4.34,2100000000.0,,,,,,,,400000000.0,0.17,10.6,
2025,8250000000.0,3.74,1840000000.0,22.3,740000000.0,3210000000.0,11170000000.0,5350000000.0,54.8,5820000000.0,400000000.0,0.21,10.3,15.9
2024,7430000000.0,2.82,1380000000.0,18.61,560000000.0,3470000000.0,10510000000.0,4550000000.0,38.6,5960000000.0,400000000.0,0.24,6.08,9.92
2023,6640000000.0,1.85,970000000.0,14.68,610000000.0,3830000000.0,10420000000.0,4030000000.0000005,29.1,6390000000.0,410000000.0,0.32,3.36,5.52
2022,5660000000.0,1.12,600000000.0,10.7,790000000.0,4269999999.9999995,10250000000.0,3600000000.0,34.8,6650000000.0,410000000.0,0.26,2.88,4.53
2021,4970000000.0,0.59,320000000.0,6.52,720000000.0,4340000000.0,10210000000.0,3500000000.0,53.2,6710000000.0,420000000.0,0.13,2.73,3.88
2020,5250000000.0,,170000000.0,3.25,1610000000.0,5210000000.0,11440000000.0,3570000000.0,,7860000000.0,430000000.0,0.05,2.35,3.46
2019,10550000000.0,1.05,450000000.0,2.96,1570000000.0,5940000000.0,17560000000.0,4600000000.0,22.1,12950000000.0,430000000.0,0.4,1.26,2.89
2018,14010000000.0,1.33,860000000.0,6.31,2270000000.0,6330000000.0,18690000000.0,5580000000.0,9.52,13100000000.0,480000000.0,1.45,0.5814,1.46
2017,12960000000.0,-0.15,470000000.0,3.63,2150000000.0,6840000000.0,18710000000.0,4920000000.0,-135.0,13790000000.0,480000000.0,0.91,1.01,2.66
2016,12390000000.0,-2.28,410000000.0,3.34,1860000000.0,8080000000.0,20030000000.0,5140000000.0,-5.99,14890000000.0,430000000.0,0.51,,1.58
2015,,,,1.47,1360000000.0,8820000000.0,36470000000.0,14130000000.0,,22340000000.0,,,,
2014,,,,0.9,,,,,,,,,,
