Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,8620000000.0,2100000000.0,,,,
2025,8250000000.0,1840000000.0,54.8,740000000.0,11170000000.0,
2024,7430000000.0,1380000000.0,38.6,560000000.0,10510000000.0,
2023,6640000000.0,970000000.0,29.1,610000000.0,10420000000.0,
2022,5660000000.0,600000000.0,34.8,790000000.0,10250000000.0,
2021,4970000000.0,320000000.0,53.2,720000000.0,10210000000.0,
2020,5250000000.0,170000000.0,,1610000000.0,11440000000.0,
2019,10550000000.0,450000000.0,22.1,1570000000.0,17560000000.0,
2018,14010000000.0,860000000.0,9.52,2270000000.0,18690000000.0,
2017,12960000000.0,470000000.0,-135.0,2150000000.0,18710000000.0,
2016,12390000000.0,410000000.0,-5.99,1860000000.0,20030000000.0,
2015,,,,1360000000.0,36470000000.0,
